編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLOJQHIGFDA38DA,39,79.44,住家用,鋼筋混凝土造,73年11月2日,五層,四層 陽台 雨遮,全筆移轉
RPWNMLOJQHIGFDA38DA,39,8.12,共有部分,鋼筋混凝土造,73年11月2日,五層,,持分移轉
RPTNMLRJQHIGFFA58DA,47,28.07,醫院、防空避難室,鋼筋混凝土造,65年2月25日,六層,一層 三層 四層 五層 六層 陽台 屋頂突出物 地下層,持分移轉
RPOOMLOJQHIGFCA57DA,70,42.75,住家用,加強磚造,42年4月22日,二層,二層,全筆移轉
RPTNMLRJQHIGFFA58DA,47,4.50,醫院,鋼筋混凝土造,65年2月25日,六層,二層 陽台,持分移轉
RPPNMLMJQHIGFDA47DA,42,90.56,住家用,鋼筋混凝土造,70年12月30日,七層,六層 陽台,全筆移轉
RPPNMLMJQHIGFDA47DA,42,15.00,共有部分,鋼筋混凝土造,70年12月30日,七層,,持分移轉
RPOOMLOJQHIGFEA87EA,22,15.82,商業用,鋼筋混凝土造,90年10月4日,九層,四層 陽台,全筆移轉
RPOOMLOJQHIGFEA87EA,22,7.47,共有部分,鋼筋混凝土造,90年10月4日,九層,,持分移轉
RPOOMLOJQHIGFEA87EA,22,.32,共有部分,鋼筋混凝土造,90年10月4日,九層,,持分移轉
RPTPMLPJJHIGFBA57EA,46,.00,共有部分,鋼筋混凝土造,66年12月30日,十層,,持分移轉
RPTPMLPJJHIGFBA57EA,46,.02,商業用,鋼筋混凝土造,66年12月30日,十層,十層 陽台,持分移轉
RPPNMLTJQHIGFFA48EA,11,.07,一般零售業,鋼骨鋼筋混凝土造,101年6月13日,十四層,地下一層,持分移轉
