鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,,,1120512,土地4建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,30.07,1,1,1,有,無,11080000,368474,,0.0,0,,RPPNMLMKNHIGFCA17CB,松江ONE,D-13F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,23.72,住,,,1120512,土地1建物1車位2,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.61,3,2,2,有,無,45770000,317577,坡道平面,80.64,6400000,,RPPNMLMKNHIGFEA47DB,隆雲心仝聚,A-2F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄12號,13.58,住,,,1120513,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.09,2,1,2,有,無,26300000,230696,坡道平面,34.19,2100000,雨遮計坪不計價,RPPNMLNKNHIGFCA37DB,家騰真,A5-10F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,1120513,土地3建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.09,2,2,1,有,無,21660000,251754,坡道平面,36.97,3000000,,RPPNMLNKNHIGFDA37CB,中研首席,A3-4F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,1120513,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.09,2,2,1,有,無,22390000,265650,坡道平面,36.97,2700000,,RPQNMLNKNHIGFDA47CB,中研首席,A3-12F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,1120513,土地3建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.09,2,2,1,有,無,21990000,260254,坡道平面,36.97,2700000,,RPRNMLNKNHIGFDA57CB,中研首席,A3-9F號,
中山區,房地(土地+建物)+車位,臺北市中山區新生里松江路330巷23號,9.36,住,,,1120513,土地4建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.89,1,1,1,有,無,19220000,368974,其他,13.22,2000000,,RPPNMLNKNHIGFCA27CB,松江ONE,B-11F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,1120514,土地3建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.11,2,2,1,有,無,21760000,253035,坡道平面,36.97,3000000,,RPPNMLOKNHIGFDA47CB,中研首席,A5-2F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,1120514,土地3建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.11,2,2,1,有,無,21030000,247235,坡道平面,36.97,2700000,,RPQNMLOKNHIGFDA57CB,中研首席,A5-3F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,1120516,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.11,2,2,1,有,無,22320000,263286,坡道平面,36.97,2800000,,RPPNMLQKNHIGFDA67CB,中研首席,A5-12F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,17.78,住,,,1120516,土地3建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.19,3,2,2,有,無,26490000,254130,坡道平面,36.97,2800000,,RPQNMLQKNHIGFDA77CB,中研首席,A7-10F號,
北投區,房地(土地+建物),臺北市北投區中和里中和街391巷2弄,16.73,住,,,1120514,土地15建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.91,2,2,1,有,無,17260000,203274,,0.0,0,,RPWNMLQKNHIGFEA48CB,一心居,C號,
中山區,房地(土地+建物),臺北市中山區南京東路三段12號,3.84,商,,,1120515,土地6建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,44.55,1,1,1,有,無,17880000,401347,,0.0,0,,RPPNMLQKNHIGFCA57CB,南京阿曼,D-09F號,
大安區,房地(土地+建物)+車位,臺北市大安區正聲里光復南路260巷、280巷,9.67,住,,,1120512,土地16建物1車位2,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,134.54,2,1,1,有,無,59300000,628166,坡道平面,55.58,9700000,,RPSNMLQKNHIGFFA18CB,鑄慕,A2-24F號,
