編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKNHIGFDA37CB,坡道平面,3000000,36.97,地下二樓
RPPNMLMKNHIGFEA47DB,坡道平面,3100000,40.32,地下三樓
RPPNMLMKNHIGFEA47DB,坡道平面,3300000,40.32,地下三樓
RPQNMLNKNHIGFDA47CB,坡道平面,2700000,36.97,地下四樓
RPRNMLNKNHIGFDA57CB,坡道平面,2700000,36.97,地下四樓
RPQNMLOKNHIGFDA57CB,坡道平面,2700000,36.97,地下四樓
RPPNMLOKNHIGFDA47CB,坡道平面,3000000,36.97,地下二樓
RPPNMLQKNHIGFDA67CB,坡道平面,2800000,36.97,地下四樓
RPQNMLQKNHIGFDA77CB,坡道平面,2800000,36.97,地下四樓
RPSNMLQKNHIGFFA18CB,坡道平面,4850000,27.79,地下二樓
RPSNMLQKNHIGFFA18CB,坡道平面,4850000,27.79,地下二樓
RPWNMLQKNHIGFFA58CB,坡道平面,3750000,27.79,地下四樓
RPWNMLTKNHIGFDA68CB,坡道平面,2900000,36.97,地下三樓
RPPNMLKLNHIGFEA37DB,坡道平面,2900000,40.32,地下二樓
RPPNMLLLNHIGFEA47DB,坡道平面,3600000,38.07,地下二樓
RPPNMLLLNHIGFEA47DB,坡道平面,3600000,38.07,地下二樓
RPPNMLLLNHIGFDA27CB,坡道平面,2900000,36.97,地下三樓
RPQNMLLLNHIGFDA37CB,坡道平面,2800000,36.97,地下四樓
RPVNMLMLNHIGFBA77CB,坡道平面,2650000,38.83,地下四樓
RPPNMLTKNHIGFEA08CB,坡道平面,2850000,36.77,地下四樓
RPWNMLMLNHIGFFA28CB,其他,2700000,30.91,無固定樓層
RPPNMLNKNHIGFCA27CB,其他,2000000,13.22,地下二樓
RPUNMLMLNHIGFCA77CB,其他,1800000,13.22,地下二樓
RPRNMLSKNHIGFCA97CB,坡道平面,2900000,35.65,地下四樓
RPPNMLMLNHIGFAA07CB,坡道平面,2900000,37.02,地下三樓
RPQOMLMLNHIGFFA77CB,其他,2900000,30.91,無固定樓層
RPPOMLMLNHIGFFA67CB,其他,2900000,30.91,無固定樓層
RPRNMLMLNHIGFAA27CB,坡道平面,3000000,37.02,地下二樓
RPQNMLMLNHIGFAA17CB,坡道平面,2900000,37.02,地下三樓
RPTNMLPLNHIGFBA87CB,升降機械,1800000,22.76,地下三樓
RPPNMLOLNHIGFDA57CB,坡道平面,2800000,36.97,地下四樓
RPVNMLPLNHIGFBA08CB,升降機械,1800000,22.76,地下三樓
RPUNMLPLNHIGFBA97CB,升降機械,1800000,22.76,地下三樓
RPPNMLPLNHIGFAA37CB,其他,1600000,13.37,地下五樓含以下
RPPNMLQLNHIGFBA57CB,坡道平面,1750000,37.70,地下四樓
RPTNMLQLNHIGFBA97CB,坡道平面,2800000,22.31,地下三樓
RPVNMLQLNHIGFBA18CB,其他,1900000,10.18,地下四樓
RPPNMLRLNHIGFDA87CB,坡道平面,2800000,36.97,地下四樓
RPOOMLQLNHIGFBA57CB,坡道平面,2800000,22.31,地下三樓
RPPNMLSLNHIGFDA97CB,坡道平面,2900000,36.97,地下三樓
RPPNMLSLNHIGFBA77CB,坡道平面,3150000,30.87,地下三樓
RPQNMLSLNHIGFBA87CB,坡道平面,2600000,30.87,地下四樓
RPRNMLSLNHIGFBA97CB,坡道平面,2400000,30.87,地下五樓含以下
RPTNMLSLNHIGFBA18CB,坡道平面,2400000,30.87,地下四樓
RPQNMLTLNHIGFEA28CB,升降平面,2200000,38.42,地下一樓
RPPNMLTLNHIGFDA18DB,坡道平面,5400000,45.07,地下三樓
RPPNMLTLNHIGFDA18DB,坡道平面,5400000,45.07,地下三樓
RPRNMLTLNHIGFEA38CB,升降平面,1900000,38.42,地下三樓
RPSNMLSLNHIGFBA08CB,坡道平面,2700000,30.87,地下四樓
RPSNMLTLNHIGFEA48CB,升降平面,2000000,38.42,地下二樓
RPPNMLTLNHIGFFA28CB,坡道平面,2900000,44.96,地下三樓
RPSNMLKMNHIGFFA77CB,坡道平面,3850000,27.79,地下四樓
RPQNMLKMNHIGFFA57CB,坡道平面,4350000,27.79,地下三樓
RPPNMLKMNHIGFFA47CB,坡道平面,4350000,27.79,地下三樓
RPRNMLKMNHIGFFA67CB,坡道平面,4850000,27.79,地下二樓
RPRNMLKMNHIGFEA57CB,坡道平面,3200000,36.77,地下一樓
RPTNMLKMNHIGFFA87CB,坡道平面,3850000,27.79,地下四樓
RPSNMLKMNHIGFEA67CB,坡道平面,3100000,36.77,地下二樓
RPPNMLMLNHIGFCA37DB,坡道平面,2100000,34.19,地下五樓含以下
RPPNMLNKNHIGFCA37DB,坡道平面,2100000,34.19,地下五樓含以下
RPVNMLKMNHIGFEA97CB,坡道平面,3100000,36.77,地下二樓
RPVNMLKMNHIGFEA97CB,坡道平面,3100000,36.77,地下二樓
RPUNMLKMNHIGFEA87CB,坡道平面,3200000,36.77,地下一樓
RPUNMLKMNHIGFEA87CB,坡道平面,3200000,36.77,地下一樓
RPWNMLKMNHIGFEA08CB,坡道平面,2850000,36.77,地下四樓
RPTNMLKMNHIGFEA77CB,坡道平面,3200000,36.77,地下一樓
RPXNMLKMNHIGFEA18CB,升降平面,2200000,38.42,一樓
RPPNMLKMNHIGFDA27CB,坡道平面,2900000,36.97,地下三樓
RPPNMLLMNHIGFDA37CB,坡道平面,2700000,41.40,地下三樓
RPQNMLLMNHIGFDA47CB,坡道平面,3500000,32.25,地下一樓
RPSNMLLMNHIGFDA67CB,坡道平面,3500000,32.25,地下一樓
