鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大安區,建物,臺北市大安區大安路一段１７６巷１號,0.0,其他,,,1120331,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0611019,110.07,0,0,0,無,有,無,215250,1956,,0.0,0,,RPPNMLLKNHIGFFA47CC
大安區,建物,臺北市大安區復興南路二段１４８巷８號十一樓,0.0,商,,,1120503,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0691108,100.51,3,2,2,有,有,有,50000,497,,0.0,0,,RPRNMLLKNHIGFFA67CC
大安區,建物,臺北市大安區羅斯福路２段８１巷７號２樓之６,0.0,住,,,1120424,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900117,33.42,1,0,1,有,無,有,19000,569,,0.0,0,加入臺北市社會住宅包租代管第2期計畫,RPTNMLLKNHIGFFA87CC
萬華區,房地(土地+建物),臺北市萬華區武昌街二段１１４之１號,108.0,商,,,1120504,土地2建物1車位0,全,4,透天厝,,加強磚造,,396.44,0,0,0,無,無,無,195000,492,,0.0,0,自112年6月15日起至115年6月14日止每月租金195000元自115年6月15日起至116年6月14日止每月租金200000元自116年6月15日起至117年6月14日止每月租金205000元以上均不含稅及二代健保補充保費,RPPNMLLKNHIGFBA17DC
北投區,建物,臺北市北投區泉源路１２號六樓之５,0.0,其他,,,1120503,土地0建物1車位0,六層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,0680313,33.26,1,1,1,有,有,有,15000,451,,0.0,0,,RPPNMLLKNHIGFEA37CC
士林區,建物,臺北市士林區承德路四段７９號九樓,0.0,商,,,1120430,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960621,250.51999999999998,4,2,2,有,有,有,75000,299,坡道平面,12.97,0,,RPQNMLLKNHIGFEA47CC
士林區,建物,臺北市士林區中山北路五段５００號、５０２號、５０８號、５１０號１樓,0.0,商,,,1120427,土地0建物4車位13,一層,12,辦公商業大樓,一般零售業甲組（不含便利商店）,鋼骨造,1040518,1999.9099999999999,0,0,0,無,有,有,1000000,500,坡道平面,404.86,0,,RPRNMLLKNHIGFEA57CC
士林區,建物,臺北市士林區延平北路九段２４３巷３０號二樓,0.0,其他,,,1120509,土地0建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0560101,45.96,2,1,1,有,無,有,8000,174,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,RPSNMLLKNHIGFEA67CC
中正區,建物,臺北市中正區中華路２段２９９號３樓之２８,0.0,住,,,1120420,土地0建物1車位0,三層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610627,35.54,2,1,1,有,無,有,10000,281,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPQNMLLKNHIGFAA07CC
