編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKNHIGFFA47CC,50,110.07,住家用,鋼筋混凝土造,61年10月19日,七層,,
RPRNMLLKNHIGFFA67CC,42,86.73,住家用,鋼筋混凝土造,69年11月8日,十一層,,
RPRNMLLKNHIGFFA67CC,42,13.78,共有部分,鋼筋混凝土造,69年11月8日,十一層,,
RPPNMLLKNHIGFBA17DC,,396.44,,加強磚造,,四層,,
RPQNMLLKNHIGFEA47CC,16,167.06,住家用,鋼筋混凝土造,96年6月21日,十四層,,
RPQNMLLKNHIGFEA47CC,16,12.97,防空避難室兼停車空間,鋼筋混凝土造,96年6月21日,十四層,,
RPQNMLLKNHIGFEA47CC,16,70.49,防空避難室兼停車空間、樓梯間、機械室、水箱,鋼筋混凝土造,96年6月21日,十四層,,
RPPNMLLKNHIGFEA37CC,44,29.91,商業用,鋼筋混凝土造,68年3月13日,十一層,,
RPPNMLLKNHIGFEA37CC,44,3.35,共有部分,鋼筋混凝土造,68年3月13日,十一層,,
RPSNMLLKNHIGFEA67CC,56,42.00,住家用,加強磚造,56年1月1日,二層,,
RPSNMLLKNHIGFEA67CC,56,3.96,共有部分,加強磚造,56年1月1日,二層,,
RPSNMLLKNHIGFAA27CC,,101.51,住家用,鋼筋混凝土造,,四層,,
RPQNMLLKNHIGFAA07CC,51,35.54,住家用,鋼筋混凝土造,61年6月27日,六層,,
RPRNMLLKNHIGFAA17CC,44,96.17,住家用,鋼筋混凝土造,68年7月11日,四層,,
RPTNMLLKNHIGFFA87CC,22,21.20,住家用,鋼筋混凝土造,90年1月17日,五層,,
RPTNMLLKNHIGFFA87CC,22,12.22,共有部分,鋼筋混凝土造,90年1月17日,五層,,
RPTNMLLKNHIGFAA37CC,40,88.25,住家用,鋼筋混凝土造,72年8月18日,七層,,
RPTNMLLKNHIGFAA37CC,40,17.14,共有部分,鋼筋混凝土造,72年8月18日,七層,,
RPQNMLLKNHIGFBA17CC,15,28.32,住家用,鋼筋混凝土造,97年6月23日,十四層,,
RPQNMLLKNHIGFBA17CC,15,13.23,共有部分,鋼筋混凝土造,97年6月23日,十四層,,
RPRNMLLKNHIGFBA27CC,,95.76,多戶住宅,鋼筋混凝土造,111年10月13日,八層,,
RPSNMLLKNHIGFBA37CC,4,59.18,住家用,鋼筋混凝土造,108年3月4日,十九層,,
RPSNMLLKNHIGFBA37CC,4,17.11,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、梯廳兼排煙室、緊急升降機進氣管道、排氣管道、梯廳、消防／排水管道、特別安全梯甲、特別安全梯乙、安全梯丙、安全梯戊、管理員室、電力管道、騎樓、防災中心、機車升降機、排煙室、都市通廊、停車場進氣管道、電訊管道、排煙管道、電氣管道、電表室、管委會（１）、管委會（２）、走道、廁所、陽台、中繼消防水箱、連結泵、給水管道、樓梯庚、屋頂給水水箱、屋頂消防水箱、機房、停車空間兼防空避難室、特別安全梯丁、受電箱、台電配電室、電信室、油壓機房、電力、發電機進氣管道、發電機排氣管道、排氣／進氣管道、自設變電室、垃圾車暫停空間、垃圾儲存空間、發電機油箱室、發電機房、電訊／電氣管道、泵浦室、日用水箱機房、泡沫消防設備機房及自來水池等５６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPSNMLLKNHIGFBA37CC,4,9.22,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、排煙室、排煙管道、梯廳及走道等６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPTNMLLKNHIGFBA47CC,4,69.90,住家用,鋼筋混凝土造,108年3月4日,十九層,,
RPUNMLLKNHIGFBA57CC,14,21.19,共有部分,鋼筋混凝土造,97年12月11日,十四層,,
RPTNMLLKNHIGFBA47CC,4,20.21,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、梯廳兼排煙室、緊急升降機進氣管道、排氣管道、梯廳、消防／排水管道、特別安全梯甲、特別安全梯乙、安全梯丙、安全梯戊、管理員室、電力管道、騎樓、防災中心、機車升降機、排煙室、都市通廊、停車場進氣管道、電訊管道、排煙管道、電氣管道、電表室、管委會（１）、管委會（２）、走道、廁所、陽台、中繼消防水箱、連結泵、給水管道、樓梯庚、屋頂給水水箱、屋頂消防水箱、機房、停車空間兼防空避難室、特別安全梯丁、受電箱、台電配電室、電信室、油壓機房、電力、發電機進氣管道、發電機排氣管道、排氣／進氣管道、自設變電室、垃圾車暫停空間、垃圾儲存空間、發電機油箱室、發電機房、電訊／電氣管道、泵浦室、日用水箱機房、泡沫消防設備機房及自來水池等５６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPUNMLLKNHIGFBA57CC,14,47.66,住家用,鋼筋混凝土造,97年12月11日,十四層,,
RPTNMLLKNHIGFBA47CC,4,10.89,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、排煙室、排煙管道、梯廳及走道等６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPPNMLLKNHIGFCA17CC,27,60.33,住家用,鋼筋混凝土造,84年11月16日,十六層,,
RPPNMLLKNHIGFCA17CC,27,9.66,共有部分,鋼筋混凝土造,84年11月16日,十六層,,
RPVNMLLKNHIGFBA67CC,46,15.28,住家用,鋼筋混凝土造,66年8月29日,十二層,,
RPVNMLLKNHIGFBA67CC,46,3.82,共有部分,鋼筋混凝土造,66年8月29日,十二層,,
RPSNMLLKNHIGFDA57CC,48,86.66,,鋼筋混凝土造,64年7月16日,四層,,
RPPNMLLKNHIGFDA27CC,23,109.22,見使用執照,鋼筋混凝土造,88年12月31日,十一層,,
RPQNMLLKNHIGFCA27CC,,102.94,,加強磚造,,四層,,
RPPNMLLKNHIGFDA27CC,23,29.27,共有部分,鋼筋混凝土造,88年12月31日,十一層,,
RPPNMLLKNHIGFDA27CC,23,18.30,共有部分,鋼筋混凝土造,88年12月31日,十一層,,
RPRNMLLKNHIGFCA37CC,47,73.80,住家用,加強磚造,65年3月31日,四層,,
RPTNMLLKNHIGFCA57CC,42,34.43,住家用,鋼筋混凝土造,70年5月4日,十二層,,
RPTNMLLKNHIGFCA57CC,42,9.08,共有部分,鋼筋混凝土造,70年5月4日,十二層,,
RPVNMLLKNHIGFCA77CC,13,63.93,住家用,鋼筋混凝土造,99年5月14日,九層,,
RPVNMLLKNHIGFCA77CC,13,28.52,本共有部分之項目有停車空間、車道、梯廳、雨遮、電梯、樓梯間、消防水箱、水箱、緊急發電機室、機房、汽車升降機、安全梯Ｃ、台電配電室、防空避難室兼停車空間、消防幫浦室等１５項。,鋼筋混凝土造,99年5月14日,九層,,
RPVNMLLKNHIGFCA77CC,13,3.96,本共有部分之項目有梯廳等１項。,鋼筋混凝土造,99年5月14日,九層,,
RPVNMLLKNHIGFCA77CC,13,101.31,住家用,鋼筋混凝土造,99年5月14日,九層,,
RPVNMLLKNHIGFCA77CC,13,77.04,本共有部分之項目有停車空間、車道、梯廳、雨遮、電梯、樓梯間、消防水箱、水箱、緊急發電機室、機房、汽車升降機、安全梯Ｃ、台電配電室、防空避難室兼停車空間、消防幫浦室等１５項。,鋼筋混凝土造,99年5月14日,九層,,
RPVNMLLKNHIGFCA77CC,13,6.27,本共有部分之項目有梯廳等１項。,鋼筋混凝土造,99年5月14日,九層,,
RPSNMLLKNHIGFCA47CC,27,30.79,商業用,鋼筋混凝土造,85年2月2日,九層,,
RPSNMLLKNHIGFCA47CC,27,2.60,共有部分,鋼筋混凝土造,85年2月2日,九層,,
RPSNMLLKNHIGFCA47CC,27,8.40,共有部分,鋼筋混凝土造,85年2月2日,九層,,
RPPNMLMKNHIGFCA27CC,33,31.47,住家用,鋼筋混凝土造,79年9月21日,五層,,
