編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKNHIGFFA47CC,復興段三小段,.00,都市：住,,,,02270000
RPPNMLLKNHIGFFA47CC,復興段三小段,.00,都市：其他:道路用地,,,,02280000
RPRNMLLKNHIGFFA67CC,瑞安段二小段,.00,都市：商,,,,05190000
RPRNMLLKNHIGFFA67CC,瑞安段二小段,.00,都市：住,,,,05200000
RPRNMLLKNHIGFFA67CC,瑞安段二小段,.00,都市：商,,,,05200001
RPPNMLLKNHIGFBA17DC,福星段四小段,89.00,都市：商,,,,00170000
RPPNMLLKNHIGFBA17DC,福星段四小段,19.00,都市：商,,,,00180000
RPQNMLLKNHIGFEA47CC,光華段四小段,.00,都市：商,,,,08190000
RPQNMLLKNHIGFEA47CC,光華段四小段,.00,都市：商,,,,08190001
RPPNMLLKNHIGFEA37CC,新民段二小段,.00,都市：其他:特定觀光商業專用區,,,,05480000
RPSNMLLKNHIGFEA67CC,中洲段,.00,都市：其他:遊樂區,,,,06710000
RPSNMLLKNHIGFEA67CC,中洲段,.00,都市：其他:遊樂區,,,,06720000
RPSNMLLKNHIGFEA67CC,中洲段,.00,都市：其他:遊樂區,,,,06730000
RPSNMLLKNHIGFAA27CC,興泰段三小段,.00,都市：住,,,,02250000
RPQNMLLKNHIGFAA07CC,永昌段四小段,.00,都市：住,,,,06500000
RPRNMLLKNHIGFAA17CC,興隆段一小段,.00,都市：住,,,,01660000
RPTNMLLKNHIGFFA87CC,龍泉段三小段,.00,都市：住,,,,01990000
RPTNMLLKNHIGFAA37CC,興安段一小段,.00,都市：住,,,,04100000
RPQNMLLKNHIGFBA17CC,雙連段二小段,.00,都市：商,,,,00500000
RPRNMLLKNHIGFBA27CC,萬大段二小段,.00,都市：住,,,,05700000
RPSNMLLKNHIGFBA37CC,圓環段二小段,.00,都市：其他:聯合開發區,,,,02260000
RPTNMLLKNHIGFBA47CC,圓環段二小段,.00,都市：其他:聯合開發區,,,,02260000
RPUNMLLKNHIGFBA57CC,市府段二小段,.00,都市：商,,,,06770000
RPPNMLLKNHIGFCA17CC,康寧段三小段,.00,都市：住,,,,05130000
RPVNMLLKNHIGFBA67CC,福星段四小段,.00,都市：商,,,,02080000
RPSNMLLKNHIGFDA57CC,延吉段一小段,.00,都市：住,,,,06940000
RPSNMLLKNHIGFDA57CC,延吉段一小段,.00,都市：住,,,,06950000
RPPNMLLKNHIGFDA27CC,三興段一小段,.00,都市：商,,,,09250000
RPQNMLLKNHIGFCA27CC,正義段二小段,.00,都市：商,,,,04330000
RPRNMLLKNHIGFCA37CC,德惠段二小段,.00,都市：住,,,,09340000
RPTNMLLKNHIGFCA57CC,德惠段四小段,.00,都市：商,,,,05520000
RPVNMLLKNHIGFCA77CC,北安段三小段,.00,都市：住,,,,07720000
RPSNMLLKNHIGFCA47CC,長春段二小段,.00,都市：商,,,,00080000
RPPNMLMKNHIGFCA27CC,長安段三小段,.00,都市：住,,,,06560000
RPQNMLMKNHIGFCA37CC,長春段三小段,19.15,都市：商,,,,00820000
RPUNMLMKNHIGFCA77CC,吉林段三小段,.00,都市：商,,,,09220000
RPVNMLMKNHIGFCA87CC,吉林段一小段,.00,都市：住,,,,06680000
RPWNMLMKNHIGFCA97CC,中山段二小段,.00,都市：商,,,,00550010
