鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
南區,房地(土地+建物)+車位,臺中市南區福新街130巷,16.78,住,,,1120511,土地6建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.09,2,2,1,有,無,12100000,139154,坡道平面,38.79,1900000,,RPTOMLLKNHIGFAB47CB,鼎義國圖館,A3號,
南區,房地(土地+建物)+車位,臺中市南區福新街130巷,16.78,住,,,1120511,土地6建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.09,2,2,1,有,無,12210000,140655,坡道平面,38.79,1900000,,RPUOMLLKNHIGFAB57CB,鼎義國圖館,A3號,
南區,房地(土地+建物)+車位,臺中市南區福新街130巷,13.62,住,,,1120511,土地6建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.26,2,2,1,有,無,10540000,145283,坡道平面,38.79,1900000,,RPVOMLLKNHIGFAB67CB,鼎義國圖館,A3號,
南區,房地(土地+建物)+車位,臺中市南區福新街130巷,13.62,住,,,1120511,土地6建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.26,2,2,1,有,無,10630000,146797,坡道平面,38.79,1900000,,RPWOMLLKNHIGFAB77CB,鼎義國圖館,A3號,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德十六路,51.03,住,,,1120513,土地1建物1車位2,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.19,4,2,2,有,無,39810000,188642,坡道平面,65.48,4400000,,RPRNMLNKNHIGFBB47CB,惠宇覞山,14F-B號,
南屯區,房地(土地+建物)+車位,臺中市南屯區永春東三路,27.18,住,,,1120513,土地1建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,234.52,4,2,2,有,無,35500000,181292,坡道平面,65.18,4800000,,RPPPMLNKNHIGFCB57CB,君睿,B棟13號,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂路與昌平東六路口,32.29,住,,,1120513,土地1建物1車位1,一層,13,店面(店鋪),商業用,鋼筋混凝土造,,146.58,0,0,0,無,無,29760000,234354,坡道平面,29.62,2350000,,RPQNMLOKNHIGFBB47CB,國泰美禾,S棟2號,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂路與昌平東六路口,34.2,住,,,1120513,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.49,3,2,2,有,無,24230000,178655,坡道平面,29.62,2100000,,RPRNMLOKNHIGFBB57CB,國泰美禾,B棟5號,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂路與昌平東六路口,37.38,住,,,1120514,土地1建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.61,3,2,2,有,無,29590000,185344,坡道平面,59.24,4500000,,RPSNMLOKNHIGFBB67CB,國泰美禾,B棟3號,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂路與昌平東六路口,37.38,住,,,1120514,土地1建物1車位2,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.61,3,2,2,有,無,28730000,178252,坡道平面,59.24,4600000,,RPTNMLOKNHIGFBB77CB,國泰美禾,B棟3號,
北屯區,房地(土地+建物)+車位,臺中市北屯區敦富一街與紹安街口,22.86,住,,,1120512,土地4建物1車位1,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.94,3,2,2,有,無,20410000,149027,坡道平面,32.07,1950000,,RPPNMLPKNHIGFBB47CB,浩瀚景立方-菁英區,B7棟0號,
西區,房地(土地+建物)+車位,臺中市西區五權西路一段,12.05,商,,,1120513,土地2建物1車位1,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.82,2,2,2,有,無,18390000,167921,坡道平面,42.81,2100000,,RPPNMLPKNHIGFAB37CB,迎白,D棟12號,
西區,房地(土地+建物)+車位,臺中市西區五權西路一段,11.67,商,,,1120514,土地2建物1車位1,九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.72,2,2,2,有,無,16980000,159940,坡道平面,42.81,1960000,,RPTNMLPKNHIGFAB77CB,迎白,E棟9號,
南區,房地(土地+建物)+車位,臺中市南區南平路,18.06,住,,,1120514,土地2建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.7,3,2,2,有,無,18880000,137802,坡道平面,33.48,1900000,,RPVNMLPKNHIGFAB97CB,君匯,E棟17號,
太平區,房地(土地+建物)+車位,臺中市太平區成功東路42巷,32.14,住,,,1120511,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.09,3,2,2,有,無,14390000,117880,坡道平面,28.59,1600000,,RPSNMLPKNHIGFJB58CB,順天緮華,C棟10F-C6號,
