鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物),臺中市西區美村路一段２７２號１樓,0.0,商,,,1120501,土地0建物1車位0,一層,16,店面(店鋪),人行道．商場,鋼筋混凝土造,0840526,165.3,0,0,0,無,有,有,100000,605,,0.0,0,,RPPNMLLKNHIGFAB07CC
北屯區,房地(土地+建物),臺中市北屯區松竹路二段３６８號１２樓-９,5.96,住,,,1120501,土地1建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,46.92,1,1,1,有,有,有,9000,192,,0.0,0,,RPPNMLLKNHIGFBB17CC
北屯區,建物,臺中市北屯區平德路９６巷６號２F,87.0,住,,,1120506,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0830603,18.18,1,0,1,有,無,有,7500,413,,0.0,0,,RPQNMLLKNHIGFBB27CC
西屯區,房地(土地+建物),臺中市西屯區何厝東二街２３號８樓之２,4.65,住,,,1120415,土地3建物1車位0,八層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0871107,75.62,1,0,1,有,有,有,12500,165,,0.0,0,,RPPNMLLKNHIGFCB27CC
西屯區,土地,廣福段116地號,462.9,農,,,1120413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,54,,0.0,0,地上有未登記建物廠房,RPQNMLLKNHIGFCB37CC
潭子區,房地(土地+建物),臺中市潭子區大豐路三段８２號,83.99,商,,,1120417,土地1建物1車位0,全,3,透天厝,人行道、店鋪、住宅、停車空間,鋼筋混凝土造,0970201,196.1,0,0,0,無,無,無,34133,174,,0.0,0,,RPPNMLLKNHIGFHB77CC
大雅區,房地(土地+建物)+車位,臺中市大雅區雅環路一段２８９巷１２號,76.0,住,,,1120420,土地1建物1車位1,全,3,透天厝,梯間　住宅　停車空間,鋼筋混凝土造,0861008,233.83,4,3,3,有,無,有,27000,115,坡道平面,0.0,0,社會住宅出租,RPQNMLLKNHIGFHB87CC
烏日區,土地,新長壽段56-1地號,298.27,商,,,1120320,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,27000,91,,0.0,0,,RPPNMLLKNHIGFIB87CC
大里區,房地(土地+建物),臺中市大里區大明路３６６巷３２號４樓,95.46,住,,,1120503,土地2建物1車位0,四層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0720505,66.12,2,1,1,有,無,有,8000,121,,0.0,0,,RPQNMLLKNHIGFIB97CC
