編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKNHIGFAB07CC,28,165.30,人行道．商場,鋼筋混凝土造,84年5月26日,十六層,,
RPRNMLLKNHIGFIB08CC,4,44.48,集合住宅,鋼筋混凝土造,108年5月30日,十二層,,
RPRNMLLKNHIGFIB08CC,4,41.34,防空避難室兼停車空間、梯廳、一般昇降機、緊急昇降機、污水機械室、水箱、排煙室、消防機械室、安全梯、停車空間、車道、電信室、發電機械室、台電配電室、公共服務空間、垃圾暫存室、機車停車空間、管委會使用空間、戶外安全梯、梯間、水錶室、走廊、機械室等２３項。,鋼筋混凝土造,108年5月30日,十二層,,
RPQNMLLKNHIGFIB97CC,40,59.43,集合住宅,鋼筋混凝土造,72年5月5日,四層,,
RPQNMLLKNHIGFIB97CC,40,6.69,共用部份,鋼筋混凝土造,72年5月5日,四層,,
RPRNMLMKNHIGFIB18CC,,72.33,集合住宅,鋼筋混凝土造,111年11月9日,十二層,,
RPQNMLMKNHIGFIB08CC,1,49.47,集合住宅,鋼筋混凝土造,111年8月5日,二十層,,
RPQNMLMKNHIGFIB08CC,1,16.13,管委會使用空間、梯廳、排煙室、緊急昇降機、昇降機、無障礙電梯、防災中心、警衛室、游泳池、樓梯間、水錶室、消防中繼機械室、消防水箱、設備空間、機械室、自來水箱等１６項。,鋼筋混凝土造,111年8月5日,二十層,,
RPQNMLMKNHIGFIB08CC,1,35.03,停車空間、梯廳、昇降機、無障礙電梯、樓梯間、車道、機房、雨、污水機械室、消防機械室兼消防中繼機械室、水箱、機械室、公共水箱、泳池機房、水景機房、機房機械室、電信室、發電機房、垃圾貯存空間、台電配電場所、電錶區等２０項。,鋼筋混凝土造,111年8月5日,二十層,,
RPSNMLMKNHIGFIB28CC,,56.07,集合住宅,鋼筋混凝土造,111年11月9日,十二層,,
RPTNMLMKNHIGFIB38CC,,53.55,集合住宅,鋼筋混凝土造,111年11月9日,十二層,,
RPUNMLMKNHIGFIB48CC,,56.07,集合住宅,鋼筋混凝土造,111年11月9日,十二層,,
RPVNMLMKNHIGFIB58CC,27,69.88,集合住宅,鋼筋混凝土造,84年12月22日,十六層,,
RPVNMLMKNHIGFIB58CC,27,32.95,共有部份,鋼筋混凝土造,84年12月22日,十六層,,
RPWNMLMKNHIGFIB68CC,4,60.95,集合住宅,鋼筋混凝土造,108年5月30日,十二層,,
RPWNMLMKNHIGFIB68CC,4,63.77,防空避難室兼停車空間、梯廳、一般昇降機、緊急昇降機、污水機械室、水箱、排煙室、消防機械室、安全梯、停車空間、車道、電信室、發電機械室、台電配電室、公共服務空間、垃圾暫存室、機車停車空間、管委會使用空間、戶外安全梯、梯間、水錶室、走廊、機械室等２３項。,鋼筋混凝土造,108年5月30日,十二層,,
RPPNMLLKNHIGFCB27CC,24,75.62,辦公室,鋼筋混凝土造,87年11月7日,九層,,
RPPNMLMKNHIGFCB37CC,29,13.99,住家用,鋼筋混凝土造,83年9月30日,十二層,,
RPPNMLMKNHIGFCB37CC,29,7.07,共有部份,鋼筋混凝土造,83年9月30日,十二層,,
RPRNMLMKNHIGFCB57CC,5,133.11,辦公室〈辦公事務所及工商服務業〉,鋼骨鋼筋混凝土造,107年1月31日,三十五層,,
RPRNMLMKNHIGFCB57CC,5,46.69,本共有部分係依使用執照之建築物概要表記載項目有：機械室、門廳、外廊、電梯、電扶梯間、梯廳、排煙室、樓梯間、緊急升降機電梯、行動不便電梯、防災中心、水箱、中繼機房、儲藏室、管委會使用空間、電梯機房、水錶室１７項。,鋼骨鋼筋混凝土造,107年1月31日,三十五層,,
RPRNMLMKNHIGFCB57CC,5,41.26,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、消房機房、水箱、車道、梯廳、排煙室、樓梯間、緊急升降電梯、行動不便電梯、電信室、機械室、防空避難室兼停車空間、台電配電室、發電機房、電錶區、消防中繼機房、消防中繼水箱、垃圾集中處、緊急升降機電梯等１９項。,鋼骨鋼筋混凝土造,107年1月31日,三十五層,,
RPSNMLMKNHIGFCB67CC,25,97.94,辦公室,鋼筋混凝土造,87年7月17日,十四層,,
RPSNMLMKNHIGFCB67CC,25,55.15,共有部份,鋼筋混凝土造,87年7月17日,十四層,,
RPSNMLMKNHIGFCB67CC,25,6.60,共有部份,鋼筋混凝土造,87年7月17日,十四層,,
