編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKNHIGFAB07CC,麻園頭段,.00,都市：住,,,,05910000
RPPNMLLKNHIGFAB07CC,麻園頭段,.00,都市：商,,,,05980000
RPRNMLLKNHIGFIB08CC,北新段,13.08,都市：住,,,,10490000
RPQNMLLKNHIGFIB97CC,東勢尾段,86.43,都市：住,,,,04880000
RPQNMLLKNHIGFIB97CC,東勢尾段,9.03,都市：住,,,,04890000
RPPNMLLKNHIGFIB87CC,新長壽段,128.32,都市：商,,,,00560000
RPPNMLLKNHIGFIB87CC,新長壽段,169.95,都市：商,,,,00560001
RPRNMLMKNHIGFIB18CC,大仁段,.00,都市：住,,,,03110005
RPQNMLMKNHIGFIB08CC,新高鐵段,12.40,都市：商,,,,00890000
RPSNMLMKNHIGFIB28CC,大仁段,.00,都市：住,,,,03110005
RPTNMLMKNHIGFIB38CC,大仁段,.00,都市：住,,,,03110005
RPUNMLMKNHIGFIB48CC,大仁段,.00,都市：住,,,,03110005
RPVNMLMKNHIGFIB58CC,東榮段,10.02,都市：住,,,,04020000
RPWNMLMKNHIGFIB68CC,北新段,18.65,都市：住,,,,10490000
RPQNMLLKNHIGFCB37CC,廣福段,462.90,都市：農,,,,01160000
RPPNMLLKNHIGFCB27CC,何安段,.77,都市：住,,,,03610003
RPPNMLLKNHIGFCB27CC,何安段,3.30,都市：住,,,,03610004
RPPNMLLKNHIGFCB27CC,何安段,.58,都市：住,,,,03610000
RPPNMLMKNHIGFCB37CC,國安段,.00,都市：住,,,,03000000
RPRNMLMKNHIGFCB57CC,惠民段,13.61,都市：其他:新市政中心專用區,,,,01390000
RPSNMLMKNHIGFCB67CC,田心段,45.60,都市：住,,,,09820000
RPTNMLMKNHIGFCB77CC,惠民段,16.14,都市：其他:新市政中心專用區,,,,01430001
RPUNMLMKNHIGFCB87CC,惠民段,16.93,都市：其他:新市政中心專用區,,,,01430001
RPQNMLLKNHIGFBB27CC,陳平段,87.00,都市：住,,,,01310000
RPPNMLLKNHIGFBB17CC,松竹段,5.96,都市：住,,,,11850000
RPVNMLMKNHIGFCB97CC,惠民段,19.36,都市：其他:新市政中心專用區,,,,00110000
RPPNMLMKNHIGFDB47CC,大順段,15.35,都市：住,,,,01950000
RPPNMLMKNHIGFBB27CC,松觀段,.00,都市：住,,,,10380000
RPPNMLMKNHIGFBB27CC,松觀段,.00,都市：商,,,,10570000
RPQNMLMKNHIGFBB37CC,水湳段,129.00,都市：住,,,,13480002
RPRNMLMKNHIGFBB47CC,文正段,.00,都市：商,,,,00250004
RPRNMLMKNHIGFBB47CC,文正段,.00,都市：商,,,,00250114
RPSNMLMKNHIGFBB57CC,乾溝子段,32.99,都市：住,,,,01700005
RPPNMLLKNHIGFHB77CC,摘星段,83.99,都市：商,,,,12850000
RPQNMLLKNHIGFHB87CC,四德段,76.00,都市：住,,,,01390013
RPTNMLMKNHIGFBB67CC,東光段,89.76,都市：商,,,,01930000
RPPNMLMKNHIGFFB67CC,市鎮北段,14.48,都市：住,,,,02980000
RPPNMLMKNHIGFJB08CC,樹孝段,9.61,都市：住,,,,17040000
RPPNMLLKNHIGFJB97CC,新德隆段,7.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08020007
RPUNMLMKNHIGFBB77CC,東峰段,9.71,都市：住,,,,00040000
RPVNMLMKNHIGFBB87CC,乾溝子段,14.24,都市：住,,,,01700049
RPVNMLMKNHIGFBB87CC,乾溝子段,.41,都市：住,,,,01730011
RPWNMLMKNHIGFBB97CC,邱厝子段,.00,都市：住,,,,00550008
RPPNMLMKNHIGFAB17CC,後壠子段,.00,都市：商,,,,01730035
RPQNMLMKNHIGFAB27CC,麻園頭段,5.71,都市：住,,,,00730046
RPRNMLMKNHIGFAB37CC,麻園頭段,21.54,都市：商,,,,08250000
RPSNMLMKNHIGFAB47CC,後壠子段,3.72,都市：商,,,,01480003
RPSNMLMKNHIGFAB47CC,後壠子段,2.80,都市：商,,,,01480096
RPSNMLMKNHIGFAB47CC,後壠子段,.01,都市：商,,,,01490006
RPTNMLMKNHIGFAB57CC,土庫段,.00,都市：住,,,,00280002
RPUNMLMKNHIGFAB67CC,後壠子段,.00,都市：住,,,,01310080
RPVNMLMKNHIGFAB77CC,下橋子頭段,13.77,都市：住,,,,02210006
RPVNMLMKNHIGFAB77CC,下橋子頭段,1.07,都市：其他:道路用地,,,,02210450
RPWNMLMKNHIGFAB87CC,樹子腳段,11.86,都市：住,,,,15610000
RPPNMLNKNHIGFAB27CC,樹子腳段,3.13,都市：住,,,,02680000
RPPNMLNKNHIGFAB27CC,樹子腳段,1.23,都市：住,,,,02680002
RPPNMLNKNHIGFAB27CC,樹子腳段,10.89,都市：住,,,,02680003
RPPNMLNKNHIGFAB27CC,樹子腳段,.01,都市：住,,,,02680004
RPQNMLNKNHIGFAB37CC,平民段五小段,49.33,都市：住,,,,00010041
RPPNMLNKNHIGFIB08CC,新高鐵段,10.53,都市：商,,,,00510000
RPPNMLNKNHIGFJB18CC,樹孝段,11.45,都市：其他:市場用地,,,,01210000
RPPNMLPKNHIGFKB48CC,新東段,10.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04890000
RPPNMLNKNHIGFKB28CC,藝術段,13.85,都市：住,,,,01550000
RPRNMLPKNHIGFCB97DC,何安段,25.00,都市：住,,,,04480000
RPPNMLPKNHIGFJB38CC,勤益段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04090000
RPWNMLMKNHIGFCB08CC,福安段,.00,都市：住,,,,03940000
RPOOMLMKNHIGFCB37CC,福順段,9.52,都市：住,,,,00910000
RPOOMLMKNHIGFCB37CC,福順段,5.39,都市：住,,,,01080000
RPPOMLMKNHIGFCB47CC,豐功段,9.74,都市：商,,,,01470000
RPXNMLMKNHIGFCB18CC,田心段,.00,都市：住,,,,10260000
RPQNMLPKNHIGFJB48CC,樹孝段,26.56,都市：住,,,,16380000
RPPNMLPKNHIGFDB77CC,后科段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01820000
RPQNMLPKNHIGFCB77CC,西屯段,3.57,都市：住,,,,22950000
RPSNMLPKNHIGFDB08CC,后科段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01820000
RPQNMLPKNHIGFHB28CC,石牌段,.00,都市：住,,,,03700000
RPPNMLPKNHIGFCB67CC,何厝段,20.50,都市：住,,,,00990010
RPPNMLPKNHIGFAB47CC,柳川段一小段,1.57,都市：住,,,,00040000
RPPNMLPKNHIGFAB47CC,柳川段一小段,.36,都市：住,,,,00040006
RPQNMLPKNHIGFAB57CC,城隍段七小段,21.05,都市：住,,,,00040000
RPRNMLPKNHIGFAB67CC,公館段,.00,都市：商,,,,00630001
RPQNMLPKNHIGFBB67CC,邱厝子段,.00,都市：住,,,,00540071
RPOOMLMKNHIGFBB27CC,仁美段,10.19,都市：住,,,,11350000
RPTNMLPKNHIGFBB97CC,陳平段,.00,都市：住,,,,16860000
RPRNMLPKNHIGFBB77CC,北屯段,.00,都市：住,,,,01680003
RPQNMLQKNHIGFBB77CC,錦村段,.00,都市：住,,,,02050001
RPSNMLPKNHIGFBB87CC,北屯段,.00,都市：住,,,,05600020
RPPOMLMKNHIGFBB37CC,陳平段,20.61,都市：住,,,,19020000
RPSNMLPKNHIGFBB87CC,北屯段,.00,都市：住,,,,05600021
RPXNMLMKNHIGFBB08CC,東山段,.00,都市：商,,,,02620000
RPPNMLPKNHIGFBB57CC,賴厝廍段,.29,都市：商,,,,00310003
RPPNMLPKNHIGFBB57CC,邱厝子段,.23,都市：商,,,,00310062
RPQOMLMKNHIGFBB47CC,中清段,8.55,都市：商,,,,00060000
RPRNMLQKNHIGFBB87CC,東正段,.00,都市：住,,,,01340001
RPRNMLQKNHIGFBB87CC,東正段,.00,都市：住,,,,01340011
RPSNMLQKNHIGFBB97CC,仁和段,.00,都市：住,,,,05660000
RPTNMLQKNHIGFBB08CC,東新段,7.97,都市：住,,,,01140000
RPWNMLQKNHIGFBB38CC,乾溝子段,36.98,都市：住,,,,01490022
RPUNMLQKNHIGFBB18CC,錦村段,9.61,都市：商,,,,01850000
RPXNMLQKNHIGFBB48CC,東義段,25.57,都市：住,,,,03010000
RPOOMLQKNHIGFBB67CC,仁美段,13.80,都市：住,,,,11350000
RPQOMLQKNHIGFBB87CC,碧柳段,15.05,都市：住,,,,01590000
RPPOMLQKNHIGFBB77CC,北屯段,21.22,都市：住,,,,02030000
RPVNMLQKNHIGFBB28CC,文正段,.00,都市：商,,,,00270019
RPVNMLQKNHIGFBB28CC,文正段,.00,都市：商,,,,00270046
RPVNMLQKNHIGFBB28CC,文正段,.00,都市：商,,,,00270131
RPVNMLQKNHIGFBB28CC,文正段,.00,都市：商,,,,00270368
RPROMLQKNHIGFBB97CC,太順段,18.65,都市：住,,,,00570019
RPPNMLQKNHIGFAB57CC,樹子腳段,3.13,都市：住,,,,02680000
