編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTJQHIGFDC38DA,坡道平面,0,15.02,地下一樓
RPVPMLMLQHIGFDC68DA,坡道平面,0,,地下一樓
RPPNMLKLQHIGFDC67DA,坡道平面,0,,地下一樓
RPVOMLOLQHIGFDC78DA,坡道平面,1500000,42.95,地下一樓
RPPQMLRKQHIGFDC58DA,坡道平面,2300000,29.77,地下二樓
RPXNMLLLQHIGFDC58DA,坡道平面,0,,地下四樓
RPPNMLKMQHIGFDC77DA,坡道平面,0,,地下一樓
RPVOMLNLQHIGFDC68DA,坡道平面,0,,地下一樓
RPQNMLKMQHIGFDC87DA,坡道平面,0,,地下二樓
RPWNMLRJQHIGFDC88DA,坡道平面,1700000,,地下一樓
RPTNMLLLQHIGFDC18DA,坡道平面,0,,地下二樓
RPWOMLMLQHIGFDC68DA,升降機械,900000,15.03,一樓
RPXPMLNJPHIGFDC68DA,坡道平面,0,28.14,地下四樓
RPVTMLPJPHIGFDC09DA,坡道平面,1600000,27.14,地下二樓
RPPNMLKLPHIGFDC57DA,坡道平面,0,35.41,地下二樓
RPPNMLKLPHIGFDC57DA,坡道平面,0,35.41,地下二樓
RPSNMLKLPHIGFDC87DA,一樓平面,0,,一樓
RPUOMLNKPHIGFDC38DA,坡道平面,0,,地下一樓
RPTTMLPLPHIGFDC09DA,坡道平面,0,,地下二樓
RPUTMLPLPHIGFDC56DA,坡道平面,0,27.14,地下二樓
RPPNMLQLPHIGFDC28EA,坡道機械,600000,17.22,地下二樓
RPWNMLRKPHIGFDC88DA,坡道平面,1280000,31.15,地下二樓
RPTPMLOLPHIGFDC58DA,坡道平面,0,,地下三樓
RPWOMLLMPHIGFDC58DA,坡道平面,0,37.98,地下三樓
RPPNMLPKPHIGFDC97DA,坡道平面,0,,地下一樓
RPPNMLPKPHIGFDC97DA,坡道平面,0,,地下一樓
RPPNMLRLPHIGFDC28DA,坡道機械,0,13.57,地下二樓
RPQNMLLLPHIGFDC77DA,坡道平面,0,,地下一樓
RPQNMLTKPHIGFDC48DA,升降機械,0,18.59,地下一樓
RPRNMLRLPHIGFDC48DA,坡道平面,0,,地下三樓
RPUNMLMJQHIGFDC18DA,升降平面,950000,39.23,地下一樓
RPVOMLLMPHIGFDC48DA,坡道平面,0,,地下一樓
RPSNMLLJQHIGFDC87DA,坡道平面,0,37.58,地下二樓
RPTOMLOJQHIGFDC38DA,坡道平面,0,,地下一樓
RPPNMLRJQHIGFDC18DA,坡道平面,0,34.17,地下二樓
RPOOMLRJQHIGFDC18DA,坡道平面,0,,地下一樓
RPOPMLSKPHIGFDC38DA,坡道平面,0,,地下一樓
RPVOMLOLPHIGFDC68DA,坡道平面,0,27.39,地下一樓
RPUOMLKLPHIGFDC18DA,坡道平面,0,28.86,地下一樓
RPUPMLOLPHIGFDC68DA,坡道平面,0,,地下二樓
RPRNMLLJQHIGFDC77DA,坡道平面,1350000,35.96,地下四樓
RPSOMLKKQHIGFDC97DA,坡道平面,0,,地下一樓
RPQOMLRJQHIGFDC38DA,坡道平面,0,27.14,地下四樓
RPQNMLSKPHIGFDC38DA,坡道平面,0,,地下二樓
RPSOMLTKPHIGFDC78DA,坡道平面,1200000,17.88,地下三樓
RPXNMLRJQHIGFDC98DA,坡道平面,0,,地下三樓
RPTOMLKKQHIGFDC08DA,坡道平面,0,36.27,地下二樓
RPXNMLTJQHIGFDC56DA,其他,0,,一樓
RPQNMLMKQHIGFDC87DA,一樓平面,0,,一樓
RPPOMLOLPHIGFDC08DA,其他,0,,一樓
RPRNMLLKQHIGFDC97EA,坡道平面,0,15.48,地下一樓
RPPNMLOKQHIGFDC97DA,坡道機械,0,20.77,地下二樓
RPVNMLPKQHIGFDC68DA,坡道平面,900000,37.58,地下二樓
RPXNMLPKQHIGFDC88DA,坡道平面,0,,地下一樓
RPUOMLKKQHIGFDC18DA,坡道平面,0,,地下二樓
RPQNMLKKQHIGFDC67DA,坡道平面,0,,地下一樓
RPXOMLPKQHIGFDC98DA,坡道機械,0,13.57,地下二樓
RPPPMLSJQHIGFDC48DA,坡道平面,0,,地下三樓
RPXNMLSJQHIGFDC09DA,坡道機械,0,,地下二樓
RPUNMLLMPHIGFDC28DA,坡道平面,0,,地下一樓
RPPOMLSJQHIGFDC38DA,坡道平面,1000000,28.62,地下二樓
RPRNMLOKQHIGFDC18DA,坡道平面,0,,地下一樓
RPTOMLMJQHIGFDC18DA,坡道平面,0,27.93,地下一樓
RPXOMLSLPHIGFDC66DA,坡道平面,0,,地下一樓
RPXNMLOKPHIGFDC68DA,坡道平面,1300000,49.30,地下一樓
RPSOMLSLPHIGFDC78DA,坡道平面,0,,地下一樓
RPQQMLRKQHIGFDC68DA,坡道平面,0,34.65,地下一樓
RPSNMLRKQHIGFDC58DA,坡道平面,0,,地下二樓
RPQOMLSJQHIGFDC48DA,坡道平面,0,,地下一樓
RPPNMLQJQHIGFDC08DA,坡道平面,1200000,,地下二樓
RPSNMLTJQHIGFDC68DA,一樓平面,0,,一樓
RPQNMLQKQHIGFDC28DA,坡道平面,0,,地下二樓
