編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKNHIGFDC97DB,日新段五小段,21.19,都市：商,100000,3057,持分移轉,00140000
RPPNMLPKNHIGFDC87DB,日新段五小段,21.15,都市：商,100000,3052,持分移轉,00140000
RPRNMLOJOHIGFDC87CB,德安段,12.58,都市：商,100000,96,持分移轉,10220000
RPPNMLOJOHIGFDC67CB,德安段,15.99,都市：商,100000,122,持分移轉,10220000
RPXNMLOJOHIGFDC48CB,德安段,13.37,都市：商,100000,102,持分移轉,10220000
RPQNMLOJOHIGFDC77CB,德安段,21.10,都市：商,100000,161,持分移轉,10220000
RPOOMLOJOHIGFDC67CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPUNMLOJOHIGFDC18CB,德安段,12.58,都市：商,100000,96,持分移轉,10220000
RPWNMLOJOHIGFDC38CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPTNMLOJOHIGFDC08CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPVNMLOJOHIGFDC28CB,德安段,18.75,都市：商,100000,143,持分移轉,10220000
RPSNMLOJOHIGFDC97CB,德安段,12.98,都市：商,100000,99,持分移轉,10220000
RPPOMLOJOHIGFDC77CB,德安段,18.35,都市：商,100000,140,持分移轉,10220000
RPVOMLOJOHIGFDC38CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPROMLOJOHIGFDC97CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPSOMLOJOHIGFDC08CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPQOMLOJOHIGFDC87CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPTOMLOJOHIGFDC18CB,德安段,13.50,都市：商,100000,103,持分移轉,10220000
RPUOMLOJOHIGFDC28CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPPNMLPJOHIGFDC87DB,泰安段,28.17,都市：住,10000,130,持分移轉,02930000
RPSNMLKKOHIGFDC67CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPRNMLKKOHIGFDC57CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPTNMLKKOHIGFDC77CB,德安段,18.35,都市：商,100000,140,持分移轉,10220000
RPQNMLPJOHIGFDC87CB,深美段,61.42,都市：住,10000,110,持分移轉,08400004
RPQNMLKKOHIGFDC47CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPXOMLOJOHIGFDC58CB,德安段,18.09,都市：商,100000,138,持分移轉,10220000
RPOPMLOJOHIGFDC77CB,德安段,21.63,都市：商,100000,165,持分移轉,10220000
RPPNMLKKOHIGFDC37CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPPNMLPJOHIGFDC77CB,深美段,54.72,都市：住,10000,98,持分移轉,08400004
RPWOMLOJOHIGFDC48CB,德安段,13.37,都市：商,100000,102,持分移轉,10220000
RPVNMLKKOHIGFDC97CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPXNMLKKOHIGFDC18CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPUNMLKKOHIGFDC87CB,德安段,18.35,都市：商,100000,140,持分移轉,10220000
RPOOMLKKOHIGFDC37CB,德安段,21.63,都市：商,100000,165,持分移轉,10220000
RPPOMLKKOHIGFDC47CB,德安段,12.32,都市：商,100000,94,持分移轉,10220000
RPWNMLKKOHIGFDC08CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPTOMLKKOHIGFDC87CB,德安段,12.98,都市：商,100000,99,持分移轉,10220000
RPQOMLKKOHIGFDC57CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPSOMLKKOHIGFDC77CB,德安段,18.61,都市：商,100000,142,持分移轉,10220000
RPROMLKKOHIGFDC67CB,德安段,21.37,都市：商,100000,163,持分移轉,10220000
RPUOMLKKOHIGFDC97CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPVOMLKKOHIGFDC08CB,德安段,13.37,都市：商,100000,102,持分移轉,10220000
RPRNMLPKOHIGFDC08CB,長潭段,20.18,都市：住,100000,260,持分移轉,09710000
RPPNMLRKOHIGFDC08CB,深美段,61.42,都市：住,10000,110,持分移轉,08400004
RPPNMLPKOHIGFDC87CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPQNMLRKOHIGFDC18CB,長潭段,43.46,都市：住,100000,560,持分移轉,09710000
RPPNMLNLOHIGFDC77CB,德安段,16.39,都市：商,100000,125,持分移轉,10220000
RPRNMLRKOHIGFDC28CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPRNMLNLOHIGFDC97CB,德安段,27.66,都市：商,100000,211,持分移轉,10220000
RPTNMLRKOHIGFDC48CB,長潭段,32.82,都市：住,100000,423,持分移轉,09710000
RPQNMLNLOHIGFDC87CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPTNMLNLOHIGFDC18CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPUNMLRKOHIGFDC58CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPVNMLRKOHIGFDC68CB,長潭段,32.82,都市：住,100000,423,持分移轉,09710000
RPSNMLNLOHIGFDC08CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPSNMLRKOHIGFDC38CB,長潭段,43.46,都市：住,100000,560,持分移轉,09710000
RPUNMLNLOHIGFDC28CB,德安段,16.39,都市：商,100000,125,持分移轉,10220000
RPOOMLNLOHIGFDC77CB,德安段,12.45,都市：商,100000,95,持分移轉,10220000
RPWNMLNLOHIGFDC48CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPVNMLNLOHIGFDC38CB,德安段,15.73,都市：商,100000,120,持分移轉,10220000
RPQOMLNLOHIGFDC97CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPPNMLSLOHIGFDC28CB,深美段,54.72,都市：住,10000,98,持分移轉,08400004
RPPNMLQJPHIGFDC97CB,長潭段,20.87,都市：住,100000,269,持分移轉,09710000
RPROMLNLOHIGFDC08CB,德安段,21.76,都市：商,100000,166,持分移轉,10220000
RPPOMLNLOHIGFDC87CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPXNMLNLOHIGFDC58CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPQNMLQJPHIGFDC18DB,泰安段,27.74,都市：住,10000,128,持分移轉,02930000
RPRNMLQJPHIGFDC18CB,深美段,61.42,都市：住,10000,110,持分移轉,08400004
RPRNMLQJPHIGFDC28DB,泰安段,27.74,都市：住,10000,128,持分移轉,02930000
RPPNMLQJPHIGFDC08DB,泰安段,27.74,都市：住,10000,128,持分移轉,02930000
RPSNMLQJPHIGFDC38DB,泰安段,27.74,都市：住,10000,128,持分移轉,02930000
RPQNMLQJPHIGFDC08CB,深美段,61.42,都市：住,10000,110,持分移轉,08400004
RPTNMLQJPHIGFDC48DB,泰安段,27.74,都市：住,10000,128,持分移轉,02930000
RPPNMLSJPHIGFDC18CB,德安段,19.14,都市：商,100000,146,持分移轉,10220000
RPRNMLSJPHIGFDC38CB,德安段,12.58,都市：商,100000,96,持分移轉,10220000
RPQNMLSJPHIGFDC28CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPVNMLSJPHIGFDC78CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPTNMLSJPHIGFDC58CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPUNMLSJPHIGFDC68CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPXNMLSJPHIGFDC98CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPQOMLSJPHIGFDC38CB,德安段,15.86,都市：商,100000,121,持分移轉,10220000
RPPOMLSJPHIGFDC28CB,德安段,21.63,都市：商,100000,165,持分移轉,10220000
RPOOMLSJPHIGFDC18CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPROMLSJPHIGFDC48CB,德安段,12.58,都市：商,100000,96,持分移轉,10220000
RPSNMLSJPHIGFDC48CB,德安段,19.27,都市：商,100000,147,持分移轉,10220000
RPWNMLSJPHIGFDC88CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPTOMLSJPHIGFDC68CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPUOMLSJPHIGFDC78CB,德安段,16.39,都市：商,100000,125,持分移轉,10220000
RPSOMLSJPHIGFDC58CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPPNMLTKPHIGFDC38CB,長潭段,21.11,都市：住,100000,272,持分移轉,09710000
RPWOMLSJPHIGFDC98CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPVOMLSJPHIGFDC88CB,德安段,15.73,都市：商,100000,120,持分移轉,10220000
RPPNMLSKPHIGFDC28CB,深美段,61.42,都市：住,10000,110,持分移轉,08400004
RPPNMLKLPHIGFDC57CB,長潭段,20.87,都市：住,100000,269,持分移轉,09710000
RPXOMLSJPHIGFDC09CB,德安段,13.37,都市：商,100000,102,持分移轉,10220000
RPOPMLSJPHIGFDC28CB,德安段,12.45,都市：商,100000,95,持分移轉,10220000
RPRNMLKLPHIGFDC77CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPSNMLKLPHIGFDC87CB,長潭段,43.46,都市：住,100000,560,持分移轉,09710000
RPTNMLKLPHIGFDC97CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPPNMLMLPHIGFDC77CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPQNMLMLPHIGFDC87CB,德安段,20.71,都市：商,100000,158,持分移轉,10220000
RPQNMLKLPHIGFDC67CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPRNMLMLPHIGFDC97CB,德安段,15.73,都市：商,100000,120,持分移轉,10220000
RPTNMLMLPHIGFDC18CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPSNMLMLPHIGFDC08CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPUNMLMLPHIGFDC28CB,德安段,12.45,都市：商,100000,95,持分移轉,10220000
RPOOMLMLPHIGFDC77CB,德安段,12.98,都市：商,100000,99,持分移轉,10220000
RPPOMLMLPHIGFDC87CB,德安段,20.97,都市：商,100000,160,持分移轉,10220000
RPXNMLMLPHIGFDC58CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPWNMLMLPHIGFDC48CB,德安段,21.37,都市：商,100000,163,持分移轉,10220000
RPROMLMLPHIGFDC08CB,德安段,18.75,都市：商,100000,143,持分移轉,10220000
RPVNMLMLPHIGFDC38CB,德安段,44.44,都市：商,100000,339,持分移轉,10220000
RPUOMLMLPHIGFDC38CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPTOMLMLPHIGFDC28CB,德安段,12.58,都市：商,100000,96,持分移轉,10220000
RPQOMLMLPHIGFDC97CB,德安段,18.75,都市：商,100000,143,持分移轉,10220000
RPSOMLMLPHIGFDC18CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPWOMLMLPHIGFDC58CB,德安段,28.31,都市：商,100000,216,持分移轉,10220000
RPXOMLMLPHIGFDC68CB,德安段,18.75,都市：商,100000,143,持分移轉,10220000
RPSPMLMLPHIGFDC28CB,德安段,21.10,都市：商,100000,161,持分移轉,10220000
RPVOMLMLPHIGFDC48CB,德安段,21.37,都市：商,100000,163,持分移轉,10220000
RPOPMLMLPHIGFDC87CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPTPMLMLPHIGFDC38CB,德安段,13.37,都市：商,100000,102,持分移轉,10220000
RPPPMLMLPHIGFDC97CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPQPMLMLPHIGFDC08CB,德安段,18.22,都市：商,100000,139,持分移轉,10220000
RPUPMLMLPHIGFDC48CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPRPMLMLPHIGFDC18CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPVPMLMLPHIGFDC58CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPRNMLRLPHIGFDC48CB,長潭段,32.82,都市：住,100000,423,持分移轉,09710000
RPWNMLRLPHIGFDC98CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPPNMLRLPHIGFDC28CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPSNMLRLPHIGFDC58CB,長潭段,43.46,都市：住,100000,560,持分移轉,09710000
RPWPMLMLPHIGFDC68CB,德安段,13.11,都市：商,100000,100,持分移轉,10220000
RPQNMLRLPHIGFDC38CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPTNMLRLPHIGFDC68CB,長潭段,21.11,都市：住,100000,272,持分移轉,09710000
RPUNMLRLPHIGFDC78CB,長潭段,32.82,都市：住,100000,423,持分移轉,09710000
RPVNMLRLPHIGFDC88CB,長潭段,26.07,都市：住,100000,336,持分移轉,09710000
RPQNMLMJQHIGFDC77CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPRNMLMJQHIGFDC87CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPPNMLMJQHIGFDC67CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPSNMLMJQHIGFDC97CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPUNMLMJQHIGFDC18CB,德安段,18.61,都市：商,100000,142,持分移轉,10220000
RPXNMLMJQHIGFDC48CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPVNMLMJQHIGFDC28CB,德安段,21.37,都市：商,100000,163,持分移轉,10220000
RPTNMLMJQHIGFDC08CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
RPOOMLMJQHIGFDC67CB,德安段,12.85,都市：商,100000,98,持分移轉,10220000
RPWNMLMJQHIGFDC38CB,德安段,12.72,都市：商,100000,97,持分移轉,10220000
RPPOMLMJQHIGFDC77CB,德安段,13.24,都市：商,100000,101,持分移轉,10220000
