鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
暖暖區,建物,基隆市暖暖區碇內街４１８號３樓,0.0,住,,,1120505,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,78.31,3,1,1,有,有,有,8700,111,,0.0,0,,RPPNMLLKNHIGFDC47CC
信義區,建物,基隆市信義區深溪路５５巷９６號４樓,0.0,住,,,1120509,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880122,134.68,3,2,2,有,有,有,14000,104,,0.0,0,,RPQNMLLKNHIGFDC57CC
七堵區,建物,基隆市七堵區長安街２３１巷１３２之１號,0.0,,鄉村區,乙種建築用地,1120427,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.21,3,1,2,有,無,有,14000,143,,0.0,0,,RPRNMLLKNHIGFDC67CC
中山區,建物,基隆市中山區復興路２８９之１號,0.0,住,,,1120504,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691107,78.08,3,1,1,有,無,有,9000,115,,0.0,0,,RPSNMLLKNHIGFDC77CC
中正區,建物,基隆市中正區新豐街３３０號１０樓,0.0,住,,,1120506,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,144.98,4,2,2,有,有,有,14000,97,,0.0,0,,RPTNMLLKNHIGFDC87CC
中正區,建物,基隆市中正區新豐街３０３巷１１弄２７號３樓,0.0,住,,,1120501,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830429,160.12,3,1,2,有,有,有,11000,69,,0.0,0,,RPUNMLLKNHIGFDC97CC
信義區,建物,基隆市信義區東信路５號４樓,0.0,其他,,,1120510,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860203,99.13,2,1,2,有,有,有,10000,101,,0.0,0,,RPVNMLLKNHIGFDC08CC
安樂區,建物,基隆市安樂區中平街７巷３號５樓,0.0,住,,,1120508,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781123,121.39,3,2,2,有,無,有,10000,82,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPWNMLLKNHIGFDC18CC
中正區,建物,基隆市中正區義二路２５２巷５之２號,0.0,住,,,1120510,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670518,72.6,1,1,1,有,無,有,7500,103,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPPNMLMKNHIGFDC57CC
