編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLLKNHIGFDC67CC,,98.21,住家用,鋼筋混凝土造,,三層,,
RPSNMLLKNHIGFDC77CC,42,78.08,住家用,鋼筋混凝土造,69年11月7日,四層,,
RPQNMLLKNHIGFDC57CC,24,83.67,住家用,鋼筋混凝土造,88年1月22日,五層,,
RPQNMLLKNHIGFDC57CC,24,7.91,共用部份,鋼筋混凝土造,88年1月22日,五層,,
RPQNMLLKNHIGFDC57CC,24,5.76,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPQNMLLKNHIGFDC57CC,24,35.05,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPQNMLLKNHIGFDC57CC,24,2.29,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPTNMLLKNHIGFDC87CC,27,123.07,住家用,鋼筋混凝土造,85年3月9日,十四層,,
RPTNMLLKNHIGFDC87CC,27,21.91,共用部份,鋼筋混凝土造,85年3月9日,十五層,,
RPPNMLLKNHIGFDC47CC,28,58.79,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPPNMLLKNHIGFDC47CC,28,9.88,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPPNMLLKNHIGFDC47CC,28,9.64,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPUNMLLKNHIGFDC97CC,29,104.89,住家用,鋼筋混凝土造,83年4月29日,七層,,
RPUNMLLKNHIGFDC97CC,29,40.23,共用部份,鋼筋混凝土造,83年4月29日,七層,,
RPUNMLLKNHIGFDC97CC,29,15.00,共用部份,鋼筋混凝土造,83年4月29日,七層,,
RPRNMLMKNHIGFDC77CC,25,98.41,住家用,鋼筋混凝土造,86年11月21日,十九層,,
RPRNMLMKNHIGFDC77CC,25,15.72,共用部份,鋼筋混凝土造,86年11月21日,十九層,,
RPRNMLMKNHIGFDC77CC,25,8.82,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPRNMLMKNHIGFDC77CC,25,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPSNMLMKNHIGFDC87CC,45,35.39,住家用,鋼筋混凝土造,66年11月1日,五層,,
RPTNMLMKNHIGFDC97CC,39,83.17,住家用,鋼筋混凝土造,73年5月5日,五層,,
RPVNMLLKNHIGFDC08CC,26,74.91,住家用,鋼筋混凝土造,86年2月3日,七層,,
RPVNMLLKNHIGFDC08CC,26,24.22,共用部份,鋼筋混凝土造,86年2月3日,七層,,
RPQNMLMKNHIGFDC67CC,24,12.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPVNMLMKNHIGFDC18CC,27,51.96,住家用,鋼筋混凝土造,85年6月3日,五層,,
RPQNMLMKNHIGFDC67CC,24,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLMKNHIGFDC67CC,24,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPVNMLMKNHIGFDC18CC,27,2.78,共用部份,鋼筋混凝土造,85年6月3日,五層,,
RPWNMLLKNHIGFDC18CC,33,110.81,住家用,鋼筋混凝土造,78年11月23日,五層,,
RPQNMLMKNHIGFDC67CC,24,82.75,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLLKNHIGFDC18CC,33,10.58,共用部份,鋼筋混凝土造,78年11月23日,五層,,
RPQNMLMKNHIGFDC67CC,24,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLMKNHIGFDC08CC,24,20.63,住家用,鋼筋混凝土造,88年1月22日,七層,,
RPQNMLMKNHIGFDC67CC,24,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLMKNHIGFDC08CC,24,4.25,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPQNMLMKNHIGFDC67CC,24,92.44,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLMKNHIGFDC08CC,24,1.77,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPUNMLMKNHIGFDC08CC,24,.53,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPWNMLMKNHIGFDC28CC,26,24.03,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPUNMLMKNHIGFDC08CC,24,.70,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPWNMLMKNHIGFDC28CC,26,3.89,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWNMLMKNHIGFDC28CC,26,1.43,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWNMLMKNHIGFDC28CC,26,1.79,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPNMLMKNHIGFDC57CC,45,72.60,住家用,鋼筋混凝土造,67年5月18日,五層,,
RPXNMLMKNHIGFDC38CC,27,35.40,住家用,鋼筋混凝土造,85年5月8日,十六層,,
RPQNMLQKNHIGFDC08CC,49,78.26,住家用,鋼筋混凝土加強磚造,63年7月29日,四層,,
RPXNMLMKNHIGFDC38CC,28,.08,共用部份,鋼筋混凝土造,84年7月25日,十六層,,
RPXNMLMKNHIGFDC38CC,28,1.20,共用部份,鋼筋混凝土造,84年7月25日,十六層,,
RPRNMLPKNHIGFDC08CC,30,23.69,住家用,鋼筋混凝土造,82年1月11日,十二層,,
RPXNMLMKNHIGFDC38CC,28,4.06,共用部份,鋼筋混凝土造,84年7月25日,十六層,,
RPRNMLPKNHIGFDC08CC,30,1.74,共用部份,鋼筋混凝土造,82年1月11日,十二層,,
RPRNMLPKNHIGFDC08CC,30,4.32,共用部份,鋼筋混凝土造,82年1月11日,十二層,,
RPRNMLPKNHIGFDC08CC,30,1.98,共用部份,鋼筋混凝土造,82年1月11日,十二層,,
RPQNMLPKNHIGFDC97CC,27,87.39,住家用,鋼筋混凝土造,85年2月16日,七層,,
RPQNMLPKNHIGFDC97CC,27,54.36,共用部份,鋼筋混凝土造,85年2月16日,七層,,
RPPNMLQKNHIGFDC97CC,34,89.99,住家用,鋼筋混凝土造,77年12月9日,五層,,
RPOOMLMKNHIGFDC57CC,27,73.99,住家用,鋼筋混凝土造,85年2月17日,十層,,
RPOOMLMKNHIGFDC57CC,27,8.83,共用部份,鋼筋混凝土造,85年2月17日,十層,,
RPOOMLMKNHIGFDC57CC,27,16.75,共用部份,鋼筋混凝土造,85年2月17日,十層,,
RPPOMLMKNHIGFDC67CC,24,101.54,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPPOMLMKNHIGFDC67CC,24,19.48,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPOMLMKNHIGFDC67CC,24,5.67,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLPKNHIGFDC28CC,28,72.53,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPPOMLMKNHIGFDC67CC,24,33.88,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLPKNHIGFDC28CC,28,12.12,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPPOMLMKNHIGFDC67CC,24,2.45,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLPKNHIGFDC28CC,28,13.68,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPSNMLPKNHIGFDC18CC,2,64.99,集合住宅,鋼筋混凝土造,110年10月14日,九層,,
RPPOMLMKNHIGFDC67CC,24,1.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPSNMLPKNHIGFDC18CC,2,36.41,本建物共有部分之項目有行動不便者電梯、管委會使用空間、樓電梯間、梯廳、中控警衛室、大廳、樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、走廊、配電室、警衛室、消防泵浦室、汽車坡道、機車停車空間、發電機室、電信室、防空避難室、車道、垃圾儲藏室、機房等共２３項。,鋼筋混凝土造,110年10月14日,九層,,
RPRNMLQKNHIGFDC18CC,28,23.75,住家用,鋼筋混凝土造,84年1月27日,十層,,
RPRNMLQKNHIGFDC18CC,28,3.84,共用部份,鋼筋混凝土造,84年1月27日,十層,,
RPRNMLQKNHIGFDC18CC,28,.78,共用部份,鋼筋混凝土造,84年1月27日,十層,,
RPPNMLRKNHIGFDC08CC,23,46.49,住家用,鋼筋混凝土造,89年9月5日,四層,,
RPPNMLRKNHIGFDC08CC,23,8.83,共用部份,鋼筋混凝土造,89年9月5日,四層,,
RPQNMLRKNHIGFDC18CC,23,35.42,住家用,鋼筋混凝土造,89年9月5日,四層,,
RPQNMLRKNHIGFDC18CC,23,8.83,共用部份,鋼筋混凝土造,89年9月5日,四層,,
RPUNMLRKNHIGFDC58CC,16,51.73,住家用,鋼筋混凝土造,96年1月31日,八層,,
RPUNMLRKNHIGFDC58CC,16,39.40,共用部份,鋼筋混凝土造,96年1月31日,八層,,
RPUNMLRKNHIGFDC58CC,16,17.08,共用部份,鋼筋混凝土造,96年1月31日,八層,,
RPUNMLRKNHIGFDC58CC,16,7.14,共用部份,鋼筋混凝土造,96年1月31日,八層,,
RPXNMLRKNHIGFDC88CC,40,98.04,住家用,鋼筋混凝土造,71年12月20日,五層,,
RPVNMLRKNHIGFDC68CC,37,93.48,住家用,鋼筋混凝土造,74年11月26日,五層,,
RPOOMLRKNHIGFDC08CC,26,74.19,住家用,鋼筋混凝土造,86年1月17日,二十層,,
RPOOMLRKNHIGFDC08CC,26,19.33,共用部份,鋼筋混凝土造,86年1月17日,二十層,,
RPWNMLRKNHIGFDC78CC,26,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPWNMLRKNHIGFDC78CC,26,4.19,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWNMLRKNHIGFDC78CC,26,1.44,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWNMLRKNHIGFDC78CC,26,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPOOMLRKNHIGFDC08CC,26,1.50,共用部份,鋼筋混凝土造,86年1月17日,二十層,,
RPPOMLRKNHIGFDC18CC,26,86.83,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPPOMLRKNHIGFDC18CC,26,11.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPQOMLRKNHIGFDC28CC,46,66.30,住家用,鋼筋混凝土加強磚造,66年8月9日,五層,,
RPPOMLRKNHIGFDC18CC,26,5.17,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPOMLRKNHIGFDC18CC,26,41.78,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPOMLRKNHIGFDC18CC,26,7.12,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPROMLRKNHIGFDC38CC,24,91.32,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPROMLRKNHIGFDC38CC,24,13.14,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPROMLRKNHIGFDC38CC,24,.56,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPROMLRKNHIGFDC38CC,24,2.84,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPROMLRKNHIGFDC38CC,24,34.47,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPROMLRKNHIGFDC38CC,24,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPROMLRKNHIGFDC38CC,24,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTOMLRKNHIGFDC58CC,54,37.64,住家用,加強磚造,58年2月7日,三層,,
RPUOMLRKNHIGFDC68CC,24,102.07,住家用,鋼筋混凝土造,87年12月10日,十一層,,
RPUOMLRKNHIGFDC68CC,24,17.63,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPUOMLRKNHIGFDC68CC,24,16.90,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPRNMLSKNHIGFDC38CC,12,49.58,店舖,鋼筋混凝土造,100年3月9日,四層,,
RPQNMLSKNHIGFDC28CC,43,93.15,住家用,鋼筋混凝土造,69年7月17日,四層,,
RPPNMLSKNHIGFDC18CC,23,42.93,住家用,鋼筋混凝土造,89年9月5日,四層,,
RPPNMLSKNHIGFDC18CC,23,8.83,共用部份,鋼筋混凝土造,89年9月5日,四層,,
RPSNMLSKNHIGFDC48CC,30,122.97,住家用,鋼筋混凝土造,81年12月16日,十二層,,
RPSNMLSKNHIGFDC48CC,30,23.38,共用部份,鋼筋混凝土造,81年12月16日,十二層,,
RPWNMLSKNHIGFDC88CC,25,28.38,住家用,鋼筋混凝土造,86年11月21日,十八層,,
RPSNMLSKNHIGFDC48CC,30,3.35,共用部份,鋼筋混凝土造,81年12月16日,十八層,,
RPWNMLSKNHIGFDC88CC,25,6.83,共用部份,鋼筋混凝土造,86年11月21日,十八層,,
RPWNMLSKNHIGFDC88CC,25,2.50,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPVNMLSKNHIGFDC78CC,41,84.81,住家用,鋼筋混凝土造,71年5月24日,五層,,
RPPNMLTKNHIGFDC28CC,24,67.72,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPVNMLSKNHIGFDC78CC,41,6.74,共用部份,鋼筋混凝土造,71年5月24日,五層,,
RPPNMLTKNHIGFDC28CC,24,15.54,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLTKNHIGFDC28CC,24,.83,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLTKNHIGFDC28CC,24,3.87,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLTKNHIGFDC28CC,24,48.96,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLTKNHIGFDC28CC,24,1.62,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLTKNHIGFDC28CC,24,.79,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLSKNHIGFDC58CC,24,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,,
RPTNMLSKNHIGFDC58CC,24,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPTNMLSKNHIGFDC58CC,24,5.18,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPTNMLSKNHIGFDC58CC,24,36.53,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPTNMLSKNHIGFDC58CC,24,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLSKNHIGFDC58CC,24,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLTKNHIGFDC38CC,24,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLTKNHIGFDC38CC,24,8.32,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLSKNHIGFDC68CC,30,56.59,住家用,鋼筋混凝土造,82年11月8日,七層,,
RPQNMLTKNHIGFDC38CC,24,2.33,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLSKNHIGFDC68CC,30,3.00,共用部份,鋼筋混凝土造,82年11月8日,七層,,
RPQNMLTKNHIGFDC38CC,24,139.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLTKNHIGFDC38CC,24,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLSKNHIGFDC68CC,30,7.06,共用部份,鋼筋混凝土造,82年11月8日,七層,,
RPQNMLTKNHIGFDC38CC,24,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLTKNHIGFDC48CC,27,104.80,住家用,鋼筋混凝土造,85年7月18日,六層,,
RPRNMLTKNHIGFDC48CC,27,14.92,共用部份,鋼筋混凝土造,85年7月18日,六層,,
RPRNMLTKNHIGFDC48CC,27,18.25,共用部份,鋼筋混凝土造,85年7月18日,六層,,
RPTNMLTKNHIGFDC68CC,48,31.62,住家用,鋼筋混凝土加強磚造,64年11月14日,三層,,
RPUNMLTKNHIGFDC78CC,36,91.91,住家用,鋼筋混凝土造,76年3月23日,五層,,
RPSNMLTKNHIGFDC58CC,28,65.98,住家用,鋼筋混凝土造,84年5月17日,六層,,
RPSNMLTKNHIGFDC58CC,28,12.61,共用部份,鋼筋混凝土造,84年5月17日,六層,,
RPSNMLTKNHIGFDC58CC,28,13.98,共用部份,鋼筋混凝土造,84年5月17日,六層,,
RPQNMLMLNHIGFDC77CC,29,105.55,住家用,鋼筋混凝土造,83年4月13日,五層,,
RPQNMLMLNHIGFDC77CC,29,2.79,共用部份,鋼筋混凝土造,83年4月13日,五層,,
RPPNMLNLNHIGFDC77CC,28,71.19,住家用,鋼筋混凝土造,84年5月17日,六層,,
RPRNMLMLNHIGFDC87CC,24,133.77,住家用,鋼筋混凝土造,88年1月14日,十四層,,
RPQNMLNLNHIGFDC87CC,41,51.26,住家用,鋼筋混凝土造,71年2月27日,五層,,
RPPNMLNLNHIGFDC77CC,28,13.17,共用部份,鋼筋混凝土造,84年5月17日,六層,,
RPVNMLTKNHIGFDC88CC,28,101.88,住家用,鋼筋混凝土造,84年10月2日,七層,,
RPPNMLNLNHIGFDC77CC,28,14.50,共用部份,鋼筋混凝土造,84年5月17日,六層,,
RPPNMLMLNHIGFDC67CC,36,77.95,國民住宅,鋼筋混凝土造,75年12月20日,五層,,
RPVNMLTKNHIGFDC88CC,28,2.25,共用部份,鋼筋混凝土造,84年10月2日,七層,,
RPVNMLTKNHIGFDC88CC,28,4.43,共用部份,鋼筋混凝土造,84年10月2日,七層,,
RPVNMLTKNHIGFDC88CC,28,8.45,共用部份,鋼筋混凝土造,84年10月2日,七層,,
RPPNMLOLNHIGFDC87CC,,66.66,住家用,加強磚造,,二層,,
RPQNMLOLNHIGFDC97CC,28,56.15,住家用,鋼筋混凝土造,84年9月14日,四層,,
RPRNMLOLNHIGFDC08CC,28,48.06,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPRNMLOLNHIGFDC08CC,28,7.92,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPRNMLOLNHIGFDC08CC,28,8.94,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPSNMLOLNHIGFDC18CC,45,61.41,住家用,鋼筋混凝土造,67年8月9日,五層,,
RPVNMLOLNHIGFDC48CC,30,113.86,住家用,鋼筋混凝土造,82年7月23日,五層,,
RPVNMLOLNHIGFDC48CC,30,38.02,共用部份,鋼筋混凝土造,82年7月23日,五層,,
