編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKNHIGFDC67CC,長安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00920000
RPSNMLLKNHIGFDC77CC,德安段,.00,都市：住,,,,06430000
RPQNMLLKNHIGFDC57CC,深澳段,.00,都市：住,,,,10170000
RPTNMLLKNHIGFDC87CC,調和段,.00,都市：住,,,,14140000
RPPNMLLKNHIGFDC47CC,源遠段,.00,都市：住,,,,11280008
RPUNMLLKNHIGFDC97CC,調和段,.00,都市：住,,,,03850000
RPRNMLMKNHIGFDC77CC,調和段,.00,都市：其他:部份道路用地部份住宅區(住二),,,,14150000
RPSNMLMKNHIGFDC87CC,港灣段二小段,.00,都市：商,,,,00160007
RPSNMLMKNHIGFDC87CC,港灣段二小段,.00,都市：商,,,,00160030
RPTNMLMKNHIGFDC97CC,光明段,.00,都市：住,,,,02310000
RPVNMLLKNHIGFDC08CC,光明段,.00,都市：住,,,,06190000
RPVNMLLKNHIGFDC08CC,光明段,.00,都市：其他:道路用地,,,,06190001
RPQNMLMKNHIGFDC67CC,長潭段,.00,都市：住,,,,08920000
RPVNMLMKNHIGFDC18CC,港灣段一小段,.00,都市：住,,,,00620076
RPWNMLLKNHIGFDC18CC,保定段,.00,都市：住,,,,01520000
RPUNMLMKNHIGFDC08CC,深澳段,.00,都市：住,,,,10170000
RPWNMLMKNHIGFDC28CC,調和段,.00,都市：住,,,,14130000
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：住,,,,00170034
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：住,,,,00170058
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：住,,,,00170075
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：其他:道路用地,,,,00170099
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：其他:道路用地,,,,00170103
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：其他:道路用地,,,,00170105
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：其他:道路用地,,,,00170126
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：其他:道路用地,,,,00170127
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：住,,,,00370061
RPPNMLMKNHIGFDC57CC,忠義段六小段,.00,都市：住,,,,00370064
RPXNMLMKNHIGFDC38CC,觀音段,.00,都市：其他:市場用地,,,,00720000
RPQNMLQKNHIGFDC08CC,延平段,.00,都市：住,,,,04920000
RPRNMLPKNHIGFDC08CC,新會段,.00,都市：住,,,,02100000
RPQNMLPKNHIGFDC97CC,武嶺段,.00,都市：其他:部份道路用地、部份住宅區(住一),,,,03930000
RPQNMLPKNHIGFDC97CC,武嶺段,.00,都市：住,,,,03930003
RPPNMLQKNHIGFDC97CC,中濱段,.00,都市：住,,,,00110003
RPPNMLQKNHIGFDC97CC,中濱段,.00,都市：住,,,,00120012
RPOOMLMKNHIGFDC57CC,源遠段,.00,都市：住,,,,11280000
RPPOMLMKNHIGFDC67CC,長潭段,.00,都市：住,,,,08920000
RPTNMLPKNHIGFDC28CC,源遠段,.00,都市：住,,,,11280002
RPSNMLPKNHIGFDC18CC,調和段,.00,都市：住,,,,13820021
RPRNMLQKNHIGFDC18CC,培德段,.00,都市：住,,,,07330000
RPPNMLRKNHIGFDC08CC,田寮段,.00,都市：住,,,,01260003
RPQNMLRKNHIGFDC18CC,田寮段,.00,都市：住,,,,01260003
RPUNMLRKNHIGFDC58CC,大德段,.00,都市：住,,,,06800018
RPXNMLRKNHIGFDC88CC,安國段,.00,都市：住,,,,00270004
RPVNMLRKNHIGFDC68CC,中正段三小段,.00,都市：住,,,,00230003
RPOOMLRKNHIGFDC08CC,新城段,.00,都市：住,,,,09700000
RPWNMLRKNHIGFDC78CC,調和段,.00,都市：住,,,,14130000
RPPOMLRKNHIGFDC18CC,調和段,.00,都市：住,,,,14130000
RPQOMLRKNHIGFDC28CC,港濱段,.00,都市：住,,,,03360000
RPROMLRKNHIGFDC38CC,長潭段,.00,都市：住,,,,08450003
RPTOMLRKNHIGFDC58CC,延平段,.00,都市：住,,,,10580000
RPUOMLRKNHIGFDC68CC,新會段,.00,都市：住,,,,00720000
RPRNMLSKNHIGFDC38CC,長潭段,204.66,都市：住,,,,09750022
RPQNMLSKNHIGFDC28CC,德育段,.00,都市：住,,,,06480000
RPPNMLSKNHIGFDC18CC,田寮段,.00,都市：住,,,,01260003
RPSNMLSKNHIGFDC48CC,麥金段,.00,都市：住,,,,01980000
RPWNMLSKNHIGFDC88CC,調和段,.00,都市：其他:部份道路用地、部份住宅區(住二),,,,14150000
