編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLQLNHIGFDC48CC,坡道平面,3500,,地下五樓含以下
RPSNMLTLNHIGFDC68CC,坡道平面,3500,,地下一樓
RPUNMLTLNHIGFDC88CC,其他,1200,,地下五樓含以下
RPTNMLTLNHIGFDC78CC,坡道平面,3000,,地下三樓
RPUNMLRJOHIGFDC58CC,坡道平面,4000,,地下一樓
RPSNMLNKOHIGFDC08CC,坡道平面,3400,,地下一樓
RPSNMLNKOHIGFDC08CC,其他,1200,,地下一樓
RPQNMLRKOHIGFDC28CC,坡道平面,0,,地下一樓
RPVNMLRLOHIGFDC88CC,坡道平面,1200,,地下五樓含以下
RPRNMLOKPHIGFDC18CC,坡道平面,2000,,地下二樓
RPPNMLRLPHIGFDC38CC,坡道機械,3000,,地下二樓
