鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
後壁區,土地,頂平段824-4地號,134.1,,鄉村區,乙種建築用地,1120902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,6711,,0.0,0,,RPSNMLMJRHIGFED28DA,0.0,0.0,0.0,無,
柳營區,土地,五軍營段695地號,1966.0,,特定農業區,農牧用地,1120903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3243900,1650,,0.0,0,,RPPNMLNJRHIGFDD97DA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區樹林街二段１２５巷３３號三樓之６,15.76,住,,,1120801,土地1建物3車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790709,58.2,3,3,3,有,無,3100000,53265,,0.0,0,,RPWNMLOJQHIGFAD38DA,33.28,0.31,5.17,無,
後壁區,土地,新溝段500地號,344.29,,鄉村區,乙種建築用地,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,5809,,0.0,0,,RPQNMLQJQHIGFED38DA,0.0,0.0,0.0,無,
新化區,土地,拔林段2329-1地號,1419.0,,一般農業區,農牧用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1650000,1163,,0.0,0,本案係低於公告現值之買賣。,RPOOMLOJQHIGFHD38DA,0.0,0.0,0.0,無,
仁德區,土地,土庫段476地號,20.42,住,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,560000,27424,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRJQHIGFID98DA,0.0,0.0,0.0,無,0001
中西區,房地(土地+建物),臺南市中西區海安路二段２９９號,46.24,住,,,1120801,土地1建物1車位0,全,二層,透天厝,住商用,鋼骨造,0860310,85.08,2,2,3,有,無,5537485,65086,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJQHIGFAD28DA,85.08,0.0,0.0,無,
下營區,土地,營和段1046地號,149.16,都市：其他:住宅區,,,1120803,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300000,15420,,0.0,0,,RPPNMLSJQHIGFFD68EA,0.0,0.0,0.0,無,
新市區,土地,大社段138-1地號,194.0,,一般農業區,交通用地,1120806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,6186,,0.0,0,急買急賣；,RPPNMLTJQHIGFHD98EA,0.0,0.0,0.0,無,
