編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMJRHIGFED28DA,頂平段,134.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,24,持分移轉,08240004
RPOOMLOJQHIGFHD38DA,𦰡拔林段,1419.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,23290001
RPRNMLSJQHIGFAD28DA,老古石段,46.24,都市：其他:住宅區,100,49,持分移轉,04790000
RPPNMLNJRHIGFDD97DA,五軍營段,1966.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06950000
RPPNMLSJQHIGFFD68EA,營和段,60.88,都市：其他:住宅區,14,1,持分移轉,10460000
RPPNMLSJQHIGFFD68EA,營和段,28.58,都市：其他:計畫道路用地,14,1,持分移轉,10470000
RPPNMLSJQHIGFFD68EA,營和段,59.70,都市：其他:住宅區,14,1,持分移轉,10480000
RPWNMLOJQHIGFAD38DA,南門段,15.76,都市：其他:住宅區,20000,1810,持分移轉,11630000
RPRNMLRJQHIGFID98DA,土庫段,20.42,都市：其他:住宅區,1,1,全筆移轉,04760000
RPPNMLTJQHIGFHD98EA,大社段,194.00,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,01380001
RPQNMLQJQHIGFED38DA,新溝段,174.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05000000
RPWNMLNJQHIGFHD98DA,新安段,63.85,都市：其他:住宅區,10,3,持分移轉,02120000
RPQNMLQJQHIGFED38DA,新溝段,169.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05010000
RPUOMLLMPHIGFBD28DA,公學段,13.12,都市：其他:公園兼兒童遊樂場用地,1,1,全筆移轉,02630001
RPQOMLNJQHIGFID58DA,刣豬厝段,12.28,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,895,持分移轉,04590000
RPPNMLKKQHIGFDD77EA,雙和段,47.50,都市：其他:住宅區,5000,457,持分移轉,08020000
RPVNMLSJQHIGFBD88EA,原佃段,173.64,都市：其他:公園兼兒童遊樂場用地,1,1,全筆移轉,11210000
RPVNMLSJQHIGFBD88EA,原佃段,1076.87,都市：其他:公園兼兒童遊樂場用地,1,1,全筆移轉,11220000
RPVNMLSJQHIGFBD88EA,原佃段,15.36,都市：其他:細部計畫道路用地,1,1,全筆移轉,11220001
RPTOMLLMPHIGFBD18DA,公學段,409.46,都市：其他:公園兼兒童遊樂場用地,1,1,全筆移轉,02630000
RPPNMLKKQHIGFID28EA,興安段,61.34,都市：其他:住宅區,10,6,持分移轉,01490000
RPPNMLTJQHIGFGD88EA,龍山段,.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,60,1,持分移轉,00950000
RPPNMLTJQHIGFGD88EA,龍山段,30.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,540,9,持分移轉,01010000
RPPNMLTJQHIGFGD88EA,龍山段,14.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,540,9,持分移轉,01020000
RPPNMLTJQHIGFGD88EA,龍山段,25.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,540,9,持分移轉,01050000
RPPNMLTJQHIGFGD88EA,龍山段,3.42,非都市：鄉村區 ; 非都市編定：交通用地,540,9,持分移轉,01060000
RPPNMLTJQHIGFGD88EA,龍山段,12.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,60,1,持分移轉,01070000
RPPNMLTJQHIGFGD88EA,龍山段,1.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,540,9,持分移轉,01350000
RPPNMLOJQHIGFAD67DA,新南段,31.75,都市：其他:低密度住宅區,1,1,全筆移轉,20020000
RPPNMLPJQHIGFED18DA,嶺頂段,117.28,都市：其他:住宅區,10000,710,持分移轉,02550000
RPPOMLTJQHIGFFD78DA,磚井段,21.03,都市：其他:農業區,1,1,全筆移轉,10240000
RPSNMLSJQHIGFJD66DA,中興段,.92,都市：其他:住宅區,1,1,全筆移轉,04850021
RPPNMLKKQHIGFKD38DA,鹽中段,75.13,都市：其他:住宅區,1,1,全筆移轉,13600000
RPPNMLKKQHIGFKD38DA,鹽中段,5.32,都市：其他:住宅區,1,1,全筆移轉,13610000
RPPNMLKKQHIGFKD38DA,鹽中段,98.29,都市：其他:住宅區,1,1,全筆移轉,13620000
RPPNMLSJQHIGFJD98DA,中興段,.02,都市：其他:住宅區,1,1,全筆移轉,04850007
RPUNMLTJQHIGFDD98DA,後鎮段,1294.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,17130000
RPVNMLOJQHIGFAD28DA,文元段,762.85,都市：其他:細部計畫道路用地,200,190,持分移轉,10390025
RPRNMLSJQHIGFJD56DA,中興段,1.77,都市：其他:住宅區,1,1,全筆移轉,04850020
RPRNMLLKQHIGFBD77DA,海中段,2.94,都市：其他:細部計畫道路用地,1,1,全筆移轉,04560002
RPQNMLSJQHIGFJD09DA,中興段,5.81,都市：其他:住宅區,1,1,全筆移轉,04850019
RPOOMLQJOHIGFID58EA,保生段,3.33,都市：其他:道路用地,5,1,持分移轉,03010002
RPOOMLQJOHIGFID58EA,二行段,18.27,都市：其他:住宅區,5,1,持分移轉,10390002
RPQNMLRJQHIGFFD58DA,龜子港段,2493.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00840004
RPPNMLLKQHIGFID38EA,十三甲段,1100.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09920006
RPVNMLKKQHIGFAD97DA,大北門段,.00,都市：其他:細部計畫道路用地,10000,6,持分移轉,06770000
RPVNMLKKQHIGFAD97DA,大北門段,.28,都市：其他:商業區,10000,6,持分移轉,06780000
RPVNMLKKQHIGFAD97DA,大北門段,1.75,都市：其他:商業區,10000,6,持分移轉,06790000
RPVNMLKKQHIGFAD97DA,大北門段,.00,都市：其他:主要計畫道路用地,10000,6,持分移轉,06800000
RPSNMLOKQHIGFAD08DA,新南段,2.43,都市：其他:商業區,20000,55,持分移轉,00370005
RPWOMLSJQHIGFCD09DA,龍崗段,6.89,都市：其他:住宅區,8,1,持分移轉,08170000
RPPOMLLJQHIGFAD47DA,開元段,3.23,都市：其他:商業區,10000,16,持分移轉,06270008
RPPNMLPKQHIGFKD98EA,二王段,7.42,都市：其他:道路用地,12804216,240000,持分移轉,02500000
RPPNMLPKQHIGFKD98EA,二王段,4.37,都市：其他:道路用地,12804216,240000,持分移轉,03930000
RPPNMLPKQHIGFKD98EA,二王段,3.75,都市：其他:道路用地,12804216,240000,持分移轉,04050000
RPQOMLSJQHIGFGD88DA,將軍段,1676.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,18790000
RPOOMLOKQHIGFKD78DA,南工段,2.90,都市：其他:住宅區,10000,159,持分移轉,09670000
RPOOMLOKQHIGFKD78DA,南工段,1.11,都市：其他:住宅區,10000,159,持分移轉,09680000
RPOOMLOKQHIGFKD78DA,南工段,1.71,都市：其他:住宅區,10000,159,持分移轉,09690000
RPPPMLOKQHIGFAD97DA,立人段,5.07,都市：其他:住宅區,10000,7,持分移轉,00530000
RPRNMLLKQHIGFDD97DA,汫水段,840.02,非都市：一般農業區 ; 非都市編定：農牧用地,8,2,持分移轉,13040000
RPQNMLLKQHIGFDD87DA,茄苳段,23.00,都市：其他:計畫道路用地,1,1,全筆移轉,07620000
RPQNMLLKQHIGFDD87DA,茄苳段,21.00,都市：其他:計畫道路用地,1,1,全筆移轉,07650000
RPQNMLLKQHIGFDD87DA,茄苳段,20.00,都市：其他:計畫道路用地,1,1,全筆移轉,07660000
RPPNMLOKQHIGFDD18EA,太子宮段太子宮小段,709.00,都市：其他:農業區,1,1,全筆移轉,10530000
RPPNMLOKQHIGFDD18EA,太子宮段太子宮小段,710.00,都市：其他:農業區,1,1,全筆移轉,10530002
RPTNMLPKQHIGFCD48DA,竹篙厝段,30.36,都市：其他:第五種住宅區,10000,246,持分移轉,16860002
RPRNMLOKQHIGFED38DA,嘉安段,23.34,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00090000
RPRNMLOKQHIGFED38DA,嘉安段,20.64,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00120000
RPPNMLPKQHIGFED38EA,竹新段,675.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07160000
RPPNMLPKQHIGFED38EA,竹新段,28.38,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,07170000
RPPNMLLKQHIGFDD77DA,北竹子脚段菜公堂小段,2275.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06780000
RPTNMLRJQHIGFCD58DA,新後甲段,19.27,都市：其他:市場用地,2,1,持分移轉,09740000
RPTNMLRJQHIGFCD58DA,新後甲段,2.69,都市：其他:細部計畫道路用地,2,1,持分移轉,09750000
RPPNMLQKQHIGFHD78EA,東大社段,297.00,非都市：特定農業區 ; 非都市編定：交通用地,4,2,持分移轉,02790000
RPUNMLRJQHIGFCD68DA,新後甲段,19.27,都市：其他:市場用地,2,1,持分移轉,09740000
RPUNMLRJQHIGFCD68DA,新後甲段,2.69,都市：其他:細部計畫道路用地,2,1,持分移轉,09750000
RPPNMLMJQHIGFCD67DA,大同段,22.45,都市：其他:第五種住宅區(附),10000,583,持分移轉,06050000
RPSNMLOKQHIGFED48DA,嘉安段,23.34,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00090000
RPSPMLOKQHIGFCD48DA,光華段,3.33,都市：其他:第四種商業區,10000,106,持分移轉,10680000
RPSNMLOKQHIGFED48DA,嘉安段,20.64,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00120000
RPPNMLMJQHIGFCD67DA,大同段,1.23,都市：其他:第五種住宅區(附),10000,583,持分移轉,06060000
RPSPMLOKQHIGFCD48DA,光華段,1.11,都市：其他:第五種住宅區,5000,53,持分移轉,10690000
RPVNMLOKQHIGFED78DA,嘉安段,1.50,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,00160000
RPVNMLPKQHIGFCD68DA,鹽埕段,5.79,都市：其他:住宅區,10000,34,持分移轉,00550000
RPQNMLQKQHIGFGD68DA,唐盟段,191.68,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,09200000
RPUNMLOKQHIGFED68DA,嘉安段,499.15,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,00150000
RPROMLKKQHIGFHD38DA,北小新段,102.97,都市：其他:計畫道路用地,8,2,持分移轉,07390000
RPPOMLOKQHIGFHD58DA,善西段,54.38,都市：其他:計畫道路用地,30,5,持分移轉,04270000
RPPOMLOKQHIGFHD58DA,善西段,5.75,都市：其他:計畫道路用地,30,5,持分移轉,04280000
RPQNMLQKQHIGFHD88EA,東大社段,297.00,非都市：特定農業區 ; 非都市編定：交通用地,4,2,持分移轉,02790000
RPXNMLOKQHIGFGD56DA,塭子內段,234.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04410000
RPXNMLOKQHIGFGD56DA,塭子內段,17.00,非都市：鄉村區 ; 非都市編定：交通用地,12,6,持分移轉,04410001
RPQNMLOKQHIGFED28DA,嘉安段,23.34,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00090000
RPQNMLOKQHIGFED28DA,嘉安段,20.64,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00120000
RPPNMLOKQHIGFED18DA,嘉安段,23.34,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00090000
RPPNMLOKQHIGFED18DA,嘉安段,20.64,非都市：河川區 ; 非都市編定：農牧用地,10,1,持分移轉,00120000
RPQNMLOKQHIGFFD38DA,石城段,24.05,都市：其他:住宅區,20,1,持分移轉,02640000
RPUNMLQKQHIGFGD09DA,同安寮段,18.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,470,持分移轉,04570000
RPPNMLQKQHIGFDD28DA,東興段,162.63,都市：其他:綠地,3,1,持分移轉,01530000
RPPNMLQKQHIGFDD28DA,東興段,51.22,都市：其他:綠地,4,1,持分移轉,01550000
