鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,建物,臺南市北區開元路９２號六樓之１,0.0,商,,,1120430,土地0建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790605,112.08,5,2,3,有,有,有,24000,214,,0.0,0,,RPPNMLLKNHIGFAD27CC
北區,建物,臺南市北區大武街４３１巷１號,0.0,其他,,,1120421,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0711117,112.02,4,2,2,有,無,有,25000,223,,0.0,0,,RPRNMLLKNHIGFAD47CC
安平區,建物,臺南市安平區建平八街５５１號１０樓之１４,0.0,住,,,1120422,土地0建物1車位1,十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870105,141.73,3,1,2,有,有,有,23000,162,坡道機械,23.2,0,,RPSNMLLKNHIGFAD57CC
北區,房地(土地+建物),臺南市北區開元路３３３巷１８號,176.0,住,,,1120420,土地2建物1車位0,見其他登記事項,1,店面(店鋪),住家用,鋼骨造,0870720,72.98,0,0,0,無,無,無,25000,343,,0.0,0,,RPTNMLLKNHIGFAD67CC
中西區,建物,臺南市中西區中山路５９號,0.0,商,,,1120508,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0360219,61.91,0,1,1,有,無,無,15000,242,,0.0,0,,RPUNMLLKNHIGFAD77CC
中西區,建物,臺南市中西區信義街６５號五樓之２,0.0,住,,,1120509,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780116,117.66,4,2,2,有,無,有,12000,102,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫。水電費、瓦斯費由承租人負擔。,RPWNMLLKNHIGFAD97CC
中西區,建物,臺南市中西區金華路三段７８號十一樓之２,0.0,商,,,1120507,土地0建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790430,32.31,1,0,1,有,有,有,7000,217,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫。水電費、瓦斯費及每月管理費520元皆由承租人負擔。,RPXNMLLKNHIGFAD08CC
中西區,建物,臺南市中西區大智街１５０號,0.0,住,,,1120503,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0560722,91.91,3,1,2,有,無,無,21000,228,,0.0,0,,RPPOMLLKNHIGFAD37CC
南區,建物,臺南市南區惠南街８４巷１０號５樓之１,0.0,商,,,1120420,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831029,59.7,1,1,1,有,有,有,10000,168,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.管理費由承租人負擔400/月。,RPPNMLLKNHIGFCD47CC
東區,建物,臺南市東區立德十路６６巷８號,0.0,商,,,1120422,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0621218,72.11,3,2,2,有,無,有,14000,194,,0.0,0,,RPQNMLLKNHIGFCD57CC
東區,房地(土地+建物),臺南市東區自由路二段６號,22.22,住,,,1120505,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890829,120.47,3,2,2,有,有,有,20000,166,,0.0,0,,RPRNMLLKNHIGFCD67CC
永康區,建物,臺南市永康區新民街６６巷５號６樓之１２,0.0,住,,,1120424,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,58.56,1,0,1,有,有,有,9500,162,,0.0,0,,RPPNMLLKNHIGFKD28CC
永康區,建物,臺南市永康區東橋七路１９９號四樓之２,0.0,住,,,1120413,土地0建物1車位0,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1061114,87.69,2,2,1,有,有,有,17500,200,,0.0,0,,RPQNMLLKNHIGFKD38CC
永康區,建物,臺南市永康區六合里中華二路２６６巷２２號十九樓之１,0.0,住,,,1120417,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860128,146.78,4,1,2,有,有,有,16000,109,,0.0,0,,RPRNMLLKNHIGFKD48CC
安南區,建物,臺南市安南區長和路一段５７７巷３６號,0.0,住,,,1120422,土地0建物1車位0,全,4,透天厝,集合住宅,鋼筋混凝土造,1011204,188.59,4,2,3,有,無,有,29000,154,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。,RPPNMLLKNHIGFBD37CC
新市區,房地(土地+建物)+車位,臺南市新市區永華二街１２號４樓,61.32,,特定專用區,甲種建築用地,1120511,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,126.61,4,2,2,有,有,有,18000,142,坡道平面,0.0,0,,RPPNMLLKNHIGFHD97CC
仁德區,建物,臺南市仁德區文心路７８號１１樓之１１,0.0,商,,,1120430,土地0建物1車位1,十一層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100315,103.66999999999999,2,1,1,有,有,有,20000,193,坡道平面,17.45,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.租金包含管理費。4.租金包含機車位。,RPPNMLLKNHIGFID08CC
歸仁區,土地,歸仁北段1839-2地號,727.27,,一般農業區,農牧用地,1120510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,42000,58,,0.0,0,承租地坪約220坪，承租未保存登記建物約190坪。,RPQNMLLKNHIGFID18CC
仁德區,建物,臺南市仁德區中正西路４０２號四樓之７,0.0,住,,,1120427,土地0建物1車位0,四層,4,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0960920,13.629999999999999,1,0,1,有,有,有,3000,220,,0.0,0,,RPRNMLLKNHIGFID28CC
