鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
杉林區,土地,茄苳湖段860地號,1350.0,,山坡地保育區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580000,430,,0.0,0,,RPQNMLLJQHIGFHE28DA,0.0,0.0,0.0,無,00001
阿蓮區,土地,和蓮段522地號,16.55,住,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,45317,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPPNMLTJQHIGFJE56DA,0.0,0.0,0.0,無,
梓官區,土地,蚵寮段229地號,28.44,,鄉村區,乙種建築用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,430000,15120,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPQNMLTJQHIGFFE88DA,0.0,0.0,0.0,無,00002
美濃區,土地,中興段1666地號,35.67,,鄉村區,乙種建築用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,19624,,0.0,0,未登記建物；,RPSNMLTJQHIGFKE96DA,0.0,0.0,0.0,無,00003
梓官區,土地,蚵寮段230地號,22.09,,鄉村區,乙種建築用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,334500,15143,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPRNMLTJQHIGFFE98DA,0.0,0.0,0.0,無,00004
岡山區,土地,下竹圍段11-24地號,1.92,住,,,1120802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,145580,75823,,0.0,0,越界建築畸零地或有合併使用效益；,RPPNMLKKQHIGFFE97DA,0.0,0.0,0.0,無,
美濃區,土地,中興段1666地號,35.67,,鄉村區,乙種建築用地,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,19624,,0.0,0,未登記建物；,RPRNMLTJQHIGFKE86DA,0.0,0.0,0.0,無,00003
大寮區,土地,翁公園段二小段5661-4地號,352.0,農,,,1120803,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7240640,20570,,0.0,0,,RPSOMLNJQHIGFLE56DA,0.0,0.0,0.0,無,00006
三民區,房地(土地+建物),高雄市三民區九如一路１０２０號十樓之４,6.44,都市：其他:第三種特定商業專用區,,,1120801,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701221,56.0,1,1,1,有,有,3350000,59821,,0.0,0,客廳陽台增建其他增建；,RPTOMLMJQHIGFDE38DA,35.08,0.0,13.17,有,
