編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJQHIGFJE56DA,和蓮段,16.55,都市：其他:住宅區,115200,712,持分移轉,05220000
RPQNMLTJQHIGFFE88DA,蚵寮段,28.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,180,3,持分移轉,02290000
RPSNMLTJQHIGFKE96DA,中興段,35.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,16660000
RPRNMLTJQHIGFKE86DA,中興段,35.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,16660000
RPQNMLLJQHIGFHE28DA,茄苳湖段,1350.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08600000
RPRNMLTJQHIGFFE98DA,蚵寮段,22.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,904800,45240,持分移轉,02300000
RPPNMLKKQHIGFFE97DA,下竹圍段,1.77,都市：其他:住宅區,1,1,全筆移轉,00110024
RPPNMLKKQHIGFFE97DA,下竹圍段,.15,都市：其他:住宅區,1,1,全筆移轉,00110025
RPPNMLOJQHIGFLE88DA,義勇段,39.19,都市：其他:道路用地,12,1,持分移轉,05270000
RPSOMLNJQHIGFLE56DA,翁公園段二小段,82.00,都市：其他:農業區,273,82,持分移轉,56610000
RPSOMLNJQHIGFLE56DA,翁公園段二小段,260.00,都市：其他:農業區,1,1,全筆移轉,56610004
RPSOMLNJQHIGFLE56DA,翁公園段二小段,10.00,都市：其他:農業區,43,10,持分移轉,56610005
RPTOMLMJQHIGFDE38DA,大港段,6.44,都市：其他:第三種特定商業專用區,10000,132,持分移轉,35860000
RPSOMLMJQHIGFLE09DA,磚子磘段,275.00,都市：其他:農業區,1,1,全筆移轉,24700000
RPSOMLMJQHIGFLE09DA,磚子磘段,56.03,都市：其他:農業區,10000,570,持分移轉,24700019
RPQNMLMJQHIGFAE67DA,前金段,3.33,都市：其他:第五種商業區,10000,53,持分移轉,00760002
RPQOMLTJQHIGFGE09DA,埔尾段,116.23,都市：其他:商業區,380,50,持分移轉,05320000
RPQOMLTJQHIGFGE09DA,埔尾段,.17,都市：其他:道路用地,380,50,持分移轉,05320001
RPQOMLTJQHIGFGE09DA,埔尾段,2.05,都市：其他:廣場用地,380,50,持分移轉,05340000
RPVOMLOJQHIGFDE78DA,三塊厝段,50.00,都市：其他:道路用地,1,1,全筆移轉,11850027
RPPNMLNKQHIGFFE28DA,鳳雄段,10.42,都市：其他:商業區,1,1,全筆移轉,10850000
RPWNMLKKQHIGFLE66DA,林園段,549.00,都市：其他:住宅區,1,1,全筆移轉,01010000
RPWNMLKKQHIGFLE66DA,林園段,218.00,都市：其他:住宅區,1,1,全筆移轉,01010003
RPQNMLLKQHIGFGE38EA,竹子腳段,76.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,02620087
RPQNMLLKQHIGFGE38EA,竹子腳段,14.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,02700018
RPQNMLLKQHIGFGE38EA,竹子腳段,81.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,02710015
RPSNMLOJQHIGFGE68DA,七老爺段一甲小段,25.35,都市：其他:第三之一種住宅區,100000,3018,持分移轉,13480003
RPOOMLKKQHIGFJE38DA,民生段,4.36,都市：其他:住宅區,10000,28,持分移轉,04420000
RPSNMLSJQHIGFJE76DA,華山段,1103.13,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06850000
RPTNMLPKQHIGFJE66DA,牛稠埔段,547.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,24,2,持分移轉,04210003
RPOOMLPKQHIGFFE48DA,保寧段,27.44,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,258,持分移轉,06840000
RPOOMLPKQHIGFFE48DA,保寧段,61.72,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07060000
RPSNMLSJQHIGFLE96DA,林園段,68.00,都市：其他:商業區,1,1,全筆移轉,11600000
RPQNMLOJQHIGFLE98DA,翁公園段二小段,117.58,都市：其他:農業區,2379,333,持分移轉,57590000
RPQNMLOJQHIGFLE98DA,翁公園段二小段,333.00,都市：其他:農業區,1,1,全筆移轉,57590001
RPUNMLLKQHIGFFE58DA,煙波段,94.97,非都市：山坡地保育區 ; 非都市編定：農牧用地,130394,9497,持分移轉,09760000
RPUNMLLKQHIGFFE58DA,煙波段,261.40,非都市：山坡地保育區 ; 非都市編定：農牧用地,166800,26140,持分移轉,10120000
RPVNMLLKQHIGFGE78DA,新庄子段,48.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,00570039
RPPNMLOKQHIGFEE28DA,加昌段,1.62,都市：其他:第五種住宅區,32,1,持分移轉,03920000
RPPNMLOKQHIGFEE28DA,加昌段,3.03,都市：其他:第五種住宅區,32,1,持分移轉,03930000
RPPNMLOKQHIGFEE28DA,加昌段,12.03,都市：其他:第五種住宅區,32,1,持分移轉,03950000
RPPNMLOKQHIGFEE28DA,加昌段,17.47,都市：其他:第五種住宅區,32,1,持分移轉,03960000
RPPNMLNJQHIGFLE78DA,翁公園段二小段,65.67,都市：其他:農業區,2379,186,持分移轉,57590000
RPPNMLNJQHIGFLE78DA,翁公園段二小段,186.00,都市：其他:農業區,1,1,全筆移轉,57590004
RPPNMLPKQHIGFFE48DA,蚵寮段,10.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,13570000
RPQNMLLKQHIGFBE87EA,新興段四小段,6.39,都市：其他:第五種商業區,10000,61,持分移轉,20950000
RPQNMLOKQHIGFCE28EA,店鎮段,102.00,都市：其他:第三種住宅區。,1,1,全筆移轉,05800014
RPPNMLOKQHIGFCE18EA,高松段一小段,46.15,都市：其他:第三種住宅區。,10000,162,持分移轉,12100000
RPPNMLLKQHIGFHE38EA,旗山段,224.33,都市：其他:商業區,9,3,持分移轉,05260041
RPTNMLOKQHIGFLE76DA,溪州段,23.40,都市：其他:住宅區,10,1,持分移轉,19330025
RPXOMLKKQHIGFGE98DA,新甲段,2.15,都市：其他:第三之一種住宅區,100000,39,持分移轉,12450179
RPRNMLPKQHIGFFE68DA,蚵寮段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,3815013800,2602500,持分移轉,02300000
RPRNMLPKQHIGFFE68DA,蚵寮段,9.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,3147703065,13414847,持分移轉,02310000
RPQNMLOKQHIGFDE28DA,建民段,.33,都市：其他:道路用地,1,1,全筆移轉,06120004
RPUNMLNJQHIGFAE18DA,龍中段,9.04,都市：其他:第四種商業區,100000,772,持分移轉,00360000
RPSNMLPKQHIGFFE78DA,蚵寮段,64.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1809600,68461,持分移轉,02290000
RPQNMLPKQHIGFFE58DA,蚵寮段,2.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,2575134315,11294222,持分移轉,13580000
RPQNMLPKQHIGFFE58DA,蚵寮段,4.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,14450292810,56642603,持分移轉,02280000
RPTOMLOJQHIGFAE28DA,龍華段二小段,14.50,都市：其他:道路用地,4,1,持分移轉,09650000
RPSNMLOKQHIGFEE58DA,清楠段,23.09,都市：其他:第三種住宅區。,10000,162,持分移轉,02500000
RPWNMLOKQHIGFEE98DA,福山段,7.05,都市：其他:第五種住宅區,10000,43,持分移轉,06000000
RPXNMLOKQHIGFLE17DA,赤崁段,181.00,都市：其他:道路用地,1,1,全筆移轉,18560002
RPPOMLRKQHIGFFE78DA,典寶段,.05,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,9,持分移轉,04420000
RPPOMLRKQHIGFFE78DA,典寶段,4.15,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,9,持分移轉,04430000
RPPOMLRKQHIGFFE78DA,頂塩田段一小段,2.47,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,9,持分移轉,07280002
RPQOMLTJQHIGFIE66DA,興工段,48.00,都市：其他:住宅區(住二),3,1,持分移轉,07380000
RPOOMLOKQHIGFEE28DA,左南段,34.47,都市：其他:第三種住宅區。,2160,144,持分移轉,13040000
RPUNMLQKQHIGFEE98DA,興隆段,30.74,都市：其他:第三種住宅區。,100000,297,持分移轉,08640000
RPPNMLRKQHIGFHE88DA,永吉段,9163.47,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00250001
RPVOMLLKQHIGFDE58DA,覆鼎金段覆鼎金小段,5.76,都市：其他:第五種住宅區,10000,12,持分移轉,12260000
RPOQMLPKQHIGFEE58DA,援中段一小段,19.59,都市：其他:第四種住宅區,100000,763,持分移轉,03460000
RPTNMLLKQHIGFFE48DA,彌海段,499.37,都市：其他:農業區,1,1,全筆移轉,09460000
RPPNMLRKQHIGFFE68DA,為隨段,57.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02380000
RPPNMLRKQHIGFFE68DA,為隨段,828.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02390000
RPPNMLQKQHIGFAE18EA,東金段,4.38,都市：其他:第五種商業區,10000,72,持分移轉,11040000
RPPNMLSKQHIGFFE78DA,瓊西段,8.80,都市：其他:農業區,9,2,持分移轉,01910000
RPPNMLQKQHIGFHE88EA,虎頭山段,31.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,12,2,持分移轉,11360000
RPPNMLQKQHIGFHE88EA,虎頭山段,1540.43,非都市：山坡地保育區 ; 非都市編定：農牧用地,12,2,持分移轉,11380000
