鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.41,商,,,1120512,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.12,3,1,2,有,無,13000000,101345,坡道平面,27.58,2000000,,RPPNMLMKNHIGFDE67CB,鑫天地二期,A棟5號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120511,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.45,3,2,2,有,無,10200000,75751,坡道平面,27.6,1500000,總價含地上權標的價款348萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPQNMLMKNHIGFDE77CB,KS1,B8棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120512,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.48,3,1,2,有,無,8450000,75904,坡道平面,27.6,1400000,總價含地上權標的價款282萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPUNMLMKNHIGFDE18CB,KS1,B1棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120512,土地0建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.02,2,1,1,有,無,6680000,71915,坡道平面,27.6,1400000,總價含地上權標的價款211萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPPNMLNKNHIGFDE77CB,KS1,B2棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120512,土地0建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.02,2,1,1,有,無,6680000,71915,坡道平面,27.6,1400000,總價含地上權標的價款211萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPQNMLNKNHIGFDE87CB,KS1,A2棟0號,
小港區,房地(土地+建物)+車位,高雄市小港區港信路,20.56,住,,,1120512,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.8,3,2,2,有,無,12080000,84322,坡道平面,24.7,1700000,,RPPNMLOKNHIGFCE77CB,橘時光,B棟1號,
三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,6.07,商,,,1120513,土地1建物1車位1,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.02,2,2,2,有,無,9600000,106682,坡道機械,19.75,1250000,,RPPNMLPKNHIGFDE97CB,鑫天地二期,A12棟11號,
彌陀區,房地(土地+建物),高雄市彌陀區靖和街,90.0,住,,,1120513,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,201.35,6,2,4,有,無,14500000,72014,,0.0,0,,RPPNMLPKNHIGFFE18CB,路科苑,A6棟0號,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路A01棟11樓,9.19,商,,,1120511,土地1建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.23,3,2,2,有,無,24990000,165823,坡道平面,30.89,2050000,預售屋雨遮不計價,RPOOMLQKNHIGFAE77CB,遠雄PARK 16,A棟A01F11號,
