編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMKNHIGFDE77CB,坡道平面,1500000,27.60,地下二樓
RPPNMLMKNHIGFDE67CB,坡道平面,2000000,27.58,地下四樓
RPQNMLNKNHIGFDE87CB,坡道平面,1400000,27.60,地下三樓
RPPNMLNKNHIGFDE77CB,坡道平面,1400000,27.60,地下三樓
RPUNMLMKNHIGFDE18CB,坡道平面,1400000,27.60,地下三樓
RPPNMLPKNHIGFDE97CB,坡道機械,1250000,19.75,地下五樓含以下
RPPNMLOKNHIGFCE77CB,坡道平面,1700000,24.70,地下二樓
RPUNMLQKNHIGFDE58CB,坡道平面,2000000,16.61,地下四樓
RPQNMLQKNHIGFDE18CB,坡道平面,1860000,18.50,地下三樓
RPVNMLQKNHIGFDE68CB,坡道平面,2000000,15.30,地下三樓
RPOOMLRKNHIGFEE28CB,坡道平面,1950000,26.49,地下四樓
RPTOMLRKNHIGFEE78CB,坡道平面,1750000,26.49,地下五樓含以下
RPSNMLRKNHIGFLE66CB,一樓平面,1300000,13.73,一樓
RPQNMLRKNHIGFCE18CB,坡道平面,1650000,23.50,地下三樓
RPXNMLRKNHIGFCE88CB,坡道平面,1500000,22.01,地下三樓
RPWNMLRKNHIGFCE78CB,坡道機械,750000,13.54,地下四樓
RPWNMLRKNHIGFIE76CB,坡道平面,1700000,26.78,地下二樓
RPPNMLRKNHIGFIE68CB,坡道平面,1650000,17.73,地下二樓
RPRNMLRKNHIGFIE88CB,坡道平面,1750000,17.73,地下一樓
RPPOMLRKNHIGFIE78CB,坡道平面,1800000,26.78,地下一樓
RPXNMLRKNHIGFIE86CB,坡道平面,1700000,26.78,地下二樓
RPOPMLRKNHIGFIE78CB,坡道平面,1600000,21.46,地下三樓
RPXOMLRKNHIGFIE96CB,坡道平面,1700000,21.46,地下二樓
RPPPMLRKNHIGFIE88CB,坡道平面,1600000,21.46,地下三樓
RPPNMLSKNHIGFCE18CB,一樓平面,850000,6.73,一樓
RPRNMLSKNHIGFCE38CB,一樓平面,800000,7.76,一樓
RPPNMLSKNHIGFFE48CB,一樓平面,1100000,13.79,一樓
RPQNMLSKNHIGFCE28CB,一樓平面,850000,6.73,一樓
RPSNMLSKNHIGFCE48CB,一樓平面,800000,6.73,一樓
RPVNMLSKNHIGFCE78CB,一樓平面,1150000,10.94,一樓
RPPNMLTKNHIGFCE28CB,升降機械,1500000,15.00,地下三樓
RPPNMLTKNHIGFGE68CB,坡道平面,1700000,15.53,地下二樓
RPPNMLTKNHIGFFE58CB,一樓平面,1000000,13.79,一樓
RPQNMLTKNHIGFGE78CB,坡道平面,1850000,15.53,地下二樓
RPQNMLTKNHIGFBE38DB,坡道平面,1900000,28.35,地下三樓
