鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前金區,建物,高雄市前金區河南二路１６０號６樓之３,2.99,住,,,1120414,土地0建物1車位0,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,50.38,1,1,1,有,有,有,10000,198,,0.0,0,,RPPNMLLKNHIGFAE37CC
鼓山區,房地(土地+建物),高雄市鼓山區美術東八街１０８號十三樓,11.18,住,,,1120508,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,101.85,2,1,1,有,有,有,20000,196,,0.0,0,,RPQNMLLKNHIGFAE47CC
前金區,房地(土地+建物)+車位,高雄市前金區六合二路１０８號１０樓之７,4.05,商,,,1120425,土地1建物1車位1,十層,26,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100702,78.57,2,1,1,有,有,有,23000,293,坡道機械,10.88,0,,RPSNMLLKNHIGFAE67CC
鼓山區,建物,高雄市鼓山區青海路９號,0.0,住,,,1120505,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0950116,77.49,0,2,1,有,無,無,58000,748,,0.0,0,,RPTNMLLKNHIGFAE77CC
苓雅區,房地(土地+建物),高雄市苓雅區林泉街１７號,29.22,住,,,1120501,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0741213,141.94,0,0,0,無,無,有,40000,282,,0.0,0,,RPPNMLLKNHIGFBE47CC
苓雅區,建物,高雄市苓雅區武營路６９３號八樓之２,0.0,商,,,1120418,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830428,118.07,3,2,2,有,有,有,9000,76,,0.0,0,,RPQNMLLKNHIGFBE57CC
新興區,房地(土地+建物),高雄市新興區新興路４１號十三樓,9.4,商,,,1120511,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040306,84.43,2,2,1,有,有,無,24000,284,,0.0,0,,RPRNMLLKNHIGFBE67CC
新興區,房地(土地+建物),高雄市新興區七賢二路３９號４樓之１,7.94,商,,,1120424,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,114.64000000000001,3,2,2,有,有,有,25000,218,,0.0,0,,RPSNMLLKNHIGFBE77CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區光華一路４７號１５樓,8.25,商,,,1120424,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051212,116.92,2,2,2,有,有,有,30000,257,升降機械,13.93,0,,RPTNMLLKNHIGFBE87CC
苓雅區,房地(土地+建物),高雄市苓雅區新田路１０７之１號,50.75,商,,,1120511,土地1建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0770607,280.16,0,0,2,有,無,無,55000,196,,0.0,0,民國115年06月15日起至民國117年06月14日止，每月租金調增為新台幣陸萬元整含稅,RPVNMLLKNHIGFBE08CC
前鎮區,房地(土地+建物),高雄市前鎮區南天街１２９號６樓,14.46,商,,,1120506,土地1建物1車位0,六層,28,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060904,241.20000000000002,4,2,3,有,有,有,65000,269,,0.0,0,,RPPNMLLKNHIGFCE57CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路１４６３號十樓之２,10.32,商,,,1120505,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940330,109.22,2,1,1,有,有,有,18000,170,升降機械,15.29,2000,,RPQNMLLKNHIGFCE67CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區復興三路２６號１２樓之５,12.08,其他,,,1120422,土地1建物1車位1,十二層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071102,167.24,3,2,2,有,有,有,35000,209,坡道平面,26.32,0,,RPRNMLLKNHIGFCE77CC
小港區,建物,高雄市小港區山?路４５之２號,0.0,住,,,1120501,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700119,97.8,3,1,2,有,無,有,12000,123,,0.0,0,此為高雄市政府社會住宅包租代管計畫之物件，評定市價租金為13334元，選擇代管方案需打9折，實際租賃契約金額為12000元。水電費、瓦斯費、網路費皆由承租人負擔。,RPSNMLLKNHIGFCE87CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區光華三路１８３號２樓之２,12.66,商,,,1120423,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950614,151.37,3,2,2,有,有,有,25000,165,坡道平面,34.87,0,,RPTNMLLKNHIGFCE97CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區復興三路２８號１１樓之３,11.73,其他,,,1120425,土地1建物1車位1,十一層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071102,164.20999999999998,3,2,2,有,有,有,30000,183,坡道平面,26.32,0,,RPVNMLLKNHIGFCE18CC
前鎮區,建物,高雄市前鎮區福祥街１０巷２５號八樓,0.0,住,,,1120505,土地0建物1車位0,八層,8,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821002,148.13,4,1,2,有,有,有,8000,54,,0.0,0,,RPWNMLLKNHIGFCE28CC
前鎮區,房地(土地+建物),高雄市前鎮區廣西路２０１,22.47,住,,,1120506,土地1建物1車位0,見其它登記事項,16,住宅大樓(11層含以上有電梯),辦公室、住宅,鋼筋混凝土,1070620,99.18,1,2,2,有,有,有,39000,393,,0.0,0,,RPXNMLLKNHIGFCE38CC
