編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKNHIGFAE37CC,27,50.38,住家用,鋼筋混凝土造,84年12月19日,二十四層,,
RPQNMLLKNHIGFAE47CC,11,62.78,住家用,鋼筋混凝土造,101年11月7日,十五層,,
RPQNMLLKNHIGFAE47CC,11,39.07,見其他登記事項,鋼筋混凝土造,101年11月7日,十五層,,
RPSNMLLKNHIGFAE67CC,2,43.29,集合住宅,鋼筋混凝土,110年7月2日,二十六層,,
RPSNMLLKNHIGFAE67CC,2,35.28,本共有部分之項目有防空避難室兼停車空間、出入口緩衝空間、梯廳、管理委員會使用空間、車道、樓，電梯間、通用化設計（交誼廳）、管理委員會使用空間（中繼室）、樓梯間、機械室、水箱等１１項。,鋼筋混凝土,110年7月2日,二十六層,,
RPPNMLLKNHIGFBE47CC,37,141.94,,鋼筋混凝土造,74年12月13日,七層,,
RPSNMLLKNHIGFBE77CC,7,74.51,住家用,鋼筋混凝土造,105年4月13日,十五層,,
RPSNMLLKNHIGFBE77CC,7,40.13,共有部份,鋼筋混凝土造,105年4月13日,十五層,,
RPTNMLLKNHIGFAE77CC,17,77.49,住商用,鋼筋混凝土造,95年1月16日,五層,,
RPRNMLLKNHIGFBE67CC,8,84.43,住家用,鋼筋混凝土造,104年3月6日,十四層,,
RPQNMLLKNHIGFBE57CC,29,90.21,住家用,鋼筋混凝土造,83年4月28日,十三層,,
RPQNMLLKNHIGFBE57CC,29,27.86,見使用執照,鋼筋混凝土造,83年4月28日,十三層,,
RPTNMLLKNHIGFBE87CC,6,68.59,住家用,鋼筋混凝土造,105年12月12日,十五層,,
RPTNMLLKNHIGFBE87CC,6,48.33,共有部份,鋼筋混凝土造,105年12月12日,十五層,,
RPVNMLLKNHIGFBE08CC,35,280.16,,鋼筋混凝土造,77年6月7日,七層,,
RPPNMLLKNHIGFCE57CC,6,151.83,集合住宅,鋼筋混凝土造,106年9月4日,二十八層,,
RPPNMLLKNHIGFCE57CC,6,89.37,防空避難室兼停車空間、停車空間、防災中心、出入口緩衝空間、樓梯間、陽台、管委會使用空間、中繼水箱、機械室及水箱等１０項,鋼筋混凝土造,106年9月4日,二十八層,,
RPTNMLLKNHIGFCE97CC,17,83.87,住家用,鋼筋混凝土造,95年6月14日,十五層,,
RPPNMLLKNHIGFDE67CC,25,86.84,住家用,鋼筋混凝土造,87年1月22日,十四層,,
RPTNMLLKNHIGFCE97CC,17,67.50,共有部分,鋼筋混凝土造,95年6月14日,十五層,,
RPPNMLLKNHIGFDE67CC,25,30.06,見使用執照,鋼筋混凝土造,87年1月22日,十四層,,
RPWNMLLKNHIGFCE28CC,30,103.01,住家用,鋼筋混凝土造,82年10月2日,八層,,
RPWNMLLKNHIGFCE28CC,30,45.12,見使用執照,鋼筋混凝土造,82年10月2日,八層,,
RPQNMLLKNHIGFCE67CC,18,63.65,住家用,鋼筋混凝土造,94年3月30日,十五層,,
RPQNMLLKNHIGFCE67CC,18,45.57,共有部分,鋼筋混凝土造,94年3月30日,十五層,,
RPXNMLLKNHIGFCE38CC,5,99.18,辦公室、住宅,鋼筋混凝土,107年6月20日,十六層,,
RPSNMLLKNHIGFCE87CC,42,97.80,住家用,鋼筋混凝土造,70年1月19日,五層,,
RPVNMLLKNHIGFCE18CC,4,95.22,集合住宅,鋼筋混凝土,107年11月2日,二十九層,,
RPVNMLLKNHIGFCE18CC,4,68.99,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會使用空間、防災中心、垃圾暫存空間、出入口緩衝空間、門廊、樓梯間、車道、中繼室、機械室、水箱等１２項。,鋼筋混凝土,107年11月2日,二十九層,,
RPOOMLLKNHIGFCE57CC,48,110.97,,鋼筋混凝土造,64年5月5日,四層,,
RPRNMLLKNHIGFCE77CC,4,96.66,集合住宅,鋼筋混凝土,107年11月2日,二十九層,,
RPRNMLLKNHIGFCE77CC,4,70.58,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會使用空間、防災中心、垃圾暫存空間、出入口緩衝空間、門廊、樓梯間、車道、中繼室、機械室、水箱等１２項。,鋼筋混凝土,107年11月2日,二十九層,,
RPQNMLLKNHIGFDE77CC,41,73.92,,鋼筋混凝土造,70年12月26日,五層,,
RPRNMLLKNHIGFDE87CC,25,174.06,住商用,鋼筋混凝土造,87年10月2日,十四層,,
RPTNMLLKNHIGFDE08CC,15,9.65,商業用,鋼筋混凝土造,97年5月14日,十三層,,
RPSNMLLKNHIGFDE97CC,15,11.54,商業用,鋼筋混凝土造,97年5月14日,十三層,,
RPTNMLLKNHIGFDE08CC,15,5.25,緊急發電機室、受電室、水箱、樓梯間、走道、梯廳、機械室、電信室,鋼筋混凝土造,97年5月14日,十三層,,
