編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKNHIGFAE47CC,青海段,11.18,都市：住,,,,06350000
RPPNMLLKNHIGFAE37CC,前金段,2.99,都市：住,,,,06820000
RPSNMLLKNHIGFAE67CC,東金段,4.05,都市：商,,,,08070002
RPPNMLLKNHIGFBE47CC,林德官段二小段,29.22,都市：住,,,,33630005
RPSNMLLKNHIGFBE77CC,新興段四小段,7.94,都市：商,,,,11980000
RPTNMLLKNHIGFAE77CC,青海段,.00,都市：住,,,,06830000
RPRNMLLKNHIGFBE67CC,新興段三小段,9.40,都市：商,,,,09010000
RPQNMLLKNHIGFBE57CC,武聖段,.00,都市：商,,,,00060000
RPTNMLLKNHIGFBE87CC,林德官段一小段,8.25,都市：商,,,,24070000
RPVNMLLKNHIGFBE08CC,過田子段,50.75,都市：商,,,,04600000
RPPNMLLKNHIGFCE57CC,愛群段,14.46,都市：商,,,,29500003
RPTNMLLKNHIGFCE97CC,憲德段二小段,12.66,都市：商,,,,00260001
RPPNMLLKNHIGFDE67CC,大順段,.00,都市：商,,,,02300000
RPWNMLLKNHIGFCE28CC,籬子內段籬子內小段,.00,都市：住,,,,12480000
RPVNMLLKNHIGFCE18CC,獅甲段,11.73,都市：其他:特貿四,,,,04190004
RPQNMLLKNHIGFCE67CC,獅甲段二小段,10.32,都市：商,,,,05520000
RPXNMLLKNHIGFCE38CC,盛興段,22.47,都市：住,,,,14920000
RPSNMLLKNHIGFCE87CC,山明段,.00,都市：住,,,,05780000
RPOOMLLKNHIGFCE57CC,愛群段,14.75,都市：商,,,,28630000
RPRNMLLKNHIGFCE77CC,獅甲段,12.08,都市：其他:特貿四,,,,04190004
RPQNMLLKNHIGFDE77CC,灣愛段,.00,都市：住,,,,02480000
RPRNMLLKNHIGFDE87CC,鼎泰段,21.99,都市：住,,,,13980000
RPTNMLLKNHIGFDE08CC,覆鼎金段覆鼎金小段,.00,都市：商,,,,10800000
RPSNMLLKNHIGFDE97CC,覆鼎金段覆鼎金小段,.00,都市：商,,,,10800000
RPWNMLLKNHIGFDE38CC,獅頭段,67.00,都市：住,,,,26270000
RPWNMLLKNHIGFDE38CC,獅頭段,73.00,都市：住,,,,26280000
RPUNMLLKNHIGFDE18CC,覆鼎金段覆鼎金小段,.00,都市：商,,,,10800000
RPQNMLLKNHIGFEE87CC,清楠段,.00,都市：住,,,,00050000
RPSNMLLKNHIGFEE08CC,和平東段,12.09,都市：住,,,,00160000
RPPNMLLKNHIGFEE77CC,新庄段十三小段,1130.00,都市：商,,,,15090000
RPTNMLLKNHIGFEE18CC,和平段五小段,.00,都市：住,,,,00310000
RPRNMLLKNHIGFEE97CC,清楠段,.00,都市：住,,,,00050000
RPXNMLLKNHIGFEE58CC,新庄段八小段,2.34,都市：住,,,,00310000
RPVNMLLKNHIGFEE38CC,翠屏段一小段,20.34,都市：住,,,,00010001
RPXNMLLKNHIGFEE58CC,新庄段八小段,5.51,都市：住,,,,00410000
RPXNMLLKNHIGFEE58CC,新庄段八小段,5.13,都市：住,,,,00420000
RPUNMLLKNHIGFEE28CC,清豐段,.00,都市：商,,,,04740000
RPQNMLLKNHIGFGE08CC,華鳳段,.00,都市：住,,,,01590000
RPPNMLLKNHIGFGE97CC,頂新段,.00,都市：住,,,,02200070
RPRNMLLKNHIGFGE18CC,五甲段,.00,都市：住,,,,11980022
RPSNMLLKNHIGFGE28CC,福誠段,27.31,都市：住,,,,00220000
RPPNMLMKNHIGFGE08CC,華鳳段,.00,都市：住,,,,01180000
RPQNMLMKNHIGFGE18CC,鳳山段大老衙小段,.00,都市：商,,,,02300000
RPTNMLLKNHIGFGE38CC,七老爺段一甲小段,31.95,都市：住,,,,13640002
RPRNMLMKNHIGFGE28CC,五甲段,106.00,都市：住,,,,13860006
RPSNMLMKNHIGFGE38CC,北門段,.00,都市：住,,,,12370000
RPTNMLMKNHIGFGE48CC,鳳西段,12.60,都市：住,,,,00050002
RPQNMLMKNHIGFFE08CC,岡山段,110.00,都市：住,,,,07190010
RPQNMLMKNHIGFFE08CC,岡山段,68.00,都市：住,,,,07210002
RPQNMLMKNHIGFEE97CC,新福段七小段,.00,都市：住,,,,00040000
RPPNMLMKNHIGFEE87CC,和平段二小段,.00,都市：住,,,,01160000
RPRNMLMKNHIGFEE08CC,楠梓段一小段,24.72,都市：住,,,,02490000
RPSNMLMKNHIGFEE18CC,福民段,21.86,都市：住,,,,00910000
RPPNMLMKNHIGFIE28CC,鳳松段,.00,都市：住,,,,04590000
RPUNMLMKNHIGFEE38CC,新福段九小段,9.24,都市：商,,,,00060000
RPVNMLMKNHIGFEE48CC,德昌段,.00,都市：住,,,,00180000
RPTNMLMKNHIGFEE28CC,果貿段,10.26,都市：住,,,,01770000
RPPNMLMKNHIGFFE97CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPPNMLMKNHIGFDE77CC,灣華段,.00,都市：住,,,,09820000
RPQNMLMKNHIGFDE87CC,灣華段,.00,都市：住,,,,09820000
RPWNMLMKNHIGFEE58CC,藍田中段,12.01,都市：住,,,,00930000
RPRNMLMKNHIGFDE97CC,灣華段,.00,都市：住,,,,09820000
RPSNMLMKNHIGFDE08CC,灣華段,.00,都市：住,,,,09820000
RPVNMLMKNHIGFDE38CC,三塊厝段,24.00,都市：商,,,,12520004
RPTNMLMKNHIGFDE18CC,新都段,9.94,都市：住,,,,00670000
RPTNMLMKNHIGFDE18CC,三塊厝段三小段,3.90,都市：住,,,,37150000
RPWNMLMKNHIGFDE48CC,三塊厝段,48.00,都市：商,,,,12520004
RPPNMLMKNHIGFCE67CC,光華段一小段,.00,都市：住,,,,19830000
RPUNMLMKNHIGFDE28CC,灣子內段寶珠溝小段,25.46,都市：住,,,,06470000
RPXNMLMKNHIGFDE58CC,灣和段,15.70,都市：住,,,,00840000
RPRNMLMKNHIGFCE87CC,憲德段,13.81,都市：住,,,,01840000
RPQNMLMKNHIGFCE77CC,店鎮段一小段,8.64,都市：商,,,,13500000
RPQNMLMKNHIGFCE77CC,店鎮段一小段,15.57,都市：商,,,,13510000
RPSNMLMKNHIGFCE97CC,憲德段,13.12,都市：住,,,,01840000
RPUNMLMKNHIGFCE18CC,光華段一小段,.00,都市：住,,,,16640000
RPTNMLMKNHIGFCE08CC,光華段一小段,.00,都市：住,,,,16640000
RPVNMLMKNHIGFCE28CC,盛興段,18.26,都市：住,,,,14920000
RPTOMLMKNHIGFCE18CC,光華段一小段,.00,都市：住,,,,16640000
RPWNMLMKNHIGFCE38CC,光華段一小段,.00,都市：住,,,,16640000
RPSOMLMKNHIGFCE08CC,光華段一小段,.00,都市：住,,,,16640000
RPQOMLMKNHIGFCE87CC,光華段一小段,.00,都市：住,,,,16640000
RPROMLMKNHIGFCE97CC,光華段一小段,.00,都市：住,,,,16640000
RPXNMLMKNHIGFCE48CC,光華段一小段,.00,都市：住,,,,16640000
RPWOMLMKNHIGFCE48CC,愛群段,.00,都市：住,,,,07090000
RPVOMLMKNHIGFCE38CC,光華段一小段,.00,都市：住,,,,16640000
RPOOMLMKNHIGFCE67CC,憲德段一小段,4.41,都市：住,,,,08040000
RPPNMLMKNHIGFBE57CC,新興段四小段,5.19,都市：商,,,,12140000
RPQNMLMKNHIGFBE67CC,五塊厝段,22.48,都市：住,,,,19490000
RPQNMLMKNHIGFAE57CC,前金段,8.60,都市：商,,,,00840010
RPSNMLMKNHIGFAE77CC,前峰段,.00,都市：住,,,,01830000
RPSNMLMKNHIGFBE87CC,新興段一小段,.00,都市：商,,,,12140000
RPRNMLMKNHIGFBE77CC,苓雅寮段,17.97,都市：商,,,,04810000
RPPNMLOKNHIGFAE67CC,鹽國段,.00,都市：商,,,,07130000
RPRNMLMKNHIGFAE67CC,興仁段,.00,都市：商,,,,03910000
RPPNMLMKNHIGFAE47CC,龍華段八小段,.00,都市：商,,,,22380000
RPPNMLNKNHIGFBE67CC,意誠段,3.20,都市：商,,,,07630000
RPPNMLNKNHIGFBE67CC,意誠段,.79,都市：商,,,,07630001
RPPNMLNKNHIGFFE08CC,大仁段,74.00,都市：住,,,,06040002
RPPNMLPKNHIGFAE77CC,青海段,10.94,都市：商,,,,01510000
RPRNMLPKNHIGFAE97CC,青海段,18.10,都市：住,,,,00610000
RPSNMLPKNHIGFAE08CC,龍華段八小段,.00,都市：商,,,,23070000
RPTNMLPKNHIGFAE18CC,東金段,.00,都市：商,,,,17660000
RPQNMLPKNHIGFAE87CC,博孝段,.00,都市：商,,,,12340000
RPVNMLPKNHIGFAE38CC,龍華段三小段,775.00,都市：住,,,,04180000
RPPNMLPKNHIGFBE87CC,新興段四小段,.00,都市：商,,,,08900000
RPRNMLPKNHIGFBE08CC,新興段四小段,.00,都市：商,,,,23180000
RPUNMLPKNHIGFAE28CC,龍中段,671.89,都市：住,,,,02010000
RPQNMLPKNHIGFBE97CC,林德官段,.00,都市：商,,,,13200007
RPSNMLPKNHIGFBE18CC,林德官段一小段,31.20,都市：住,,,,16860000
RPTNMLPKNHIGFBE28CC,林德官段一小段,31.20,都市：住,,,,16860000
RPXNMLPKNHIGFCE78CC,鎮昌段一小段,.00,都市：商,,,,13310000
RPVNMLPKNHIGFCE58CC,獅甲段一小段,37.63,都市：住,,,,05310000
RPRNMLPKNHIGFCE18CC,光華段一小段,.00,都市：住,,,,16640000
RPQNMLPKNHIGFCE08CC,光華段一小段,.00,都市：住,,,,16640000
RPUNMLPKNHIGFBE38CC,林德官段一小段,.00,都市：住,,,,27400000
RPSNMLPKNHIGFCE28CC,瑞隆段二小段,.00,都市：住,,,,06410000
RPPNMLPKNHIGFCE97CC,愛群段,11.62,都市：商,,,,29500003
RPWNMLPKNHIGFCE68CC,港和段二小段,42.43,都市：住,,,,05250000
RPOOMLPKNHIGFCE97CC,高松段一小段,.00,都市：住,,,,12100000
RPSNMLPKNHIGFDE38CC,大順段,.00,都市：商,,,,09020000
RPQOMLPKNHIGFCE18CC,高鳳段,.00,都市：商,,,,04100000
RPPOMLPKNHIGFCE08CC,高鳳段,.00,都市：商,,,,04100000
RPROMLPKNHIGFCE28CC,高鳳段,.00,都市：商,,,,04100000
RPUNMLPKNHIGFDE58CC,覆鼎金段覆鼎金小段,305.00,都市：住,,,,13880008
RPPNMLPKNHIGFDE08CC,大港段四小段,14.56,都市：住,,,,27780000
RPTNMLPKNHIGFDE48CC,大港段,.00,都市：住,,,,34150000
RPQNMLPKNHIGFDE18CC,獅頭段,.00,都市：商,,,,22600000
RPRNMLPKNHIGFDE28CC,有光段,.00,都市：住,,,,05570000
RPPNMLPKNHIGFFE28CC,大仁段,24.25,都市：住,,,,30590000
RPQNMLPKNHIGFFE38CC,台安段,247.07,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00720007
RPPNMLPKNHIGFIE58CC,金鼎段,16.91,都市：住,,,,06450000
RPPNMLPKNHIGFLE88CC,會社段,.00,都市：其他:市場用地,,,,05890000
RPPNMLPKNHIGFGE38CC,道爺廍段,.00,都市：住,,,,10930117
RPQNMLPKNHIGFIE68CC,新後港西段,24.83,都市：住,,,,00900000
RPQNMLPKNHIGFLE98CC,翁公園段二小段,.00,都市：住,,,,53780000
RPRNMLPKNHIGFGE58CC,新庄子段,.00,都市：商,,,,01350062
