編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLLKNHIGFAE67CC,坡道機械,0,10.88,地下五樓含以下
RPTNMLLKNHIGFBE87CC,升降機械,0,13.93,地下三樓
RPTNMLLKNHIGFCE97CC,坡道平面,0,34.87,地下一樓
RPQNMLLKNHIGFCE67CC,升降機械,2000,15.29,地下三樓
RPVNMLLKNHIGFCE18CC,坡道平面,0,26.32,地下四樓
RPRNMLLKNHIGFCE77CC,坡道平面,0,26.32,地下四樓
RPRNMLLKNHIGFDE87CC,坡道平面,0,24.10,地下二樓
RPSNMLLKNHIGFEE08CC,坡道平面,0,36.51,地下二樓
RPVNMLLKNHIGFEE38CC,坡道平面,0,20.08,地下一樓
RPXNMLLKNHIGFEE58CC,坡道平面,4500,,地下一樓
RPQNMLLKNHIGFGE08CC,坡道平面,0,24.32,地下一樓
RPSNMLLKNHIGFGE28CC,坡道平面,0,16.58,地下二樓
RPTNMLMKNHIGFGE48CC,坡道平面,0,25.32,地下一樓
RPSNMLMKNHIGFEE18CC,坡道平面,0,37.99,地下二樓
RPTNMLMKNHIGFEE28CC,坡道平面,0,31.97,地下五樓含以下
RPWNMLMKNHIGFEE58CC,坡道平面,0,30.70,地下三樓
RPTNMLMKNHIGFDE18CC,坡道平面,0,21.25,地下二樓
RPXNMLMKNHIGFDE58CC,坡道平面,0,21.10,地下二樓
RPRNMLMKNHIGFCE87CC,坡道平面,0,21.21,地下三樓
RPSNMLMKNHIGFCE97CC,坡道平面,0,21.21,地下二樓
RPQNMLMKNHIGFBE67CC,坡道平面,0,28.07,地下三樓
RPPNMLPKNHIGFAE77CC,坡道機械,0,7.46,地下一樓
RPRNMLPKNHIGFAE97CC,坡道平面,0,18.33,地下四樓
RPQNMLPKNHIGFDE18CC,坡道平面,0,,地下一樓
RPPNMLPKNHIGFIE58CC,坡道平面,0,,地下三樓
RPTNMLPKNHIGFEE58CC,坡道平面,0,22.99,地下三樓
RPQNMLPKNHIGFEE28CC,坡道平面,0,28.73,地下二樓
RPPNMLQKNHIGFEE28CC,坡道平面,0,58.34,地下一樓
