編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLNKNHIGFEF28CB,坡道平面,1800000,27.67,地下四樓
RPPOMLOKNHIGFGF38CB,坡道平面,2750000,18.00,地下二樓
RPTOMLOKNHIGFGF78CB,坡道平面,2450000,18.00,地下五樓含以下
RPROMLMKNHIGFEF18CB,坡道平面,1800000,27.67,地下四樓
RPOOMLPKNHIGFEF18CB,坡道平面,1800000,26.57,地下三樓
RPROMLPKNHIGFEF48CB,坡道平面,1800000,30.44,地下三樓
RPWNMLOKNHIGFGF98CB,坡道平面,2750000,18.00,地下二樓
RPSNMLPKNHIGFAF08CB,坡道平面,2300000,26.64,地下二樓
RPTNMLPKNHIGFAF18CB,坡道平面,2250000,26.64,地下一樓
RPWNMLPKNHIGFGF09CB,升降平面,2100000,38.26,地下二樓
RPWNMLPKNHIGFEF88CB,坡道平面,1800000,27.67,地下四樓
RPPNMLQKNHIGFEF28CB,坡道平面,1800000,27.67,地下四樓
RPVPMLPKNHIGFAF58CB,坡道平面,2400000,33.50,地下三樓
RPPNMLQKNHIGFIF68CB,一樓平面,0,16.43,一樓
RPROMLQKNHIGFEF58CB,坡道平面,1600000,33.06,地下三樓
RPQNMLQKNHIGFEF38CB,坡道平面,2000000,27.67,地下二樓
RPRNMLQKNHIGFEF48CB,坡道平面,2100000,31.45,地下一樓
RPUOMLQKNHIGFBF58CB,坡道平面,2150000,28.69,地下四樓
RPUOMLQKNHIGFBF58CB,坡道平面,2150000,28.69,地下四樓
RPSOMLQKNHIGFBF38CB,坡道平面,2300000,28.69,地下三樓
RPVOMLQKNHIGFBF68CB,坡道平面,2350000,26.39,地下一樓
RPRNMLRKNHIGFBF28CB,坡道平面,2450000,28.83,地下一樓
RPSNMLRKNHIGFBF38CB,坡道平面,2250000,28.83,地下三樓
RPSOMLRKNHIGFBF48CB,坡道平面,2450000,28.83,地下一樓
RPTOMLRKNHIGFBF58CB,坡道平面,2250000,28.83,地下三樓
RPVNMLRKNHIGFAF68DB,坡道平面,2200000,33.05,地下三樓
RPOOMLRKNHIGFAF08DB,坡道平面,2300000,29.75,地下二樓
RPXNMLRKNHIGFEF56CB,坡道平面,1850000,35.11,地下三樓
RPPOMLRKNHIGFEF48CB,坡道平面,1650000,35.82,地下三樓
RPQNMLRKNHIGFIF88CB,坡道平面,1450000,26.75,地下三樓
RPTNMLRKNHIGFIF56CB,坡道平面,1550000,26.75,地下二樓
RPPNMLRKNHIGFCF18CB,坡道平面,2450000,34.00,地下四樓
RPSNMLRKNHIGFCF48CB,坡道機械,1950000,20.40,地下五樓含以下
RPRNMLRKNHIGFCF38CB,坡道機械,1950000,20.40,地下五樓含以下
RPROMLRKNHIGFAF28CB,坡道平面,1900000,34.97,地下三樓
RPWOMLRKNHIGFAF78CB,坡道平面,1800000,34.97,地下二樓
RPXOMLRKNHIGFAF88CB,坡道平面,1950000,34.97,地下三樓
RPPPMLRKNHIGFAF18CB,坡道平面,2000000,34.97,地下二樓
RPOPMLRKNHIGFAF08CB,坡道平面,2200000,34.97,地下一樓
RPRRMLRKNHIGFAF58CB,坡道平面,2450000,18.40,地下五樓含以下
RPWNMLSKNHIGFGF76CB,坡道平面,2800000,19.66,地下二樓
RPOOMLSKNHIGFGF68CB,坡道平面,2400000,16.53,地下四樓
RPSOMLSKNHIGFGF09CB,坡道平面,2450000,18.00,地下五樓含以下
RPROMLSKNHIGFGF98CB,坡道平面,2300000,18.00,地下五樓含以下
