鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,建物,新北市汐止區龍安路２８巷６號４樓-１１,0.0,商,,,1120509,土地0建物1車位0,四層,26,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860703,41.839999999999996,1,0,1,有,有,有,14000,335,,0.0,0,,RPQNMLLKNHIGFDF87CC
汐止區,建物,新北市汐止區大同路三段４６１巷１２號,0.0,工,,,1120429,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,,131.01,9,3,2,有,無,無,21000,160,,0.0,0,每月水電瓦斯、網路費由承租人負擔。,RPRNMLLKNHIGFDF97CC
汐止區,房地(土地+建物),新北市汐止區大同路３段６１５號３１樓之３,7.55,住,,,1120412,土地1建物1車位0,三十一層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,78.57,2,1,1,有,有,有,16000,204,,0.0,0,含管理費,RPSNMLLKNHIGFDF08CC
板橋區,建物,新北市板橋區光華街２４巷４號４樓,0.0,住,,,1120312,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741224,107.4,3,1,2,有,有,有,20000,186,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為22300，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額20000。管理費在租賃期間無償撤銷原申報書：C1FA11203140001,RPVNMLLKNHIGFAF28EC
三峽區,房地(土地+建物)+車位,新北市三峽區大觀路１４６號９樓,22.16,住,,,1120421,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960202,155.0,3,2,2,有,有,有,28000,181,坡道平面,22.12,0,,RPRNMLLKNHIGFIF48CC
三峽區,房地(土地+建物)+車位,新北市三峽區大學路３９之７號１０樓,11.04,住,,,1120501,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941017,105.29,2,1,1,有,有,有,21000,199,坡道平面,32.7,0,,RPSNMLLKNHIGFIF58CC
三峽區,建物,新北市三峽區大同路１９６號５樓,12.12,住,,,1120420,土地0建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841129,125.39999999999999,2,2,1,有,有,有,20000,159,,0.0,0,,RPVNMLLKNHIGFIF88CC
樹林區,建物,新北市樹林區保安街二段２９７號４樓,0.0,住,,,1120501,土地0建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830108,160.51,4,1,2,有,有,有,17700,110,升降機械,0.0,2700,續約。此物件加入新北市社會住宅包租代管計畫，評定市價租金為16667元，代租代管方案打九折為15000元，以15000元為簽訂租賃契約租金。每月管理費2300元另計。每月車位費2700元另計。,RPWNMLLKNHIGFIF98CC
三峽區,建物,新北市三峽區大同路２７４號７樓,0.0,住,,,1120413,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830921,152.45,3,2,2,有,無,有,17000,112,,0.0,0,水電瓦斯等費用承租人負擔,RPXNMLLKNHIGFIF09CC
