編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLLKNHIGFIF09CC,29,152.45,住家用,鋼筋混凝土造,83年9月21日,七層,,
RPVNMLLKNHIGFIF88CC,27,107.02,住家用,鋼筋混凝土造,84年11月29日,十六層,,
RPWNMLLKNHIGFIF98CC,29,129.53,住家用,鋼筋混凝土造,83年1月8日,十二層,,
RPVNMLLKNHIGFIF88CC,27,18.38,自用儲藏室，防空避難室，配電室兼停車場，屋頂突出物，樓梯間,鋼筋混凝土造,84年11月29日,十六層,,
RPWNMLLKNHIGFIF98CC,29,30.98,共有部份,鋼筋混凝土造,83年1月8日,十二層,,
RPRNMLLKNHIGFIF48CC,16,155.00,住家用,鋼筋混凝土造,96年2月2日,十四層,,
RPSNMLLKNHIGFIF58CC,18,105.29,住家用,鋼筋混凝土造,94年10月17日,十三層,,
RPOOMLLKNHIGFIF28CC,16,188.44,住家用,鋼筋混凝土造,96年7月27日,十九層,,
RPPNMLLKNHIGFEF87CC,25,96.44,住家用,鋼筋混凝土造,87年10月7日,五層,,
RPQNMLLKNHIGFEF97CC,43,16.54,住家用,鋼筋混凝土造,69年6月20日,五層,,
RPTNMLLKNHIGFEF28CC,5,66.35,住家用,鋼筋混凝土造,106年12月29日,二十七層,,
RPTNMLLKNHIGFEF28CC,5,30.75,本共有部分項目：騎樓、接待大廳、梯廳、管委會使用空間、排煙室、陽台、緩衝空間６＊１２、人行通廊、走道、防災中心、商業管委會使用空間、女廁、男廁、男按摩池、女按摩池、男更衣室、女更衣室、樓梯間、機房、機械室、水箱、中繼消防水箱、泵浦區、中繼消防機房、Ｂ梯廳排煙室、Ｂ棟電錶室、昇降機坑、排風機房、電信室（Ａ）、台電配電室（Ｄ）、受電箱通道、Ｈ梯廳排煙室、Ｈ棟電錶室、停車空間、Ｉ棟電錶室、Ｉ梯廳排煙室、電信室（Ｂ）、儲油室、緊急發電機室（Ｂ）（兼大公變電室）、台電配電室（Ｃ）、Ｆ棟電錶室、Ｆ梯廳排煙室、消防中繼水箱、消防中繼機房（兼揚水泵浦機房）、游泳池專用水箱－１、游泳池專用水箱－２、Ｅ梯廳排煙室、Ｅ棟電錶室、Ａ梯廳排煙室、Ａ棟電錶室、緊急發電機室（Ａ）（兼大公變電室）、垃圾儲藏室、游泳池機房、車道、防空避難室兼停車空間、排風管道、進風管道、Ｃ梯廳排煙室、Ｃ棟電錶室、台電配電室（Ｂ）、Ｄ梯廳排煙室、Ｄ棟電錶室、Ａ棟小公變電室、Ｈ棟小公變電室、Ｉ棟小公變電室、Ｅ棟水箱－１、Ｅ棟小公變電室、Ｄ棟水箱－１、Ｃ棟小公變電室、Ｄ棟小公變電室、Ｂ棟小公變電室、Ｅ棟水箱－２、Ｄ棟水箱－２、Ｆ棟小公變電室、Ａ棟水箱、Ｂ棟水箱、共同泵浦區、Ｈ棟水箱、Ｉ棟水箱、消防泵浦室、雨水過濾機房、Ｆ棟水箱、Ｃ棟水箱、住宅臨停車位１～５４、商業臨停車位１～２０、裝卸車位１～３、＃３、＃６、＃９、＃１２、＃１５、＃１８、＃２１、＃２４緊急昇降機（行動不便者電梯）、安全梯（Ｃ）、安全梯（Ｂ）、垃圾車位、機車停車空間、安全梯（Ａ）、特別安全梯（Ａ）、特別安全梯（Ｂ）、ａ梯、ｂ梯、ｃ梯、台電配電室（Ａ）、＃２５昇降機、＃２６昇降機等１０７項。,鋼筋混凝土造,106年12月29日,二十七層,,
RPUNMLLKNHIGFEF38CC,30,86.25,住家用,鋼筋混凝土造,82年3月4日,四層,,
RPUNMLLKNHIGFEF38CC,30,35.53,共有部分,鋼筋混凝土造,82年3月4日,四層,,
RPRNMLLKNHIGFEF08CC,29,29.93,住家用,鋼筋混凝土造,83年6月28日,五層,,
RPSNMLLKNHIGFEF18CC,24,50.06,住家用,鋼骨鋼筋混凝土造,88年7月4日,三十三層,,
RPSNMLLKNHIGFEF18CC,24,4.68,共有部分,鋼骨鋼筋混凝土造,88年7月4日,二十六層,,
RPSNMLLKNHIGFEF18CC,24,14.01,共有部分,鋼骨鋼筋混凝土造,88年7月4日,三十三層,,
RPVNMLLKNHIGFEF48CC,15,33.75,住家用,鋼筋混凝土造,97年9月9日,二十九層,,
RPVNMLLKNHIGFEF48CC,15,19.58,共有部分,鋼筋混凝土造,97年9月9日,二十九層,,
RPXNMLLKNHIGFEF68CC,4,138.82,集合住宅,鋼筋混凝土造,108年8月22日,二十九層,,
RPPNMLLKNHIGFCF67CC,27,48.38,住家用,鋼筋混凝土造,85年10月1日,六層,,
RPXNMLLKNHIGFEF68CC,4,63.91,共有部分，本共有部分之項目有梯廳、排煙室、Ａ棟弱電管道室、ＡＢ棟公共樓梯、Ｄ棟弱電管道室、ＣＤ棟公共樓梯、頂蓋式通廊、防災中心、管委會使用空間、機房、泳池機房、男更衣室、女更衣室、烤箱、蒸氣室、兒童戲水區、長泳區、湯池、看台區、宅配室、儲藏室、電管道室、電錶室、水消撒管道室、水錶室、通道、機械室、消防中繼機房、消防中繼水箱、樓梯間、自來水箱、消防專用屋頂水箱暨中繼水箱、排氣機房、台電配電室、受電箱通道、小公變電室、電信室、消防水箱、緊急發電機房兼大公變電室、電表室、儲油間、排風管道、垃圾儲藏室、排風機房、進氣機房、防空避難室兼停車空間、噴泉池機房、泵浦區、騎樓、陽台、雨遮、游泳池專用水箱、機電設備空間、停車空間、進風機房、Ａ棟水箱、Ｄ棟水箱、雨水過濾機房、Ｂ棟水箱、Ｃ棟水箱、消防泵浦機房等６１項,鋼筋混凝土造,108年8月22日,二十九層,,
RPPNMLLKNHIGFCF67CC,27,15.16,共有部份,鋼筋混凝土造,85年10月1日,六層,,
RPPNMLLKNHIGFCF67CC,27,5.06,共有部份,鋼筋混凝土造,85年10月1日,六層,,
RPQNMLLKNHIGFCF77CC,23,20.40,住家用,鋼筋混凝土造,89年6月16日,七層,,
RPQNMLLKNHIGFCF77CC,23,5.87,住家用,鋼筋混凝土造,89年6月16日,七層,,
RPQNMLLKNHIGFCF77CC,23,11.94,共有部份,鋼筋混凝土造,89年6月16日,七層,,
RPQNMLLKNHIGFCF77CC,23,8.71,共有部份,鋼筋混凝土造,89年6月16日,七層,,
RPOOMLLKNHIGFEF87CC,14,31.18,住家用,鋼筋混凝土造,98年2月18日,二十二層,,
RPOOMLLKNHIGFEF87CC,14,13.27,共有部分,鋼筋混凝土造,98年2月18日,二十二層,,
RPQNMLLKNHIGFAF57CC,,52.40,住家用,鋼筋混凝土造,,四層,,
RPRNMLLKNHIGFAF67CC,43,65.38,住家用,鋼筋混凝土造,69年8月25日,四層,,
RPXNMLLKNHIGFAF28CC,32,117.04,住家用,鋼骨鋼筋混凝土造,80年2月6日,十七層,,
RPXNMLLKNHIGFAF28CC,32,21.40,共有部份,鋼骨鋼筋混凝土造,80年2月6日,十八層,,
RPUNMLLKNHIGFAF97CC,26,43.37,住家用,鋼筋混凝土造,86年3月14日,十八層,,
RPQNMLLKNHIGFHF28CC,21,256.79,一般事務所（事務所）,鋼筋混凝土造,91年6月17日,十七層,,
RPUNMLLKNHIGFAF97CC,26,4.74,共有部分,鋼筋混凝土造,86年3月14日,十八層,,
RPUNMLLKNHIGFAF97CC,26,1.28,蓄水池、泵浦室、電樓梯間、屋頂突出物,鋼筋混凝土造,86年3月14日,十八層,,
RPQNMLLKNHIGFHF28CC,21,25.92,共有部份,鋼筋混凝土造,91年6月17日,十七層,,
RPUNMLLKNHIGFAF97CC,26,8.20,電樓梯間,鋼筋混凝土造,86年3月14日,十八層,,
RPQNMLLKNHIGFHF28CC,21,33.30,共有部份,鋼筋混凝土造,91年6月17日,十七層,,
RPQNMLLKNHIGFHF28CC,21,67.47,共有部份,鋼筋混凝土造,91年6月17日,十七層,,
RPSNMLLKNHIGFAF77CC,,57.06,住家用,鋼筋混凝土造,,四層,,
RPQNMLLKNHIGFDF87CC,26,39.19,住家用,鋼筋混凝土造,86年7月3日,二十六層,,
RPQNMLLKNHIGFDF87CC,26,1.70,門廊社區中心衣物寄放櫃、警衛室、櫃檯、電信機房、緊急昇降機、男更衣室、女更衣室、門廳會議室、台電管道間、台電變電室、緊急發電機室、排煙室、蓄水池、消防水池、泵浦室、電梯間,鋼筋混凝土造,86年7月3日,二十七層,,
RPQNMLLKNHIGFDF87CC,26,.95,門廳、水箱、信箱區、緊急昇降機、機械室、瞭望台、樓梯間、排煙機房、樓梯。,鋼筋混凝土造,86年7月3日,二十六層,,
RPSNMLLKNHIGFDF08CC,24,59.64,住家用,鋼筋混凝土造,88年2月3日,三十二層,,
RPRNMLLKNHIGFDF97CC,,131.01,住家用,加強磚造,,一層,,
RPSNMLLKNHIGFDF08CC,24,1.43,共有部份,鋼筋混凝土造,88年2月3日,三十三層,,
RPSNMLLKNHIGFDF08CC,24,1.90,共有部份,鋼筋混凝土造,88年2月3日,三十三層,,
RPSNMLLKNHIGFDF08CC,24,15.60,共有部份,鋼筋混凝土造,88年2月3日,三十二層,,
RPVNMLLKNHIGFAF28EC,37,107.40,住家用,鋼筋混凝土造,74年12月24日,五層,,
RPPNMLLKNHIGFGF08CC,26,79.21,商業用,鋼筋混凝土造,86年3月17日,七層,,
RPPNMLLKNHIGFGF08CC,26,4.73,共有部份,鋼筋混凝土造,86年3月17日,七層,,
RPPNMLLKNHIGFGF08CC,26,15.61,共有部份,鋼筋混凝土造,86年3月17日,七層,,
RPPNMLLKNHIGFGF08CC,26,1.06,共有部份,鋼筋混凝土造,86年3月17日,七層,,
RPQNMLLKNHIGFGF18CC,1,62.05,集合住宅,鋼筋混凝土造,110年11月8日,十二層,,
RPQNMLLKNHIGFGF18CC,1,74.60,本共有部分有停車空間、防空避難室兼停車空間、梯廳、管委會使用空間、自行車停車空間、樓梯間、電梯間、機械室、車道、水箱等１０項。,鋼筋混凝土造,110年11月8日,十二層,,
RPSNMLLKNHIGFGF38CC,46,85.00,住家用,鋼筋混凝土造,66年8月11日,四層,,
RPRNMLMKNHIGFGF38CC,52,15.33,住家用,加強磚造,60年8月1日,四層,,
RPSNMLMKNHIGFGF48CC,41,95.00,住家用,鋼筋混凝土造,70年12月26日,五層,,
RPTNMLMKNHIGFGF58CC,39,93.69,住家用,鋼筋混凝土造,73年3月2日,五層,,
RPUNMLMKNHIGFGF68CC,11,58.97,住家用,鋼筋混凝土造,101年10月26日,十三層,,
RPUNMLMKNHIGFGF68CC,11,11.75,本共有部分計有公共服務空間、管委會服務空間、管理員室、通廊、停車空間、防空避難室兼停車場等共計６項。,鋼筋混凝土造,101年10月26日,十三層,,
RPUNMLMKNHIGFGF68CC,11,13.85,本共有部分計有樓電梯間、電梯機房、水箱等共計３項。,鋼筋混凝土造,101年10月26日,十三層,,
RPSNMLLKNHIGFBF87CC,47,74.40,住家用,加強磚造,65年10月13日,四層,,
RPUNMLLKNHIGFBF08CC,46,103.80,住家用,加強磚造,65年12月20日,四層,,
RPTNMLLKNHIGFBF97CC,30,83.19,住家用,鋼筋混凝土造,81年12月31日,七層,,
RPTNMLLKNHIGFBF97CC,30,29.34,共有部份,鋼筋混凝土造,81年12月31日,七層,,
RPVNMLLKNHIGFBF18CC,6,88.40,集合住宅,鋼筋混凝土造,106年1月4日,十九層,,
RPOOMLLKNHIGFBF57CC,25,56.70,住家用,鋼筋混凝土造,87年7月1日,十六層,,
RPVNMLLKNHIGFBF18CC,6,54.40,本共有部分之項目有停車空間、梯廳、電錶室、垃圾暫存室、垃圾集中室、台電配電場所、發電機室、管委會使用空間、電信機房、泳池蓄水池、蓄水池、消防幫浦室、進風機房、排風機房、門廊、廁所、樓電梯間、車道、防災中心、機電空間、中繼機房、大廳、陽台、樓梯間、機械室等２５項。,鋼筋混凝土造,106年1月4日,十九層,,
RPOOMLLKNHIGFBF57CC,25,23.19,共有部份,鋼筋混凝土造,87年7月1日,十六層,,
RPVNMLLKNHIGFBF18CC,6,19.71,本共有部分之項目有樓電梯間、樓梯間、機械室等３項。,鋼筋混凝土造,106年1月4日,十九層,,
RPOOMLLKNHIGFBF57CC,25,11.98,共有部份,鋼筋混凝土造,87年7月1日,十六層,,
RPRNMLMKNHIGFBF87CC,40,88.08,住家用,鋼筋混凝土造,72年8月25日,五層,,
RPQNMLLKNHIGFBF67CC,28,105.17,住家用,鋼筋混凝土造,83年10月17日,五層,,
RPXNMLLKNHIGFBF38CC,37,77.47,住家用,鋼筋混凝土造,75年5月14日,五層,,
RPRNMLLKNHIGFBF77CC,43,92.11,住家用,鋼筋混凝土造,69年4月3日,五層,,
RPXNMLLKNHIGFBF38CC,37,2.01,共有部份,鋼筋混凝土造,75年5月10日,五層,,
RPWNMLLKNHIGFBF28CC,8,82.96,集合住宅,鋼筋混凝土造,104年1月14日,十五層,,
RPWNMLLKNHIGFBF28CC,8,15.56,本共有部分之項目有緊急升降機、行動不便者使用電梯、Ａ１梯戶外安全梯、Ａ２梯戶外安全梯、排煙室、梯廳、機房、水箱、機械室等９項。,鋼筋混凝土造,104年1月14日,十五層,,
RPWNMLLKNHIGFBF28CC,8,43.13,本共有部分之項目有緊急升降機、行動不便者使用電梯、Ａ２梯戶外安全梯、Ｂ１梯戶外安全梯、大廳、排煙室、管委會空間一、二、三、台電配電場所、電錶室、陽台、垃圾儲存空間、停車空間、台電專用管道間、發電機進排煙管道間、通風管道、發電機房、Ｂ２水箱、Ｂ１水箱、Ａ１水箱、消防機房等２０項。,鋼筋混凝土造,104年1月14日,十五層,,
RPXNMLMKNHIGFBF48CC,9,59.42,集合住宅,鋼筋混凝土造,103年4月2日,十四層,,
RPXNMLMKNHIGFBF48CC,9,10.70,本共有部分之項目有梯廳、梯間、機械室、水箱等４項,鋼筋混凝土造,103年4月2日,十四層,,
RPXNMLMKNHIGFBF48CC,9,41.91,本共有部分之項目有自行車停車空間、管委會空間、排煙室、梯間、大廳、停車空間、通風管道間、發電機室、垃圾貯存空間、台電配電場所、蓄水池、電信機房、消防機房等１３項,鋼筋混凝土造,103年4月2日,十四層,,
RPPNMLMKNHIGFHF28CC,45,18.22,商業用,鋼筋混凝土造,67年7月29日,五層,,
RPPOMLMKNHIGFBF77CC,4,50.75,集合住宅,鋼骨鋼筋混凝土造,108年6月11日,十九層,,
