編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLKNHIGFIF48CC,坡道平面,0,22.12,地下二樓
RPWNMLLKNHIGFIF98CC,升降機械,2700,,地下二樓
RPSNMLLKNHIGFIF58CC,坡道平面,0,32.70,地下三樓
RPOOMLLKNHIGFIF28CC,坡道平面,0,42.33,地下五樓含以下
RPQNMLLKNHIGFGF18CC,坡道平面,0,,地下四樓
RPVNMLLKNHIGFBF18CC,坡道平面,3500,33.06,地下二樓
RPOOMLLKNHIGFBF57CC,坡道機械,0,,地下二樓
RPWNMLLKNHIGFBF28CC,坡道平面,3000,18.74,地下二樓
RPXNMLMKNHIGFBF48CC,坡道平面,3000,24.65,地下三樓
RPPOMLMKNHIGFBF77CC,坡道機械,3000,27.06,地下四樓
RPTNMLMKNHIGFBF08CC,坡道機械,0,,地下三樓
RPOOMLMKNHIGFAF57CC,坡道平面,3000,39.17,地下一樓
RPTNMLMKNHIGFCF18CC,坡道平面,0,,地下一樓
RPTNMLMKNHIGFCF18CC,坡道平面,0,,地下一樓
RPPNMLMKNHIGFEF97CC,坡道平面,0,32.66,地下三樓
RPQNMLMKNHIGFEF08CC,坡道平面,0,29.24,地下二樓
RPUNMLMKNHIGFEF48CC,坡道機械,0,,地下一樓
RPSNMLMKNHIGFEF28CC,坡道平面,0,35.34,地下三樓
RPWNMLMKNHIGFEF68CC,坡道平面,0,29.24,地下三樓
RPXNMLMKNHIGFEF78CC,坡道平面,0,31.77,地下四樓
RPOOMLMKNHIGFEF97CC,坡道平面,0,33.07,地下二樓
RPQNMLMKNHIGFIF48CC,坡道平面,0,36.82,地下一樓
RPROMLMKNHIGFEF28CC,坡道平面,0,31.45,地下三樓
RPRNMLMKNHIGFDF08CC,坡道平面,2000,42.69,地下二樓
RPSNMLMKNHIGFDF18CC,坡道平面,3000,42.69,地下二樓
RPSNMLNKNHIGFAF97CC,其他,0,,地下一樓
RPRNMLPKNHIGFEF48CC,坡道平面,0,,地下二樓
RPPNMLOKNHIGFEF18CC,坡道平面,0,25.97,地下三樓
RPWNMLPKNHIGFEF98CC,坡道平面,0,36.09,地下三樓
RPQOMLPKNHIGFEF48CC,坡道平面,0,25.58,地下三樓
RPVOMLPKNHIGFEF98CC,坡道平面,0,15.42,地下五樓含以下
RPXOMLPKNHIGFEF56CC,坡道平面,0,33.17,地下一樓
RPRPMLPKNHIGFEF68CC,坡道平面,0,15.42,地下五樓含以下
RPPPMLPKNHIGFEF48CC,坡道平面,0,30.10,地下三樓
RPSPMLPKNHIGFEF78CC,坡道平面,0,15.42,地下五樓含以下
RPPNMLPKNHIGFCF08CC,坡道平面,0,,地下一樓
RPSNMLPKNHIGFCF38CC,坡道平面,0,,地下一樓
RPSNMLPKNHIGFCF38CC,坡道平面,0,,地下一樓
RPPNMLPKNHIGFIF68CC,坡道平面,2500,28.64,地下四樓
RPQNMLPKNHIGFBF08CC,坡道平面,0,37.63,地下二樓
RPQNMLPKNHIGFBF08CC,坡道平面,0,37.63,地下二樓
RPWNMLPKNHIGFBF68CC,坡道平面,0,24.17,地下二樓
RPOOMLPKNHIGFBF97CC,坡道平面,4000,,地下二樓
RPSNMLPKNHIGFGF78CC,坡道機械,0,29.45,地下二樓
RPRNMLPKNHIGFHF78CC,坡道平面,0,28.02,地下一樓
RPUNMLPKNHIGFHF09CC,升降平面,0,38.77,地下二樓
RPRNMLPKNHIGFAF08CC,坡道平面,0,27.57,地下一樓
RPUNMLPKNHIGFAF38CC,坡道機械,0,,地下一樓
RPUNMLPKNHIGFAF38CC,坡道機械,0,,地下二樓
RPUNMLPKNHIGFAF38CC,坡道機械,0,,地下二樓
RPUNMLPKNHIGFAF38CC,坡道機械,0,,地下二樓
RPUNMLPKNHIGFAF38CC,坡道機械,0,,地下二樓
RPWNMLPKNHIGFHF86EC,坡道平面,0,23.50,地下五樓含以下
RPPNMLQKNHIGFDF28CC,坡道平面,0,39.36,地下二樓
RPQNMLQKNHIGFCF28CC,坡道平面,0,34.99,地下二樓
RPRNMLQKNHIGFCF38CC,坡道平面,0,38.08,地下一樓
RPUNMLQKNHIGFEF88CC,坡道平面,0,34.70,地下一樓
RPTNMLQKNHIGFEF78CC,坡道平面,0,22.84,地下三樓
RPOOMLQKNHIGFEF38CC,坡道平面,0,30.47,地下三樓
RPPNMLRKNHIGFEF48CC,坡道平面,0,30.46,地下二樓
RPQNMLRKNHIGFEF58CC,坡道平面,0,38.16,地下四樓
RPTNMLRKNHIGFEF88CC,坡道平面,0,43.21,地下三樓
RPXNMLRKNHIGFEF66CC,坡道機械,0,15.23,地下五樓含以下
RPQNMLRKNHIGFIF98CC,坡道平面,3200,21.96,地下二樓
RPQNMLRKNHIGFAF38EC,升降平面,3000,18.04,地下一樓
RPRNMLRKNHIGFIF09CC,坡道平面,0,36.74,地下三樓
RPSNMLRKNHIGFAF38CC,坡道平面,3500,,地下一樓
RPRNMLSKNHIGFGF98CC,塔式車位,0,23.42,
RPRNMLSKNHIGFBF48CC,坡道平面,0,16.41,地下三樓
RPTNMLSKNHIGFBF68CC,坡道平面,0,25.20,地下一樓
RPUNMLSKNHIGFBF78CC,坡道平面,3000,25.62,地下一樓
RPOOMLSKNHIGFBF28CC,坡道平面,3000,28.81,地下三樓
RPRPMLSKNHIGFBF68CC,坡道平面,3000,28.81,地下一樓
RPXOMLSKNHIGFBF56CC,坡道平面,0,36.80,地下二樓
RPQPMLSKNHIGFBF58CC,坡道平面,3000,28.81,地下三樓
RPSPMLSKNHIGFBF78CC,坡道機械,1000,24.69,地下一樓
RPPNMLSKNHIGFIF98CC,坡道平面,0,39.83,地下五樓含以下
RPXNMLSKNHIGFIF17CC,坡道平面,0,33.97,地下二樓
RPTNMLSKNHIGFCF78CC,坡道平面,4000,37.74,地下三樓
RPWNMLSKNHIGFIF07CC,坡道平面,0,36.37,地下一樓
RPOOMLSKNHIGFIF98CC,坡道平面,0,29.84,地下一樓
RPUNMLSKNHIGFEF09CC,坡道平面,0,21.04,地下二樓
RPQNMLTKNHIGFHF09CC,坡道平面,0,35.94,地下四樓
RPPNMLTKNHIGFHF98CC,坡道平面,0,35.94,地下二樓
RPTNMLTKNHIGFEF09CC,坡道平面,0,,地下二樓
RPPOMLTKNHIGFEF78CC,坡道平面,0,34.17,地下三樓
RPROMLTKNHIGFEF98CC,坡道平面,0,30.46,地下二樓
RPTNMLTKNHIGFIF86CC,坡道平面,0,39.83,地下五樓含以下
RPSNMLTKNHIGFDF88CC,坡道平面,0,,地下三樓
RPQNMLTKNHIGFAF38CC,坡道平面,0,36.09,地下三樓
RPTNMLTKNHIGFGF86EC,坡道平面,0,41.90,地下二樓
RPPNMLKLNHIGFBF57CC,坡道平面,0,,地下二樓
RPQNMLKLNHIGFEF97CC,坡道平面,0,30.84,地下四樓
