鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康路６９號三樓之三,11.5,都市：其他:健康休閒專用區四,,,1120801,土地1建物1車位0,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100701,76.83,1,1,1,有,有,10680000,139008,,0.0,0,,RPOPMLRJQHIGFBG48DA,35.94,0.0,2.82,有,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市城隍街４７之２號,5.42,商,,,1120801,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,,10.17,3,2,2,有,無,800000,78663,,0.0,0,兄弟買賣 共有人承買親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJQHIGFBG68EA,10.17,0.0,0.0,無,
大同鄉,建物,宜蘭縣大同鄉泰雅一路３５巷８號,0.0,,,,1120801,土地0建物1車位0,全,一層,透天厝,住家用,木石造,0640601,37.76,1,1,1,有,無,200000,5297,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLTJQHIGFAG88DA,37.76,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路三段１６３巷８１弄６號,47.81,住,,,1120802,土地2建物1車位0,全,四層,透天厝,住家用,鋼骨鋼筋混凝土造,0990913,95.49,4,2,4,有,有,2375100,24873,,0.0,0,姨甥買賣親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKQHIGFBG97EA,90.41,0.0,5.08,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉漳福路２３巷１０號,83.37,工,,,1120808,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700905,95.24,4,2,3,有,無,6800000,71399,,0.0,0,頂樓加蓋,RPQNMLSJQHIGFBG58DA,95.24,0.0,0.0,無,0001
礁溪鄉,土地,德陽段543地號,13.87,,特定農業區,甲種建築用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,671360,48404,,0.0,0,共有土地持分買賣，地上有房屋親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKQHIGFBG58EA,0.0,0.0,0.0,無,0002
三星鄉,土地,雙賢一段243地號,2788.02,,特定農業區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9277136,3327,,0.0,0,,RPQNMLOKQHIGFAG28EA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮學府街３９號五樓之６,32.67,商,,,1120801,土地1建物1車位1,五層，夾層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100911,111.43,2,2,2,有,有,8800000,78973,一樓平面,0.0,0,土地價金484萬建物價金396萬元正另有2個機車位,RPRNMLOKQHIGFAG38EA,52.73,0.0,7.99,有,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉寶慶路６５號,140.49,,特定農業區,甲種建築用地,1120802,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701231,114.12,2,1,2,有,無,3550000,31108,,0.0,0,其他增建：3F鐵皮其他增建；,RPUOMLOKQHIGFAG68DA,114.12,0.0,0.0,無,0003
