編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTJQHIGFBG68EA,,10.17,住商用,鋼筋混凝土加強磚造,,三層,一層 二層 三層 騎樓,持分移轉
RPPNMLLKQHIGFBG97EA,13,95.49,住家用,鋼骨鋼筋混凝土造,99年9月13日,四層,一層 二層 三層 四層 陽台 見其他登記事項,持分移轉
RPTNMLTJQHIGFAG88DA,48,37.76,住家用,木石造,64年6月1日,一層,一層,持分移轉
RPRNMLOKQHIGFAG38EA,2,60.72,集合住宅,鋼筋混凝土造,110年9月11日,五層,五層 陽台 夾層,全筆移轉
RPRNMLOKQHIGFAG38EA,2,50.71,本共有部份之項目有停車空間、電信機房、其他及樓梯間等４項,鋼筋混凝土造,110年9月11日,五層,,持分移轉
RPUOMLOKQHIGFAG68DA,42,114.12,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層 騎樓,全筆移轉
RPPNMLQKQHIGFAG28DA,31,113.54,住家用,鋼筋混凝土造,81年9月1日,五層,二層 陽台,全筆移轉
RPPNMLQKQHIGFAG28DA,31,28.00,停車場,鋼筋混凝土造,81年9月1日,五層,一層,持分移轉
RPOOMLQKQHIGFBG38DA,2,37.36,集合住宅,鋼筋混凝土造,110年7月1日,二十二層,五層 陽台,全筆移轉
RPOOMLQKQHIGFBG38DA,2,36.50,本共有部分之項目有：停車空間、消防機械室、排煙室、機械室、台電配電室、發電機房、防災中心、無頂蓋採光井、門廳、梯廳、特別安全梯、樓梯間、水錶室、安全梯、消防中繼機房、消防中繼水箱、電梯機房、水箱等１８項。,鋼筋混凝土造,110年7月1日,二十二層,,持分移轉
RPPOMLQKQHIGFBG48DA,2,48.16,集合住宅,鋼筋混凝土造,110年7月1日,二十二層,三層 陽台,全筆移轉
RPOOMLQKQHIGFBG38DA,2,.19,本共有部分之項目有：管理室等１項。,鋼筋混凝土造,110年7月1日,二十二層,,持分移轉
RPPOMLQKQHIGFBG48DA,2,47.07,本共有部分之項目有：停車空間、消防機械室、排煙室、機械室、台電配電室、發電機房、防災中心、無頂蓋採光井、門廳、梯廳、特別安全梯、樓梯間、水錶室、安全梯、消防中繼機房、消防中繼水箱、電梯機房、水箱等１８項。,鋼筋混凝土造,110年7月1日,二十二層,,持分移轉
RPPOMLQKQHIGFBG48DA,2,.25,本共有部分之項目有：管理室等１項。,鋼筋混凝土造,110年7月1日,二十二層,,持分移轉
RPPNMLSKQHIGFBG68EA,,26.59,商業用,木造,,一層,一層 騎樓,持分移轉
RPSPMLQKQHIGFAG78DA,3,22.00,農業資材室,鋼造,110年1月18日,一層,一層,全筆移轉
RPPNMLRKQHIGFBG58EA,15,212.25,住家用,鋼筋混凝土造,97年7月4日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLRKQHIGFBG48DA,29,40.32,住家用,鋼筋混凝土造,83年12月12日,十四層,一層 平台,全筆移轉
RPPNMLRKQHIGFBG48DA,29,19.79,共有部份,鋼筋混凝土造,83年12月12日,十四層,,持分移轉
RPQNMLLLQHIGFBG18EA,54,48.26,住家用,加強磚造,58年7月1日,三層,一層,全筆移轉
RPPOMLLLQHIGFBG08DA,31,94.76,住家用,鋼筋混凝土造,81年12月15日,七層,二層 陽台,全筆移轉
RPPOMLLLQHIGFBG08DA,31,32.81,共有部份,鋼筋混凝土造,81年12月15日,七層,,持分移轉
RPPNMLLLQHIGFAG97EA,44,197.10,住家用,鋼筋混凝土加強磚造,68年10月9日,三層,一層 二層 三層 騎樓,全筆移轉
