鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
五結鄉,房地(土地+建物),宜蘭縣五結鄉傳藝路一段56巷,82.75,,特定農業區,甲種建築用地,1120513,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,139.36,4,2,5,有,無,9080000,65155,,0.0,0,,RPPNMLQKNHIGFAG97CB,鳳凰愛買第7期,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段191巷,47.62,,特定農業區,甲種建築用地,1120513,土地2建物1車位0,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.7,1,1,1,有,無,3300000,65089,,0.0,0,,RPROMLQKNHIGFBG38CB,蘭陽世代居,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市黎明二路276巷,121.14,農,,,1120515,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,180.35,4,2,4,有,無,14680000,81397,,0.0,0,,RPUPMLQKNHIGFBG78CB,吉祥郡No.8,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市黎明二路276巷,120.14,農,,,1120513,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.34,4,2,4,有,無,14520000,81418,,0.0,0,,RPWPMLQKNHIGFBG98CB,吉祥郡No.8,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路二段188巷,151.82,,特定農業區,農牧用地,1120516,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,151.02,4,2,4,有,無,9300000,61581,,0.0,0,含農地交易:價金37萬,RPPNMLRKNHIGFBG18CB,美城國五,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮東榮路二段,42.62,其他,,,1120515,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.58,3,1,2,有,無,15160000,104188,坡道平面,27.39,1700000,共有部分面積71.43平方公尺內含車位面積27.39平方公尺，合併前地號為東榮二段82、83、91、92地號。,RPSNMLRKNHIGFAG38CB,勤大德?,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮東榮路二段,51.62,其他,,,1120515,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,156.49,0,2,1,有,無,17600000,112467,,0.0,0,合併前地號為東榮二段82、83、91、92地號。1、2層有內梯相通。,RPVNMLRKNHIGFAG68CB,勤大德?,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉茄苳路,69.12,,特定農業區,甲種建築用地,1120511,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,143.73,4,2,3,有,無,8420000,58582,,0.0,0,,RPVOMLRKNHIGFAG78CB,東瑞首綻,,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮和平路旁,25.47,商,,,1120513,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.76,2,2,1,有,無,4250000,51981,,0.0,0,,RPPNMLSKNHIGFAG18CB,靚圓滿,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大興路107巷,54.98,農,,,1120513,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.44,3,2,2,有,無,13770000,93569,坡道平面,25.1,1200000,,RPTNMLSKNHIGFAG58CB,築松暖香生活村,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段292巷,89.86,,鄉村區,乙種建築用地,1120512,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,157.21,4,2,4,有,無,7600000,48343,,0.0,0,,RPQNMLSKNHIGFAG38DB,元邦景心,,
