編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLQKNHIGFBG38CB,壯志段,24.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,12692,持分移轉,04510000
RPROMLQKNHIGFBG38CB,壯志段,23.31,非都市：特定農業區 ; 非都市編定：農牧用地,10000000,204116,持分移轉,04490000
RPUPMLQKNHIGFBG78CB,振興段,4.00,都市：農,21,1,持分移轉,04190002
RPUPMLQKNHIGFBG78CB,振興段,22.71,都市：農,21,1,持分移轉,04390002
RPUPMLQKNHIGFBG78CB,振興段,78.00,都市：農,1,1,全筆移轉,04400004
RPUPMLQKNHIGFBG78CB,振興段,14.00,都市：農,1,1,全筆移轉,04400017
RPUPMLQKNHIGFBG78CB,振興段,2.43,都市：農,21,1,持分移轉,04400032
RPPNMLQKNHIGFAG97CB,協和一段,63.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00660000
RPPNMLQKNHIGFAG97CB,協和一段,12.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00670000
RPPNMLQKNHIGFAG97CB,協和一段,4.56,非都市：特定農業區 ; 非都市編定：農牧用地,1318316,15508,持分移轉,00420000
RPPNMLQKNHIGFAG97CB,協和一段,.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,00480000
RPPNMLQKNHIGFAG97CB,協和一段,.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,00490000
RPPNMLRKNHIGFBG18CB,壯志段,61.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10930006
RPPNMLRKNHIGFBG18CB,壯志段,22.15,非都市：特定農業區 ; 非都市編定：甲種建築用地,179,61,持分移轉,10930021
RPPNMLRKNHIGFBG18CB,壯志段,68.67,非都市：特定農業區 ; 非都市編定：農牧用地,128100,6867,持分移轉,10940002
RPPNMLSKNHIGFAG18CB,永愛段,25.47,都市：商,100000,2399,持分移轉,05330000
RPWPMLQKNHIGFBG98CB,振興段,4.00,都市：農,21,1,持分移轉,04190002
RPWPMLQKNHIGFBG98CB,振興段,22.71,都市：農,21,1,持分移轉,04390002
RPVNMLRKNHIGFAG68CB,東榮二段,51.62,都市：其他:第二種產業專用區,100000,2867,持分移轉,00820000
RPWPMLQKNHIGFBG98CB,振興段,77.00,都市：農,1,1,全筆移轉,04400007
RPWPMLQKNHIGFBG98CB,振興段,14.00,都市：農,1,1,全筆移轉,04400014
RPWPMLQKNHIGFBG98CB,振興段,2.43,都市：農,21,1,持分移轉,04400032
RPTNMLSKNHIGFAG58CB,中里段,54.98,都市：農,10000,517,持分移轉,05560000
RPSNMLRKNHIGFAG38CB,東榮二段,42.62,都市：其他:第二種產業專用區,100000,2367,持分移轉,00820000
RPVOMLRKNHIGFAG78CB,補城一段,45.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,101283,6912,持分移轉,01610000
RPVOMLRKNHIGFAG78CB,補城一段,23.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,101283,6912,持分移轉,01620000
RPPNMLLLNHIGFAG57CB,鹿得二段,85.05,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04950012
RPQNMLSKNHIGFAG38DB,利成段,61.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04810006
RPQNMLSKNHIGFAG38DB,利成段,27.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,330656,6191,持分移轉,04790000
RPQNMLSKNHIGFAG38DB,利成段,1.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,50000,117,持分移轉,05110000
RPSNMLMLNHIGFAG97CB,北成一段,31.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,327,持分移轉,01830000
RPTNMLMLNHIGFAG08CB,北成一段,33.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,353,持分移轉,01830000
RPVNMLMLNHIGFAG28CB,北成一段,31.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,325,持分移轉,01830000
RPRNMLMLNHIGFAG87CB,北成一段,26.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,276,持分移轉,01830000
RPUNMLMLNHIGFAG18CB,北成一段,28.84,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,300,持分移轉,01830000
RPXNMLMLNHIGFAG48CB,北成一段,31.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,325,持分移轉,01830000
RPPOMLMLNHIGFAG77CB,北成一段,31.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,332,持分移轉,01830000
RPWNMLMLNHIGFAG38CB,北成一段,28.84,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,300,持分移轉,01830000
RPSOMLMLNHIGFAG08CB,北成一段,33.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,349,持分移轉,01830000
RPTOMLMLNHIGFAG18CB,北成一段,31.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,325,持分移轉,01830000
RPROMLMLNHIGFAG97CB,北成一段,28.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,298,持分移轉,01830000
RPQOMLMLNHIGFAG87CB,北成一段,33.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,353,持分移轉,01830000
RPXOMLMLNHIGFAG58CB,北成一段,34.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,354,持分移轉,01830000
RPWOMLMLNHIGFAG48CB,北成一段,33.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,353,持分移轉,01830000
RPVOMLMLNHIGFAG38CB,北成一段,33.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,353,持分移轉,01830000
RPOPMLMLNHIGFAG77CB,北成一段,33.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,353,持分移轉,01830000
RPPPMLMLNHIGFAG87CB,珍珠二段,22.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,1755,122,持分移轉,05920000
RPPPMLMLNHIGFAG87CB,珍珠二段,18.62,,1755,122,持分移轉,05930000
RPQPMLMLNHIGFAG97CB,珍珠二段,14.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,1755,78,持分移轉,05920000
RPQPMLMLNHIGFAG97CB,珍珠二段,11.91,,1755,78,持分移轉,05930000
RPUPMLMLNHIGFAG38CB,中里段,45.09,都市：農,10000,424,持分移轉,05560000
RPQNMLMLNHIGFBG87CB,嵐峰段,86.81,都市：住,100000,2284,持分移轉,00170000
RPVPMLMLNHIGFAG48CB,水源段,60.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,109402,6046,持分移轉,08280001
RPPNMLMLNHIGFBG77CB,白雲段,3.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00880013
RPPNMLMLNHIGFBG77CB,白雲段,13.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00880025
RPPNMLMLNHIGFBG77CB,白雲段,76.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00880027
RPPNMLNLNHIGFAG77CB,鹿安二段,36.84,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,7083,持分移轉,11110000
RPPNMLNLNHIGFAG77CB,鹿安二段,12.44,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,11100001
RPPNMLNLNHIGFAG77CB,鹿安二段,93.38,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,11120000
RPPNMLMLNHIGFAG77DB,興平段,38.13,都市：住,10000,357,持分移轉,07280000
RPVNMLOLNHIGFAG48CB,中華段,25.46,都市：住,100000,1608,持分移轉,02090000
RPVNMLOLNHIGFAG48CB,中華段,.05,都市：住,100000,1608,持分移轉,02090001
RPQNMLNLNHIGFAG87CB,永愛段,25.19,都市：商,10000,1071,持分移轉,05610000
RPROMLNLNHIGFAG08CB,義成八段,42.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,83526,4200,持分移轉,13200000
RPPNMLOLNHIGFAG97DB,興平段,24.14,都市：住,10000,226,持分移轉,07280000
RPTOMLTLNHIGFBG98CB,雙福段,20.46,都市：住,10000,128,持分移轉,06410000
RPTOMLTLNHIGFBG98CB,雙福段,15.38,都市：住,10000,128,持分移轉,06420000
RPTOMLTLNHIGFBG98CB,雙福段,.15,都市：其他:道路用地,10000,128,持分移轉,06430000
RPVOMLTLNHIGFBG56CB,雙福段,20.14,都市：住,10000,126,持分移轉,06410000
RPVOMLTLNHIGFBG56CB,雙福段,15.14,都市：住,10000,126,持分移轉,06420000
RPVOMLTLNHIGFBG56CB,雙福段,.15,都市：其他:道路用地,10000,126,持分移轉,06430000
RPPNMLTLNHIGFBG58DB,新興一段,8.19,都市：住,100000,4270,持分移轉,10040000
RPPNMLTLNHIGFBG58DB,新興一段,23.90,都市：住,100000,4270,持分移轉,02890000
RPPNMLTLNHIGFBG58DB,新興一段,5.37,都市：住,100000,2918,持分移轉,02890005
RPQNMLTLNHIGFBG68DB,新興一段,8.19,都市：住,100000,4270,持分移轉,10040000
RPQNMLTLNHIGFBG68DB,新興一段,23.90,都市：住,100000,4270,持分移轉,02890000
RPQNMLTLNHIGFBG68DB,新興一段,5.37,都市：住,100000,2918,持分移轉,02890005
RPQNMLKMNHIGFBG87DB,過港段,11.79,都市：住,100000,1760,持分移轉,08400000
RPQNMLKMNHIGFBG87DB,過港段,.01,都市：住,100000,1760,持分移轉,08560000
RPQNMLKMNHIGFBG87DB,過港段,2.52,都市：住,100000,1760,持分移轉,08690000
RPQNMLKMNHIGFBG87DB,過港段,1.04,都市：住,100000,1760,持分移轉,08570000
RPQNMLKMNHIGFBG87DB,過港段,3.11,都市：住,100000,1760,持分移轉,08580000
RPQNMLKMNHIGFBG87DB,過港段,.05,都市：住,100000,1760,持分移轉,08590000
RPQNMLKMNHIGFBG87DB,過港段,.46,都市：住,100000,1760,持分移轉,08620000
RPPNMLKMNHIGFBG67CB,雙福段,20.46,都市：住,10000,128,持分移轉,06410000
RPPNMLKMNHIGFBG67CB,雙福段,15.38,都市：住,10000,128,持分移轉,06420000
RPPNMLKMNHIGFBG67CB,雙福段,.15,都市：其他:道路用地,10000,128,持分移轉,06430000
RPQNMLKMNHIGFBG77CB,忠義段,26.33,都市：住,1000000,15469,持分移轉,00350000
RPRNMLKMNHIGFBG87CB,忠義段,34.62,都市：住,1000000,20340,持分移轉,00350000
RPSNMLKMNHIGFBG97CB,忠義段,34.62,都市：住,1000000,20340,持分移轉,00350000
RPPNMLKMNHIGFAG57CB,大吉三段,91.96,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08950049
RPPNMLKMNHIGFAG57CB,大吉三段,20.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08950048
RPQNMLQLNHIGFAG18CB,大眾一段,33.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1623,持分移轉,03480000
RPQNMLQLNHIGFAG18CB,大眾一段,1.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,386,持分移轉,03490000
RPPNMLTLNHIGFAG38CB,鹿得二段,80.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05020021
RPWNMLTLNHIGFAG09CB,協和一段,62.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00720000
RPWNMLTLNHIGFAG09CB,協和一段,13.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00730000
