鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
頭城鎮,建物,宜蘭縣頭城鎮過港路８９號２樓之２２,0.0,住,,,1120428,土地0建物1車位0,二層,10,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1080213,83.11,1,1,1,有,有,有,14000,168,,0.0,0,,RPPNMLLKNHIGFBG67CC
宜蘭市,建物,宜蘭縣宜蘭市進士路二段５０６巷８號５樓,0.0,住,,,1120504,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,103.39,3,1,2,有,無,有,13000,126,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPPNMLMKNHIGFBG77CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路３６０號,104.0,住,,,1120322,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0831129,216.9,5,1,3,有,無,有,22000,101,,0.0,0,,RPPNMLMKNHIGFAG67CC
頭城鎮,建物,宜蘭縣頭城鎮青雲路二段６２９巷１７號八樓,0.0,,鄉村區,乙種建築用地,1120424,土地0建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860917,128.39,2,1,3,有,有,有,15000,117,坡道平面,0.0,0,,RPPNMLPKNHIGFBG08CC
礁溪鄉,建物,宜蘭縣礁溪鄉和平路１１２號十樓之四,0.0,住,,,1120424,土地0建物1車位0,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840316,58.49,1,2,1,有,有,有,12000,205,,0.0,0,,RPQNMLPKNHIGFBG18CC
宜蘭市,建物,宜蘭縣宜蘭市大坡路一段１１６巷５弄７號３樓,0.0,住,,,1120511,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840415,99.65,3,2,2,有,無,有,13000,130,,0.0,0,,RPQNMLQKNHIGFBG28CC
員山鄉,建物,宜蘭縣員山鄉員山路一段１４３巷５號５樓,0.0,住,,,1120512,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860115,121.31,3,1,1,有,無,有,12000,99,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPRNMLQKNHIGFBG38CC
宜蘭市,建物,宜蘭縣宜蘭市軍民路５巷５８號４樓,0.0,住,,,1120508,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690908,91.26,3,2,2,有,無,有,10000,110,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPSNMLQKNHIGFBG48CC
宜蘭市,建物,宜蘭縣宜蘭市大坡路一段３２號７樓之１,0.0,商,,,1120511,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0830820,67.95,2,1,1,有,有,有,11000,162,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPTNMLQKNHIGFBG58CC
羅東鎮,建物,宜蘭縣羅東鎮興東路２６３號６樓之１,0.0,商,,,1120510,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821009,76.47,2,1,1,有,有,有,12000,157,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPQNMLQKNHIGFAG18CC
羅東鎮,建物,宜蘭縣羅東鎮倉前路８３號８樓之１０,0.0,商,,,1120512,土地0建物1車位0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860825,50.42,1,0,1,有,有,有,9200,182,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPRNMLQKNHIGFAG28CC
羅東鎮,建物,宜蘭縣羅東鎮公正路５５７號８樓之３,0.0,住,,,1120515,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840925,148.23000000000002,3,2,2,有,有,有,13500,91,坡道平面,0.0,0,水電費、瓦斯費、網路費及每月管理費1450元皆由承租人負擔。,RPPNMLRKNHIGFAG18CC
宜蘭市,建物,宜蘭縣宜蘭市農權路三段１６３巷１弄５７號五樓,0.0,住,,,1120421,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830803,101.15,3,2,2,有,有,有,15000,148,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPPNMLRKNHIGFBG28CC
