編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKNHIGFAG67CC,東安段,46.00,都市：住,,,,04640004
RPPNMLMKNHIGFAG67CC,東安段,41.00,都市：住,,,,04650016
RPPNMLMKNHIGFAG67CC,東安段,17.00,都市：住,,,,04660015
RPQNMLQKNHIGFAG18CC,中華段,.00,都市：商,,,,04600000
RPRNMLQKNHIGFAG28CC,中華段,.00,都市：商,,,,12220000
RPPNMLRKNHIGFAG18CC,國華段,.00,都市：住,,,,05160000
RPPNMLPKNHIGFBG08CC,新金面段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10780000
RPSNMLQKNHIGFBG48CC,金六結二段,.00,都市：住,,,,03310000
RPPNMLLKNHIGFBG67CC,烏石港段,.00,都市：住,,,,06080000
RPQNMLPKNHIGFBG18CC,協天段,.00,都市：住,,,,04650000
RPPNMLMKNHIGFBG77CC,擺厘段,.00,都市：住,,,,15560000
RPQNMLRKNHIGFBG38CC,和睦段,.00,都市：住,,,,14250000
RPQNMLQKNHIGFBG28CC,新生段,.00,都市：住,,,,00620000
RPRNMLQKNHIGFBG38CC,金泰段,.00,都市：住,,,,01880000
RPPNMLRKNHIGFBG28CC,金七結段,.00,都市：住,,,,06090000
RPTNMLQKNHIGFBG58CC,新生段,.00,都市：商,,,,02420000
RPQNMLTKNHIGFAG48CC,蘇市段,.00,都市：商,,,,07370000
RPSNMLTKNHIGFAG68CC,猴猴段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00700000
RPRNMLRKNHIGFBG48CC,和睦段,.00,都市：住,,,,14250000
RPTNMLTKNHIGFAG78CC,興東段,.00,都市：住,,,,15790003
RPUNMLTKNHIGFAG88CC,羅莊段,.00,都市：住,,,,00260000
RPQNMLTKNHIGFBG58CC,協天段,.00,都市：住,,,,05350000
RPPNMLSKNHIGFAG28CC,和平段,.00,都市：住,,,,03680001
RPRNMLTKNHIGFAG58CC,新群一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02220000
RPPNMLTKNHIGFBG48CC,慈安段,.00,都市：住,,,,08690000
RPPNMLNLNHIGFBG97CC,校舍段,.00,都市：其他:生物醫學產業特定專用區(二),,,,00410000
RPRNMLOLNHIGFBG28CC,深福段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00100000
RPSNMLOLNHIGFAG28CC,蘇港段,.00,都市：商,,,,05650000
RPPNMLPLNHIGFAG08CC,十六份新段,140.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02610000
