編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRKNHIGFAG18CC,坡道平面,0,,地下二樓
RPPNMLPKNHIGFBG08CC,坡道平面,0,,地下一樓
RPUNMLTKNHIGFAG88CC,坡道平面,0,,地下一樓
RPPNMLPLNHIGFBG18CC,坡道平面,0,24.80,地下一樓
RPPNMLTLNHIGFAG48CC,一樓平面,0,13.75,一樓
RPPNMLLMNHIGFBG87CC,一樓平面,0,,一樓
RPUNMLLJOHIGFAG08CC,一樓平面,0,,一樓
RPRNMLPJOHIGFBG28CC,一樓平面,0,,一樓
RPTNMLLLOHIGFAG18CC,坡道平面,0,,地下一樓
RPRNMLQLOHIGFBG58CC,坡道平面,0,,地下一樓
RPPNMLSLOHIGFAG48CC,升降機械,0,,地下一樓
RPRNMLRLOHIGFAG58CC,一樓平面,0,,一樓
RPQNMLTLOHIGFBG78CC,坡道平面,0,,地下一樓
RPQNMLSLOHIGFAG58CC,一樓平面,0,,一樓
RPRNMLSLOHIGFAG68CC,坡道平面,0,,地下一樓
RPPNMLKKPHIGFAG67CC,一樓平面,0,13.75,一樓
RPPNMLTKPHIGFBG68CC,坡道平面,0,,地下一樓
RPPNMLOLPHIGFBG28CC,坡道平面,0,,地下二樓
RPPNMLPLPHIGFAG28CC,一樓平面,0,,一樓
RPQNMLPLPHIGFAG38CC,坡道平面,0,,地下一樓
RPQNMLQLPHIGFAG48CC,坡道平面,0,35.67,地下二樓
RPTNMLRLPHIGFAG88CC,一樓平面,0,13.75,一樓
RPQNMLSLPHIGFBG78CC,坡道平面,0,,地下一樓
RPWNMLSLPHIGFBG76CC,一樓平面,0,,一樓
RPPNMLKKQHIGFAG77CC,坡道平面,0,,地下一樓
