鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,房地(土地+建物),桃園市中壢區環北路３５２號十六樓之７,6.23,住,,,1120801,土地1建物1車位0,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,82.58,2,2,1,有,有,9550000,115645,,0.0,0,,RPSWMLRKPHIGFBH07DA,51.46,0.0,11.59,有,
大園區,土地,福海段238地號,100.0,住,,,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4908257,49083,,0.0,0,,RPUOMLNJQHIGFEH98DA,0.0,0.0,0.0,無,00001
龜山區,土地,公華段900地號,11.02,都市：其他:道路用地,,,1120803,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1022142,92753,,0.0,0,包含公共設施保留地用地；,RPRNMLNJQHIGFHH88DA,0.0,0.0,0.0,無,00002
龜山區,房地(土地+建物),桃園市龜山區大同路２３６巷４６號六樓之６,6.33,住,,,1120801,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941224,28.9,1,1,1,有,有,2000000,69204,,0.0,0,,RPPOMLLJQHIGFHH58DA,14.74,0.73,1.6,有,
大園區,土地,福海段1354地號,100.0,住,,,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6672286,66723,,0.0,0,,RPQOMLNJQHIGFEH58DA,0.0,0.0,0.0,無,00003
龜山區,土地,塔寮坑段276地號,1016.05,,山坡地保育區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2336926,2300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJQHIGFHH76EA,0.0,0.0,0.0,無,00004
中壢區,房地(土地+建物)+車位,桃園市中壢區華美三路３６１號,18.63,住,,,1120803,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1060509,129.15,0,0,0,無,有,10700000,82849,坡道平面,0.0,0,,RPPPMLSJQHIGFBH78DA,59.76,0.0,4.64,有,00005
桃園區,車位,桃園市桃園區國聖二街１１９號一樓等戶,5.32,住,,,1120801,土地1建物1車位1,,,其他,,,,25.62,0,0,0,無,有,700000,,坡道機械,0.0,700000,僅車位交易；,RPWNMLSJQHIGFAH66EA,0.0,0.0,0.0,有,00006
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路８２號六樓,16.53,住,,,1120801,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,129.51,3,2,1,有,有,13500000,104239,坡道平面,26.57,0,,RPQOMLMJQHIGFAH08DA,64.52,0.0,5.84,有,00007
