編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLNJQHIGFEH98DA,福海段,100.00,都市：其他:第三種住宅區。,2,1,持分移轉,02380000
RPQNMLTJQHIGFAH78EA,鹽埕段,61.95,都市：其他:工業區,3,1,持分移轉,02410000
RPRNMLNJQHIGFHH88DA,公華段,3.38,都市：其他:道路用地,16800,375,持分移轉,08970000
RPRNMLNJQHIGFHH88DA,公華段,.26,都市：其他:道路用地,15589,375,持分移轉,08980000
RPRNMLNJQHIGFHH88DA,公華段,7.38,都市：其他:道路用地,15589,375,持分移轉,09000000
RPQOMLNJQHIGFEH58DA,福海段,100.00,都市：其他:第三種住宅區。,2,1,持分移轉,13540000
RPPNMLTJQHIGFHH76EA,塔寮坑段,1016.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,02760000
RPSWMLRKPHIGFBH07DA,新街段,6.23,都市：其他:住宅區,100000,78,持分移轉,08620000
RPWNMLSJQHIGFAH66EA,國聖段,5.32,都市：其他:第二種住宅區,10000,6,持分移轉,08510000
RPPPMLSJQHIGFBH78DA,仁祥段,18.63,都市：其他:住宅區,10000,32,持分移轉,10200000
RPPOMLLJQHIGFHH58DA,大同段,6.33,都市：其他:第一種住宅區,100000,191,持分移轉,08540000
RPQOMLMJQHIGFAH08DA,中路二段,16.53,都市：其他:住宅區,100000,325,持分移轉,02680000
RPPNMLTJQHIGFAH68EA,鹽埕段,3.02,都市：其他:道路用地,24,1,持分移轉,02410001
RPPNMLTJQHIGFAH68EA,鹽埕段,15.39,都市：其他:工業區,12,1,持分移轉,02420000
RPXNMLNJQHIGFCH98DA,佳安段,548.87,都市：其他:農業區,5,3,持分移轉,05090000
RPUNMLTJQHIGFHH17DA,楓壽段,81.88,都市：其他:保護區,100000,4337,持分移轉,08270000
UPPNMLRKQHIGFGH86EA,六和段,19.41,都市：其他:農業區,249480,3379,持分移轉,07300000
RPPNMLRKQHIGFGH56EA,六和段,2.43,都市：其他:農業區,1995840,3379,持分移轉,07300000
