鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
平鎮區,房地(土地+建物)+車位,桃園市平鎮區南豐路74號旁,28.52,住,,,1120511,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,164.15,3,2,2,有,無,13680000,90670,坡道平面,30.92,1600000,,RPPNMLLKNHIGFGH18CB,心擎天,A棟1-8F號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區南豐路74號旁,34.97,住,,,1120511,土地1建物1車位1,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,194.4,3,2,2,有,無,15700000,86861,坡道平面,30.92,1500000,,RPPNMLMKNHIGFGH28CB,心擎天,B棟1-5F號,
觀音區,房地(土地+建物),桃園市觀音區觀音區學文路上,26.07,住,,,1120511,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,67.36,2,2,1,有,無,5450000,80909,,0.0,0,,RPQNMLMKNHIGFBH87CB,青淞學2,A1-4F號,
觀音區,房地(土地+建物),桃園市觀音區觀音區學文路上,26.07,住,,,1120512,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,67.36,2,2,1,有,無,5450000,80909,,0.0,0,,RPQNMLNKNHIGFBH97CB,青淞學2,A1-3F號,
楊梅區,房地(土地+建物),桃園市楊梅區泰圳路117巷旁,172.92,,鄉村區,乙種建築用地,1120513,土地5建物2車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.78,4,2,4,有,無,14800000,79238,,0.0,0,,RPPNMLNKNHIGFDH08CB,雅典大地,C棟3號,
龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街及樂學路交叉口,18.87,住,,,1120512,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.52,3,2,2,有,無,14850000,107254,坡道平面,28.11,2150000,,RPPNMLNKNHIGFHH48CB,合展家禾,A棟5-13F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街及樂學路交叉口,20.64,住,,,1120512,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.83,3,2,2,有,無,16300000,106383,坡道平面,28.11,2500000,,RPQNMLNKNHIGFHH58CB,合展家禾,B棟3-12F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街及樂學路交叉口,14.13,住,,,1120512,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.75,2,2,2,有,無,11650000,107739,坡道平面,28.11,2100000,,RPRNMLNKNHIGFHH68CB,合展家禾,C棟1-6F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街及樂學路交叉口,14.38,住,,,1120512,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.51,2,2,2,有,無,11880000,107080,坡道平面,28.11,2200000,,RPVNMLNKNHIGFHH09CB,合展家禾,C棟6-3F號,
大園區,房地(土地+建物)+車位,桃園市大園區客運二段154.155地號,26.39,住,,,1120514,土地2建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.93,2,2,2,有,無,8250000,72791,坡道平面,35.26,1650000,,RPPNMLOKNHIGFEH28CB,鈞貴極美II,A棟6-4F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路76號旁,27.18,住,,,1120511,土地7建物1車位2,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,212.32,3,2,2,有,無,25850000,153229,坡道平面,66.46,3500000,,RPQNMLOKNHIGFBH18DB,璞園畾畾青,B棟5-9F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路76號旁,27.72,住,,,1120513,土地7建物1車位1,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.04,3,2,2,有,無,25480000,157399,坡道平面,33.23,1900000,,RPRNMLOKNHIGFBH28DB,璞園畾畾青,B棟6-10F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路76號旁,27.72,住,,,1120513,土地7建物1車位1,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.04,3,2,2,有,無,25240000,155797,坡道平面,33.23,1900000,,RPSNMLOKNHIGFBH38DB,璞園畾畾青,B棟6-9F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路76號旁,34.25,住,,,1120513,土地7建物1車位2,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,251.4,4,2,2,有,無,31770000,152860,坡道平面,66.46,3500000,,RPTNMLOKNHIGFBH48DB,璞園畾畾青,B棟1-5F號,
觀音區,房地(土地+建物),桃園市觀音區莊敬三街莊敬路口,26.98,住,,,1120512,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.98,2,2,1,有,無,5050000,73210,,0.0,0,,RPQNMLPKNHIGFBH28DB,大和ONE-B區,H棟2F號,
觀音區,房地(土地+建物),桃園市觀音區莊敬三街莊敬路口,23.36,住,,,1120513,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.78,1,1,1,有,無,5030000,74211,,0.0,0,,RPRNMLPKNHIGFBH38DB,大和ONE-A區,D棟4F號,
平鎮區,房地(土地+建物),桃園市平鎮區南華街501號,131.27,住,,,1120513,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,244.02,4,2,4,有,無,23700000,97123,,0.0,0,,RPPNMLPKNHIGFGH58CB,秧玥.行館,A棟13號,
蘆竹區,房地(土地+建物),桃園市蘆竹區南山路三段125號附近,9.82,商,,,1120513,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.19,2,2,2,有,無,8160000,105713,,0.0,0,,RPUNMLPKNHIGFEH88CB,新潤麗蒔,B棟B5-07F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區內定十六街288巷31號對面,103.75,農,,,1120514,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,297.76,5,2,6,有,無,21850000,73381,一樓平面,0.0,0,,RPTNMLPKNHIGFBH48CB,映禾大墅,A棟2號,
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路樂善三路交叉路口,13.87,商,,,1120513,土地1建物1車位1,十一層,31,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.66,3,2,2,有,無,16630000,104337,坡道平面,31.4,2100000,雨遮面積登記不計價,RPOPMLPKNHIGFHH78CB,允將大作,A棟11號,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路A09-11F,5.0,商,,,1120512,土地1建物1車位1,十一層,22,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,87.71,1,1,1,有,無,7920000,112047,坡道平面,33.09,1800000,,RPOTNLPKNHIGFHH66CB,大亮波波,A棟09號,
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街與青溪二路交叉口三民段177地號,21.96,住,,,1120512,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.08,3,2,2,有,無,17700000,114969,坡道平面,24.87,2270000,,RPUNMLPKNHIGFAH48CB,昭揚大河院,V3-2F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街與青溪二路交叉口三民段177地號,27.51,住,,,1120515,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.7,4,2,2,有,無,24380000,118400,坡道平面,47.71,4490000,,RPOOMLPKNHIGFAH97CB,昭揚大河院,T6-7F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街與青溪二路交叉口三民段177地號,27.51,住,,,1120512,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.86,4,2,2,有,無,22380000,119710,坡道平面,24.87,2270000,,RPSOMLPKNHIGFAH38CB,昭揚大河院,R3-13F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街與青溪二路交叉口三民段177地號,27.51,住,,,1120511,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.86,4,2,2,有,無,22200000,119829,坡道平面,24.87,2070000,,RPVOMLPKNHIGFAH68CB,昭揚大河院,T5-14F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街與青溪二路交叉口三民段177地號,21.96,住,,,1120513,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.08,3,2,2,有,無,18200000,118844,坡道平面,24.87,2250000,,RPOPMLPKNHIGFAH08CB,昭揚大河院,V2-6F號,
新屋區,房地(土地+建物)+車位,桃園市新屋區民族路六段341號旁，高洲五街,26.16,住,,,1120516,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,165.0,3,2,2,有,無,12880000,85757,坡道平面,32.3,1500000,,RPSNMLQKNHIGFDH68CB,宜誠樂聚,C6棟12號,
楊梅區,房地(土地+建物),桃園市楊梅區員富段310地號,13.27,住,,,1120512,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,69.67,2,1,1,有,無,4860000,69757,,0.0,0,,RPSOMLQKNHIGFDH78CB,弘峻公園賦,A2棟07F號,
