編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKNHIGFBH97CB,大觀段,26.07,都市：住,100000,6417,持分移轉,01100000
RPQNMLMKNHIGFBH87CB,大觀段,26.07,都市：住,100000,6417,持分移轉,01100000
RPPNMLNKNHIGFDH08CB,長岡嶺段,3.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,260,1,持分移轉,02320000
RPPNMLNKNHIGFDH08CB,長岡嶺段,4.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,260,1,持分移轉,02350000
RPPNMLNKNHIGFDH08CB,長岡嶺段,82.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,214,持分移轉,01770000
RPPNMLNKNHIGFDH08CB,長岡嶺段,17.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,214,持分移轉,01780000
RPPNMLNKNHIGFDH08CB,長岡嶺段,65.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,214,持分移轉,01790000
RPQNMLNKNHIGFHH58CB,樂捷段,20.64,都市：住,100000,409,持分移轉,01220000
RPVNMLNKNHIGFHH09CB,樂捷段,14.38,都市：住,100000,285,持分移轉,01220000
RPPNMLNKNHIGFHH48CB,樂捷段,18.87,都市：住,100000,374,持分移轉,01220000
RPRNMLNKNHIGFHH68CB,樂捷段,14.13,都市：住,100000,280,持分移轉,01220000
RPPNMLOKNHIGFEH28CB,客運二段,9.32,都市：住,100000,1078,持分移轉,01540000
RPPNMLOKNHIGFEH28CB,客運二段,17.06,都市：住,100000,1078,持分移轉,01550000
RPPNMLMKNHIGFGH28CB,湧豐段,34.97,都市：住,100000,949,持分移轉,06280000
RPPNMLLKNHIGFGH18CB,湧豐段,28.52,都市：住,100000,774,持分移轉,06280000
RPTNMLOKNHIGFBH48DB,青溪段,4.74,都市：住,10000,63,持分移轉,05780000
RPTNMLOKNHIGFBH48DB,青溪段,3.68,都市：住,10000,63,持分移轉,05790000
RPTNMLOKNHIGFBH48DB,青溪段,2.38,都市：住,10000,63,持分移轉,05790001
RPTNMLOKNHIGFBH48DB,青溪段,4.51,都市：住,10000,63,持分移轉,05790002
RPTNMLOKNHIGFBH48DB,青溪段,8.08,都市：住,10000,63,持分移轉,05790003
RPTNMLOKNHIGFBH48DB,青溪段,2.47,都市：住,10000,63,持分移轉,05790004
RPTNMLOKNHIGFBH48DB,青溪段,8.38,都市：住,10000,63,持分移轉,05800000
RPRNMLOKNHIGFBH28DB,青溪段,3.84,都市：住,10000,51,持分移轉,05780000
RPUNMLPKNHIGFEH88CB,新鼻段,9.82,都市：商,10000,33,持分移轉,02300000
RPRNMLOKNHIGFBH28DB,青溪段,2.98,都市：住,10000,51,持分移轉,05790000
RPRNMLOKNHIGFBH28DB,青溪段,1.93,都市：住,10000,51,持分移轉,05790001
RPRNMLOKNHIGFBH28DB,青溪段,3.65,都市：住,10000,51,持分移轉,05790002
RPRNMLOKNHIGFBH28DB,青溪段,6.54,都市：住,10000,51,持分移轉,05790003
RPRNMLOKNHIGFBH28DB,青溪段,2.00,都市：住,10000,51,持分移轉,05790004
RPRNMLPKNHIGFBH38DB,草福段,23.36,都市：住,100000,2337,持分移轉,03950000
RPRNMLOKNHIGFBH28DB,青溪段,6.78,都市：住,10000,51,持分移轉,05800000
RPQNMLPKNHIGFBH28DB,草福段,26.98,都市：住,100000,4810,持分移轉,03950001
RPQNMLOKNHIGFBH18DB,青溪段,3.76,都市：住,10000,50,持分移轉,05780000
RPQNMLOKNHIGFBH18DB,青溪段,2.92,都市：住,10000,50,持分移轉,05790000
RPQNMLOKNHIGFBH18DB,青溪段,1.89,都市：住,10000,50,持分移轉,05790001
RPQNMLOKNHIGFBH18DB,青溪段,3.58,都市：住,10000,50,持分移轉,05790002
RPQNMLOKNHIGFBH18DB,青溪段,6.41,都市：住,10000,50,持分移轉,05790003
RPQNMLOKNHIGFBH18DB,青溪段,1.96,都市：住,10000,50,持分移轉,05790004
RPQNMLOKNHIGFBH18DB,青溪段,6.65,都市：住,10000,50,持分移轉,05800000
RPSNMLOKNHIGFBH38DB,青溪段,3.84,都市：住,10000,51,持分移轉,05780000
RPSNMLOKNHIGFBH38DB,青溪段,2.98,都市：住,10000,51,持分移轉,05790000
RPSNMLOKNHIGFBH38DB,青溪段,1.93,都市：住,10000,51,持分移轉,05790001
RPSNMLOKNHIGFBH38DB,青溪段,3.65,都市：住,10000,51,持分移轉,05790002
RPSNMLOKNHIGFBH38DB,青溪段,6.54,都市：住,10000,51,持分移轉,05790003
RPSNMLOKNHIGFBH38DB,青溪段,2.00,都市：住,10000,51,持分移轉,05790004
RPSNMLOKNHIGFBH38DB,青溪段,6.78,都市：住,10000,51,持分移轉,05800000
RPPNMLPKNHIGFGH58CB,南華段,107.66,都市：住,1,1,全筆移轉,03840014
RPPNMLPKNHIGFGH58CB,南華段,23.61,都市：住,100000,2321,持分移轉,03840000
RPTNMLPKNHIGFBH48CB,內壢段,86.00,都市：農,1,1,全筆移轉,14760003
RPTNMLPKNHIGFBH48CB,內壢段,17.75,都市：農,20,1,持分移轉,14760023
RPOPMLPKNHIGFHH78CB,善捷段,13.87,都市：商,100000,270,持分移轉,00120000
RPVOMLPKNHIGFAH68CB,三民段,27.51,都市：住,100000,352,持分移轉,01770000
RPOPMLPKNHIGFAH08CB,三民段,21.96,都市：住,100000,281,持分移轉,01770000
RPSOMLPKNHIGFAH38CB,三民段,27.51,都市：住,100000,352,持分移轉,01770000
RPUNMLPKNHIGFAH48CB,三民段,21.96,都市：住,100000,281,持分移轉,01770000
RPSNMLQKNHIGFDH68CB,高洲段,26.16,都市：住,100000,407,持分移轉,12140000
RPSOMLQKNHIGFDH78CB,員富段,13.27,都市：住,100000,305,持分移轉,03100000
RPTOMLQKNHIGFDH88CB,員富段,13.27,都市：住,100000,305,持分移轉,03100000
RPOOMLPKNHIGFAH97CB,三民段,27.51,都市：住,100000,352,持分移轉,01770000
RPOTNLPKNHIGFHH66CB,善捷段,5.00,都市：商,1000000,2598,持分移轉,01600000
RPXOMLQKNHIGFHH07CB,善捷段,13.20,都市：商,100000,216,持分移轉,00620000
RPTNMLQKNHIGFGH09CB,南華段,104.28,都市：住,1,1,全筆移轉,03840017
RPTNMLQKNHIGFGH09CB,南華段,21.24,都市：住,100000,2088,持分移轉,03840000
RPVNMLQKNHIGFDH09DB,民豐段,21.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,156,持分移轉,06320000
RPWNMLQKNHIGFDH56DB,民豐段,18.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,131,持分移轉,06320000
RPTNMLQKNHIGFDH88DB,民豐段,18.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,135,持分移轉,06320000
RPSNMLQKNHIGFHH56DB,興華段,25.20,都市：住,10000,866,持分移轉,01310000
RPSNMLQKNHIGFEH78CB,大新段,23.00,都市：住,10000,120,持分移轉,00340000
RPTNMLQKNHIGFHH66DB,興華段,25.20,都市：住,10000,866,持分移轉,01310000
RPUNMLQKNHIGFHH76DB,興華段,22.99,都市：住,10000,790,持分移轉,01310000
RPSNMLRKNHIGFCH78DB,成功段,23.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,944,持分移轉,01980000
RPXNMLRKNHIGFCH66DB,成功段,23.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,944,持分移轉,01980000
RPSNMLRKNHIGFEH88CB,大興段,13.72,都市：住,100000,1621,持分移轉,01220000
RPSNMLRKNHIGFEH88CB,大興段,1.48,都市：住,100000,1621,持分移轉,01230000
RPSNMLRKNHIGFEH88CB,大興段,13.87,都市：住,100000,1621,持分移轉,01360000
