鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,房地(土地+建物)+車位,桃園市中壢區文德路１００號,121.98,住,,,1120414,土地1建物1車位1,一層,12,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1000601,121.98,0,0,0,無,無,有,60000,492,坡道平面,0.0,0,,RPPNMLLKNHIGFBH77CC
中壢區,房地(土地+建物)+車位,桃園市中壢區長興街２７之１號八樓,17.95,住,,,1120505,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1011128,128.61,2,1,1,有,有,有,18700,172,坡道平面,31.38,2000,水電費、瓦斯費及每月管理費1800元皆由承租人負擔。,RPQNMLLKNHIGFBH87CC
中壢區,建物,桃園市中壢區忠孝路２４６巷２９弄４９號二樓,0.0,住,,,1120508,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780123,96.62,3,2,2,有,無,有,17000,176,,0.0,0,社會住宅 水電費 瓦斯費由承租人負擔,RPRNMLLKNHIGFBH97CC
觀音區,建物,桃園市觀音區石牌路６６９號十一樓,0.0,,特定農業區,甲種建築用地,1120505,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100810,164.23000000000002,3,1,2,有,有,有,13000,79,,0.0,0,社會住宅 水電費 瓦斯費 管理費 由承租人負擔管理費1000車位房東自行使用 不出租,RPSNMLLKNHIGFBH08CC
中壢區,建物,桃園市中壢區慈惠三街３３號十樓之９,0.0,商,,,1120427,土地0建物1車位0,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901026,39.22,1,1,1,有,有,有,11500,293,,0.0,0,社會住宅 管理費另計500元租客自行繳納,RPTNMLLKNHIGFBH18CC
中壢區,建物,桃園市中壢區仁福五街１２號二樓,0.0,住,,,1120503,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821122,115.78999999999999,3,2,2,有,有,有,6000,52,,0.0,0,社會住宅 水電費 瓦斯費 由承租人負擔,RPUNMLLKNHIGFBH28CC
中壢區,房地(土地+建物),桃園市中壢區永福路９６９號４樓之１,15.63,住,,,1120330,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830526,105.2,3,2,2,有,無,有,15000,143,,0.0,0,申報書序號:C1HB11204060010 土地使用分區誤載,RPVNMLLKNHIGFBH38CC
中壢區,建物,桃園市中壢區大智街１０號四樓之３,0.0,住,,,1120510,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780529,22.439999999999998,0,0,0,無,有,有,4500,201,,0.0,0,社會住宅 水電費由承租人負擔,RPWNMLLKNHIGFBH48CC
中壢區,建物,桃園市中壢區榮民路５６巷３８之３號,0.0,住,,,1120426,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0680115,92.14,3,2,1,有,無,有,15000,163,,0.0,0,社會住宅,RPXNMLLKNHIGFBH58CC
觀音區,建物,桃園市觀音區長春街２７３號三樓之１,0.0,,工業區,丁種建築用地,1120424,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),工業社區社區住宅,鋼筋混凝土造,1120103,58.09,2,1,1,有,有,有,15000,258,,0.0,0,社會住宅,RPOOMLLKNHIGFBH77CC
桃園區,建物,桃園市桃園區成功路二段１號十樓之７,0.0,商,,,1120509,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700404,38.49,1,1,1,有,有,有,9600,249,,0.0,0,社會住宅 管理費 水電費 瓦斯費 第四台 由承租人負擔,RPPNMLLKNHIGFAH67CC
桃園區,建物,桃園市桃園區復興路８３號五樓之６,0.0,商,,,1120509,土地0建物1車位0,五層,12,套房(1房1廳1衛),套房．辦公室,鋼筋混凝土造,0691007,51.22,1,0,1,有,有,有,11000,215,,0.0,0,水電費、瓦斯費、網路費及每月管理費500元皆由承租人負擔。,RPTNMLLKNHIGFAH08CC
桃園區,建物,桃園市桃園區和興街２５號五樓之１１,0.0,住,,,1120427,土地0建物1車位0,五層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690820,27.68,1,0,1,有,有,有,7000,253,,0.0,0,社會住宅 管理費另計500元,RPUNMLLKNHIGFAH18CC
龍潭區,建物,桃園市龍潭區民治路３３９號七樓之二,0.0,住,,,1120508,土地0建物1車位1,七層,10,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0910403,94.74000000000001,0,0,0,無,有,有,13000,137,坡道平面,42.72,0,社會住宅管理費1200出租人負擔，水電瓦斯由承租人負擔,RPPNMLLKNHIGFCH87CC
龍潭區,建物,桃園市龍潭區新龍路１９１號二樓,0.0,住,,,1120508,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110124,97.41999999999999,2,1,2,有,無,有,15000,154,,0.0,0,社會住宅 水電費由承租人負擔,RPRNMLLKNHIGFCH08CC
龍潭區,建物,桃園市龍潭區新龍路１９１號五樓,0.0,住,,,1120508,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110124,98.49000000000001,2,1,2,有,無,有,15000,152,,0.0,0,社會住宅 水電費由承租人負擔,RPSNMLLKNHIGFCH18CC
龍潭區,建物,桃園市龍潭區新龍路１９１號三樓,0.0,住,,,1120508,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110124,97.41999999999999,2,1,2,有,無,有,15000,154,,0.0,0,社會住宅 水電費由承租人負擔,RPTNMLLKNHIGFCH28CC
龍潭區,建物,桃園市龍潭區新龍路１９１號四樓,0.0,住,,,1120508,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110124,97.41999999999999,2,1,2,有,無,有,15000,154,,0.0,0,社會住宅 水電費由承租人負擔,RPUNMLLKNHIGFCH38CC
楊梅區,建物,桃園市楊梅區青山五街２１號５樓之１５,0.0,住,,,1120510,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840324,42.14,0,0,0,無,有,有,6000,142,,0.0,0,社會住宅 水電費由承租人負擔,RPPNMLLKNHIGFDH97CC
楊梅區,建物,桃園市楊梅區青山五街１０巷５號５樓,0.0,住,,,1120508,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,168.89999999999998,3,2,2,有,有,有,10500,62,,0.0,0,社會住宅 水電費由承租人負擔,RPQNMLLKNHIGFDH08CC
楊梅區,建物,桃園市楊梅區青山五街１０巷８號８樓之３,0.0,住,,,1120510,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,79.58,2,2,1,有,有,有,9500,119,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPRNMLLKNHIGFDH18CC
楊梅區,建物,桃園市楊梅區中山北路一段１２巷２弄６號五樓,0.0,住,,,1120426,土地0建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811224,107.61,3,2,2,有,有,有,15000,139,坡道平面,0.0,0,社會住宅 管理費另計1500元出租人負擔,RPSNMLLKNHIGFDH28CC
蘆竹區,建物,桃園市蘆竹區五福六路３２號十五樓,0.0,住,,,1120330,土地0建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110901,190.42000000000002,3,2,2,有,有,有,24000,126,坡道平面,65.44,0,社會住宅每月管理費2500由承租人自付另有提供車位無償使用,RPQNMLLKNHIGFEH18CC
大園區,房地(土地+建物)+車位,桃園市大園區大成路二段３７號,37.25,住,,,1120510,土地1建物1車位1,一層,9,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1030929,143.81,0,0,0,無,無,有,30000,209,坡道平面,41.28,0,不含管理費,RPRNMLLKNHIGFEH28CC
大園區,房地(土地+建物)+車位,桃園市大園區大成路二段３９號,93.13,住,,,1120509,土地1建物1車位2,見其他登記事項,9,店面(店鋪),店舖、辦公室（廳）,鋼筋混凝土造,1030929,374.81,0,0,0,無,有,有,55000,147,坡道平面,53.91,0,不含管理費,RPSNMLLKNHIGFEH38CC
蘆竹區,建物,桃園市蘆竹區南崁路１段２０２號１２樓之１,0.0,工,,,1120511,土地0建物1車位1,十二層,14,其他,一般事務所,鋼筋混凝土造,0990610,288.53,4,2,3,有,有,無,26187,91,坡道平面,28.26,0,,RPTNMLLKNHIGFEH48CC
蘆竹區,建物,桃園市蘆竹區南山路１段３１號２０樓之６,0.0,住,,,1120417,土地0建物1車位0,二十層,20,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840925,38.0,1,0,1,有,有,有,7500,197,,0.0,0,含管理費,RPUNMLLKNHIGFEH58CC
蘆竹區,房地(土地+建物),桃園市蘆竹區奉化路１４８之１２號六樓,4788.64,住,,,1120415,土地1建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931210,141.31,3,2,2,有,有,有,23000,163,,0.0,0,,RPVNMLLKNHIGFEH68CC
八德區,建物,桃園市八德區義勇街１１０號五樓,0.0,住,,,1120508,土地0建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870704,146.11,3,2,2,有,有,有,19600,157,坡道平面,33.83,2000,社會住宅 管理費 水電費 瓦斯費由承租人負擔,RPPNMLLKNHIGFFH18CC
八德區,建物,桃園市八德區建德路２６９號十樓,0.0,住,,,1120508,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040420,159.84,3,2,2,有,有,有,22000,138,坡道平面,22.49,3000,社會住宅 水電費 瓦斯費 管理費 由承租人負擔管理費3000,RPQNMLLKNHIGFFH28CC
八德區,建物,桃園市八德區廣福路２０巷３５弄５號,0.0,商,,,1120506,土地0建物0車位0,二層,2,套房(1房1廳1衛),住商用,加強磚造,0741005,41.32,1,1,1,有,無,有,7000,169,,0.0,0,此為透天分租套房，面積約為41.32平方公尺。電費、瓦斯費、網路費由承租人負擔。,RPRNMLLKNHIGFFH38CC
八德區,建物,桃園市八德區豐德路１７２號二樓,0.0,住,,,1120419,土地0建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030819,148.63,3,2,2,有,有,有,20500,138,坡道平面,22.51,0,社會住宅 管理費另計2500元,RPSNMLLKNHIGFFH48CC
平鎮區,建物,桃園市平鎮區環南路二段２６２號３樓之２,0.0,住,,,1120505,土地0建物1車位0,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840421,103.32000000000001,3,2,2,有,有,有,12000,116,,0.0,0,社會住宅 水費 電費  瓦斯費 由承租人負擔,RPPNMLLKNHIGFGH28CC
平鎮區,建物,桃園市平鎮區龍南路６８６號七樓之２,0.0,商,,,1120504,土地0建物1車位0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830620,42.22,0,0,0,無,有,有,6000,142,,0.0,0,社會住宅 水費 電費 瓦斯費 管理費由承租人負擔管理費500,RPQNMLLKNHIGFGH38CC
