編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKNHIGFBH77CC,青芝段,121.98,都市：住,,,,00920000
RPQNMLLKNHIGFBH87CC,復興段,17.95,都市：住,,,,20340000
RPRNMLLKNHIGFBH97CC,忠孝段,.00,都市：住,,,,04490000
RPSNMLLKNHIGFBH08CC,光明段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08150001
RPUNMLLKNHIGFBH28CC,富台段,.00,都市：住,,,,07150000
RPTNMLLKNHIGFBH18CC,興南段興南小段,.00,都市：商,,,,02750000
RPVNMLLKNHIGFBH38CC,中原段,15.63,都市：住,,,,05160001
RPXNMLLKNHIGFBH58CC,自立段,.00,都市：住,,,,03530000
RPOOMLLKNHIGFBH77CC,工業區段二小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00190005
RPWNMLLKNHIGFBH48CC,中壢埔頂段,.00,都市：住,,,,11870000
RPSNMLLKNHIGFCH18CC,南龍段,.00,都市：住,,,,02370000
RPTNMLLKNHIGFCH28CC,南龍段,.00,都市：住,,,,02370000
RPPNMLLKNHIGFCH87CC,石門段,.00,都市：住,,,,01960000
RPRNMLLKNHIGFCH08CC,南龍段,.00,都市：住,,,,02370000
RPUNMLLKNHIGFCH38CC,南龍段,.00,都市：住,,,,02370000
RPQNMLLKNHIGFEH18CC,五福段,.00,都市：住,,,,05460000
RPSNMLLKNHIGFEH38CC,青峰段,93.13,都市：住,,,,03840000
RPQNMLLKNHIGFDH08CC,幼獅段,.00,都市：住,,,,12240000
RPRNMLLKNHIGFEH28CC,青峰段,37.25,都市：住,,,,03840000
RPPNMLLKNHIGFDH97CC,幼獅段,.00,都市：住,,,,12290000
RPRNMLLKNHIGFDH18CC,幼獅段,.00,都市：住,,,,12240000
RPSNMLLKNHIGFDH28CC,二重溪段,.00,都市：住,,,,00900000
RPTNMLLKNHIGFEH48CC,錦中段,.00,都市：工,,,,00970000
RPVNMLLKNHIGFEH68CC,河底段,4788.64,都市：住,,,,03850000
RPUNMLLKNHIGFEH58CC,六福段,.00,都市：住,,,,08140000
RPPNMLLKNHIGFAH67CC,大樹林段,.00,都市：商,,,,19440000
RPTNMLLKNHIGFAH08CC,桃園段武陵小段,.00,都市：商,,,,00400000
RPUNMLLKNHIGFAH18CC,中路段,.00,都市：住,,,,00030001
RPUNMLLKNHIGFAH18CC,中路段,.00,都市：住,,,,00030208
RPQNMLLKNHIGFGH38CC,東北段,.00,都市：商,,,,06110000
RPPNMLLKNHIGFGH28CC,新富段,.00,都市：住,,,,04530000
RPQNMLLKNHIGFFH28CC,福興段,.00,都市：住,,,,09400000
RPSNMLLKNHIGFFH48CC,豐田段,.00,都市：住,,,,14880000
RPPNMLLKNHIGFFH18CC,永福段,.00,都市：住,,,,00120000
RPRNMLLKNHIGFFH38CC,廣福段,.00,都市：商,,,,02020000
RPTNMLLKNHIGFGH68CC,新榮段,.00,都市：住,,,,02970000
RPRNMLLKNHIGFGH48CC,金星段,.00,都市：住,,,,10100000
RPQNMLMKNHIGFGH48CC,廣豐段,.00,都市：住,,,,05670000
RPUNMLLKNHIGFGH78CC,忠貞段,.00,都市：住,,,,09360000
RPSNMLLKNHIGFGH58CC,金星段,.00,都市：住,,,,01860000
RPPNMLMKNHIGFGH38CC,平鎮段,.00,都市：商,,,,10180000
RPSNMLMKNHIGFGH68CC,平鎮段,.00,都市：商,,,,09570000
RPUNMLMKNHIGFGH88CC,復旦段,87.87,都市：住,,,,02170003
RPRNMLMKNHIGFGH58CC,新富段,.00,都市：住,,,,04670000
RPTNMLMKNHIGFGH78CC,平鎮段,.00,都市：商,,,,09610000
RPQNMLMKNHIGFHH58CC,興華段,.00,都市：商,,,,00620000
RPSNMLMKNHIGFEH58DC,河底段,17.38,都市：住,,,,04380000
