鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物),嘉義市嘉義市安和街４７號５樓４,6.61,住,,,1120801,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821007,33.21,1,1,1,有,有,1650000,49684,,0.0,0,,RPWNMLSJQHIGFAI66DA,21.92,0.0,0.0,有,
嘉義市,土地,下路頭段481-1地號,58.83,都市：其他:道路用地,,,1120804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,13599,,0.0,0,道路用地包含公共設施保留地用地；,RPPNMLRJQHIGFAI48DA,0.0,0.0,0.0,無,001
嘉義市,土地,下路頭段481-1地號,58.83,都市：其他:道路用地,,,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,13599,,0.0,0,道路用地包含公共設施保留地用地；,RPPNMLNJQHIGFAI08DA,0.0,0.0,0.0,無,001
嘉義市,土地,下路頭段481-1地號,29.42,都市：其他:道路用地,,,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,13596,,0.0,0,道路用地包含公共設施保留地用地；,RPQNMLNJQHIGFAI18DA,0.0,0.0,0.0,無,001
嘉義市,土地,下路頭段481-1地號,58.83,都市：其他:道路用地,,,1120804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,13599,,0.0,0,道路用地包含公共設施保留地用地；,RPPNMLOJQHIGFAI18DA,0.0,0.0,0.0,無,001
嘉義市,房地(土地+建物),嘉義市嘉義市仁愛路３４７號１３樓１０,6.14,商,,,1120801,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850130,61.099999999999994,1,2,1,有,有,3600000,58920,,0.0,0,,RPWNMLKKQHIGFAI58DA,39.86,0.0,9.62,有,005
嘉義市,房地(土地+建物),嘉義市嘉義市湖子內路４９巷２３號,199.0,住,,,1120801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1090827,366.92,4,2,5,有,無,20700000,56416,,0.0,0,頂樓加蓋；,RPWNMLOJQHIGFAI88DA,343.23,0.0,23.69,有,006
嘉義市,土地,埤子頭段339-25地號,10.92,都市：其他:住宅區,,,1120801,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,160000,14652,,0.0,0,,RPSNMLLJQHIGFAI18DA,0.0,0.0,0.0,無,007
嘉義市,房地(土地+建物),嘉義市嘉義市福全街７號,105.64,住,,,1120804,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1060629,209.65,5,1,4,有,無,15000000,71548,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRKQHIGFAI88DA,186.0,0.0,23.65,無,008
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路５６０號六樓之８,2.32,住,,,1120807,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840724,33.59,1,1,1,有,有,1700000,50610,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKQHIGFAI78EA,19.69,0.79,2.93,有,009
嘉義市,土地,大溪段782-2地號,13.23,住,,,1120808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,15117,,0.0,0,,RPRNMLSJQHIGFAI78DA,0.0,0.0,0.0,無,
