編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLSJQHIGFAI66DA,30,11.29,共有部份,鋼筋混凝土造,82年10月7日,六層,,持分移轉
RPWNMLSJQHIGFAI66DA,30,21.92,住家用,鋼筋混凝土造,82年10月7日,六層,五層,全筆移轉
RPSNMLRKQHIGFAI88DA,6,209.65,住家用,鋼筋混凝土構造,106年6月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWNMLOJQHIGFAI88DA,3,366.92,住宅、樓梯間,鋼筋混凝土構造,109年8月27日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLSKQHIGFAI66DA,31,10.40,共有部份,鋼筋混凝土造,81年11月11日,五層,,持分移轉
RPVNMLSKQHIGFAI66DA,31,21.72,停車空間,鋼筋混凝土造,81年11月11日,五層,地下層,持分移轉
RPUOMLLLQHIGFAI68DA,5,3.31,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,持分移轉
RPUOMLLLQHIGFAI68DA,5,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,三層 陽台,全筆移轉
RPPNMLSKQHIGFAI78EA,28,23.41,住家用,鋼筋混凝土造,84年7月24日,十四層,六層 陽台 花台,全筆移轉
RPPNMLSKQHIGFAI78EA,28,5.89,共有部份,鋼筋混凝土造,84年7月24日,十四層,,持分移轉
RPPNMLSKQHIGFAI78EA,28,4.28,共有部份,鋼筋混凝土造,84年7月24日,十四層,,持分移轉
RPTNMLMLQHIGFAI58DA,1,.19,儲藏室,鋼筋混凝土構造,111年10月20日,五層,一層,持分移轉
RPTNMLMLQHIGFAI58DA,1,.04,本共有部分之項目有昇降機、電信室、樓梯間、戶外安全梯、梯廳、水塔空間及管理維護使用空間等７項,鋼筋混凝土構造,111年10月20日,五層,,持分移轉
