編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLSKQHIGFAI66DA,坡道平面,800000,21.71,地下一樓
RPTNMLMLQHIGFAI58DA,其他,0,6.61,一樓
RPUNMLMLQHIGFAI68DA,其他,0,6.61,一樓
RPPOMLSLQHIGFAI88DA,坡道平面,0,,地下二樓
RPTNMLSJQHIGFAI98DA,坡道平面,0,,地下一樓
RPRNMLQKQHIGFAI68DA,坡道平面,0,,地下二樓
RPWNMLSKQHIGFAI76DA,坡道平面,0,,地下一樓
RPPNMLKMQHIGFAI08DA,坡道機械,0,,地下一樓
RPVNMLKMQHIGFAI68DA,坡道平面,0,39.50,地下二樓
RPRNMLQJRHIGFAI68DA,坡道機械,0,,地下一樓
RPQNMLMJRHIGFAI18DA,坡道機械,0,,地下一樓
RPPNMLQJRHIGFAI58EA,升降機械,150000,,地下一樓
RPPNMLQJRHIGFAI58EA,升降機械,150000,,地下一樓
RPPNMLQJRHIGFAI58EA,升降機械,150000,,地下一樓
RPPNMLRKPHIGFAI48DA,坡道機械,0,,地下一樓
RPQOMLPLPHIGFAI58DA,坡道平面,0,,地下二樓
RPQNMLLJQHIGFAI97DA,坡道平面,0,,地下一樓
RPXNMLMJQHIGFAI78DA,坡道平面,0,,地下一樓
RPTOMLNJQHIGFAI58DA,坡道機械,0,,地下一樓
RPPNMLLLPHIGFAI97DA,坡道平面,0,,地下一樓
RPRNMLOJQHIGFAI48EA,坡道機械,0,,地下二樓
RPRNMLPJQHIGFAI48DA,升降機械,0,,地下一樓
RPQOMLNJQHIGFAI28DA,坡道機械,0,,地下二樓
RPPNMLSJQHIGFAI58DA,坡道機械,0,,地下一樓
RPPOMLSJQHIGFAI68DA,坡道平面,0,,地下一樓
RPPNMLKKQHIGFAI97EA,坡道平面,0,,地下一樓
RPSOMLLKQHIGFAI38DA,坡道機械,0,,地下一樓
RPSOMLKKQHIGFAI28DA,坡道平面,0,,地下一樓
RPROMLRJQHIGFAI78DA,坡道平面,0,,地下一樓
RPOOMLOLQHIGFAI38DA,升降機械,0,,地下一樓
RPUNMLLLQHIGFAI58DA,坡道平面,0,,地下二樓
RPVNMLLJRHIGFAI58DA,坡道機械,0,,地下一樓
RPPNMLPJRHIGFAI38DA,坡道平面,0,,地下一樓
RPROMLTLOHIGFAI98DA,坡道平面,0,,地下一樓
RPPOMLNJPHIGFAI08DA,坡道機械,0,,地下一樓
RPUNMLKMOHIGFAI38DA,升降機械,0,,地下二樓
RPTOMLNJPHIGFAI48DA,坡道平面,0,,地下一樓
RPSNMLPJPHIGFAI48DA,坡道平面,0,29.76,地下二樓
RPRNMLSKOHIGFAI68DA,坡道平面,0,,地下二樓
RPQOMLKKPHIGFAI97DA,坡道平面,0,,地下一樓
RPXNMLNJPHIGFAI78DA,坡道機械,0,,地下一樓
RPVNMLPJOHIGFAI68DA,坡道平面,0,,地下一樓
RPOOMLMKPHIGFAI97DA,坡道機械,0,,地下二樓
RPXNMLRKPHIGFAI66DA,坡道平面,1100000,29.76,地下一樓
RPRNMLRKPHIGFAI78EA,坡道平面,0,,地下一樓
RPPNMLSKPHIGFAI68EA,坡道平面,0,,地下二樓
RPQOMLSKPHIGFAI78DA,坡道平面,0,,地下二樓
RPRNMLSKPHIGFAI88EA,坡道機械,0,,地下一樓
RPUNMLLLPHIGFAI48DA,其他,0,,一樓
RPSOMLPLPHIGFAI78DA,一樓平面,0,,一樓
RPQOMLQLPHIGFAI68DA,一樓平面,0,,一樓
RPUNMLRLPHIGFAI09DA,一樓平面,0,,一樓
RPQNMLRLPHIGFAI78EA,升降機械,0,,地下一樓
