鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.74,住,,,1120513,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.45,3,1,2,有,無,12200000,76985,坡道平面,53.4,2650000,,RPPNMLQKNHIGFAI18CB,未來樹,L5棟5F號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.4,住,,,1120513,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.95,3,1,2,有,無,11950000,75887,坡道平面,53.4,2650000,,RPQNMLQKNHIGFAI28CB,未來樹,L3棟5F號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市金龍街.大雅路二段578巷,21.27,住,,,1120514,土地3建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.93,3,2,2,有,無,16530000,115519,坡道機械,9.06,950000,[夢公園/集合住宅] 4F-C2,RPVNMLQKNHIGFAI78CB,夢公園,C棟4C2號,1120807全部解約
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市金龍街.大雅路二段578巷,32.79,住,,,1120514,土地3建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,241.57,3,2,2,有,無,24770000,103004,坡道平面,25.85,2550000,[夢公園/集合住宅] 3F-B2,RPWNMLQKNHIGFAI88CB,夢公園,B棟3B2號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市金龍街.大雅路二段578巷,21.27,住,,,1120514,土地3建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.24,3,2,2,有,無,18360000,121302,坡道平面,15.37,2000000,[夢公園/集合住宅] 5F-C2,RPXNMLQKNHIGFAI98CB,夢公園,C棟5C2號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市民生南路,30.57,住,,,1120512,土地9建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.65,2,2,1,有,無,8930000,90941,坡道平面,12.65,1200000,,RPOOMLQKNHIGFAI18CB,金石龍悅,A棟6號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市金龍街.大雅路二段578巷,32.3,住,,,1120513,土地3建物1車位2,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,255.13,3,2,2,有,無,30680000,121926,一樓平面,42.87,4800000,[夢公園/集合住宅] 8F-B1,RPUNMLRKNHIGFAI78CB,夢公園,B棟8B1號,
嘉義市,房地(土地+建物),嘉義市嘉義市健康三路,91.14,其他,,,1120516,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,219.84,0,6,5,有,無,17880000,81332,,0.0,0,,RPPNMLRKNHIGFAI38DB,成家,A棟2號,
嘉義市,房地(土地+建物),嘉義市嘉義市健康三路,121.26,其他,,,1120518,土地2建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,,136.95,0,5,3,有,無,12580000,91858,,0.0,0,原申報序號B2IA11112180001撤銷，重新申報。,RPPNMLSKNHIGFAI48DB,成家,D棟7號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,35.47,住,,,1120513,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,141.47,3,2,2,有,無,9850000,76275,坡道平面,28.72,1250000,,RPPNMLTKNHIGFAI48CB,威盛好日子,乙棟8E號,
