鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市漢口路２５９號１樓,83.0,住,,,1120504,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0830520,39.24,0,0,0,無,無,無,10000,255,,0.0,0,,RPPNMLLKNHIGFAI77CC
嘉義市,房地(土地+建物),嘉義市嘉義市漢口路２５９號２-４樓,83.0,住,,,1120503,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0830520,218.19,6,1,5,有,無,無,13000,60,,0.0,0,,RPQNMLLKNHIGFAI87CC
嘉義市,房地(土地+建物),嘉義市嘉義市西區世賢路一段６７５號,37.72,商,,,1120502,土地2建物1車位0,見其他登記事項,7,辦公商業大樓,商業用,鋼筋混凝土造,0820427,214.79000000000002,0,0,0,無,無,無,29000,135,,0.0,0,,RPRNMLLKNHIGFAI97CC
嘉義市,建物,嘉義市嘉義市蘭井街１６２之４號４樓９,0.0,商,,,1120508,土地0建物1車位0,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800104,30.11,1,0,1,有,有,有,6000,199,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費500元皆由承租人負擔。,RPSNMLLKNHIGFAI08CC
嘉義市,建物,嘉義市嘉義市林森東路２２５號,56.84,住,,,1120506,土地0建物1車位0,見其他登記事項,7,店面(店鋪),住商用,鋼筋混凝土造,0790112,258.7,5,1,3,有,有,有,30000,116,,0.0,0,,RPTNMLLKNHIGFAI18CC
嘉義市,房地(土地+建物),嘉義市嘉義市漢口路２５９號１樓,83.0,住,,,1120504,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0830520,54.57,0,0,0,無,無,無,10000,183,,0.0,0,,RPPNMLMKNHIGFAI87CC
嘉義市,房地(土地+建物),嘉義市嘉義市漢口路２５９號２-４樓,83.0,住,,,1120503,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0830520,202.86,6,1,5,有,無,無,13000,64,,0.0,0,,RPQNMLMKNHIGFAI97CC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博東路１５１號１３樓２,15.4,住,,,1120421,土地1建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,124.74000000000001,3,2,2,有,有,有,16000,128,坡道平面,0.0,0,,RPPNMLNKNHIGFAI97CC
嘉義市,建物,嘉義市嘉義市彌陀路１４１號８樓４,0.0,住,,,1120511,土地0建物1車位0,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,88.59,2,1,1,有,有,有,13000,147,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費皆由承租人負擔。,RPPNMLPKNHIGFAI18CC
嘉義市,建物,嘉義市嘉義市忠孝路７９０之１００號１０樓１,0.0,住,,,1120510,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,74.45,3,2,2,有,有,有,10000,134,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費448元皆由承租人負擔。,RPRNMLPKNHIGFAI38CC
嘉義市,建物,嘉義市嘉義市忠孝路３３０之１號５樓１,0.0,住,,,1120511,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771108,112.07,2,1,2,有,有,有,11000,98,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費及網路費皆由承租人負擔。,RPSNMLPKNHIGFAI48CC
嘉義市,建物,嘉義市嘉義市博愛路二段１６８號１２樓之１０,0.0,其他,,,1120510,土地0建物1車位0,十二層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880421,66.84,1,1,1,有,有,有,8100,121,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費910元皆由承租人負擔。,RPTNMLPKNHIGFAI58CC
嘉義市,建物,嘉義市嘉義市日新街１３０號５樓之２,0.0,住,,,1120510,土地0建物1車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841003,49.08,1,1,1,有,有,有,7000,143,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費及每月管理費250元皆由承租人負擔。,RPUNMLPKNHIGFAI68CC
嘉義市,建物,嘉義市嘉義市新民路１８６巷３４號,89.0,住,,,1120512,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0800613,148.81,5,0,4,有,無,有,28000,188,,0.0,0,租金為半個月繳納，14000元/半個月，每月13日、28日支付,RPPNMLQKNHIGFAI28CC
嘉義市,建物,嘉義市嘉義市民生南路１０００號三樓之１３,0.0,住,,,1120501,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土構造,1070802,12.93,1,0,1,有,有,有,3700,286,,0.0,0,,RPQNMLQKNHIGFAI38CC
