編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLLKNHIGFAI08CC,32,24.15,住家用,鋼筋混凝土造,80年1月4日,六層,,
RPSNMLLKNHIGFAI08CC,32,5.96,共有部份,鋼筋混凝土造,80年1月4日,六層,,
RPRNMLPKNHIGFAI38CC,28,54.59,住家用,鋼筋混凝土造,84年10月4日,十一層,,
RPRNMLPKNHIGFAI38CC,28,12.07,共有部份,鋼筋混凝土造,84年10月4日,十一層,,
RPRNMLPKNHIGFAI38CC,28,7.79,共有部份,鋼筋混凝土造,84年10月4日,十一層,,
RPPNMLPKNHIGFAI18CC,27,69.01,住家用,鋼筋混凝土造,85年3月11日,二十層,,
RPPNMLPKNHIGFAI18CC,27,19.58,共有部份,鋼筋混凝土造,85年3月11日,二十層,,
RPPNMLLKNHIGFAI77CC,29,39.24,住商用,鋼筋混凝土造,83年5月20日,四層,,
RPTNMLLKNHIGFAI18CC,33,258.70,住商用,鋼筋混凝土造,79年1月12日,七層,,
RPQNMLLKNHIGFAI87CC,29,218.19,住商用,鋼筋混凝土造,83年5月20日,四層,,
RPRNMLLKNHIGFAI97CC,30,176.77,商業用,鋼筋混凝土造,82年4月27日,七層,,
RPRNMLLKNHIGFAI97CC,30,38.02,共有部份,鋼筋混凝土造,82年4月27日,七層,,
RPQNMLMKNHIGFAI97CC,29,202.86,住商用,鋼筋混凝土造,83年5月20日,四層,,
RPPNMLMKNHIGFAI87CC,29,54.57,住商用,鋼筋混凝土造,83年5月20日,四層,,
RPPNMLNKNHIGFAI97CC,25,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPPNMLNKNHIGFAI97CC,25,16.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPPNMLNKNHIGFAI97CC,25,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPUNMLPKNHIGFAI68CC,28,40.94,住家用,鋼筋混凝土造,84年10月3日,五層,,
RPUNMLPKNHIGFAI68CC,28,8.14,共有部份,鋼筋混凝土造,84年10月3日,五層,,
RPPNMLQKNHIGFAI28CC,32,148.81,住家用,鋼筋混凝土加強磚造,80年6月13日,三層,,
RPTNMLPKNHIGFAI58CC,24,46.70,住家用,鋼筋混凝土造,88年4月21日,十四層,,
RPTNMLPKNHIGFAI58CC,24,20.14,共有部份,鋼筋混凝土造,88年4月21日,十四層,,
RPSNMLPKNHIGFAI48CC,35,94.86,住家用,鋼筋混凝土造,77年11月8日,五層,,
RPQNMLQKNHIGFAI38CC,5,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPSNMLPKNHIGFAI48CC,35,7.48,共有部份,鋼筋混凝土造,77年11月8日,五層,,
RPSNMLPKNHIGFAI48CC,35,9.73,共有部份,鋼筋混凝土造,77年11月8日,五層,,
