鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹北市,土地,中興段479地號,13.76,,,,1130726,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1902368,138253,,0.0,0,包含公共設施保留地用地；,RPWNMLQLPHIGFBJ76DA,0.0,0.0,0.0,無,0001
橫山鄉,房地(土地+建物),新竹縣橫山鄉中正路３１１號,112.04,,鄉村區,乙種建築用地,1120801,土地1建物1車位0,一層，二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0580127,194.95,1,2,2,有,無,13000000,66684,,0.0,0,其他增建；,RPUNMLSJQHIGFCJ86EA,194.95,0.0,0.0,無,
竹北市,土地,三崁店段水坑口小段13地號,28.75,,特定農業區,甲種建築用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2609062,90750,,0.0,0,,RPQNMLTJQHIGFBJ98DA,0.0,0.0,0.0,無,
北埔鄉,土地,公園段299地號,79.68,住,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,43926,,0.0,0,,RPPNMLNJQHIGFCJ38DA,0.0,0.0,0.0,無,
竹北市,土地,新國段780-1地號,22.28,都市：其他:道路用地,,,1120801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1589974,71363,,0.0,0,包含公共設施保留地用地；,RPWNMLLKQHIGFBJ88DA,0.0,0.0,0.0,無,0002
竹北市,土地,省道段161地號,34.63,都市：其他:道路用地,,,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3280986,94744,,0.0,0,包含公共設施保留地用地；,RPXNMLLKQHIGFBJ98DA,0.0,0.0,0.0,無,0003
尖石鄉,土地,煤源段21-1地號,9240.0,,山坡地保育區,林業用地,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,195,,0.0,0,,RPRNMLLKQHIGFCJ58EA,0.0,0.0,0.0,無,
尖石鄉,土地,煤源段21-2地號,18480.0,,山坡地保育區,林業用地,1120802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,195,,0.0,0,,RPSNMLLKQHIGFCJ68EA,0.0,0.0,0.0,無,
竹東鎮,土地,竹東段竹東小段32-360地號,34.5,商,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4487580,130075,,0.0,0,本土地係被第三人占用及共有土地。,RPQNMLOKQHIGFCJ68DA,0.0,0.0,0.0,無,
新豐鄉,土地,福陽段109地號,944.06,,一般農業區,農牧用地,1120806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7050000,7468,,0.0,0,,RPPOMLKKQHIGFDJ38DA,0.0,0.0,0.0,無,0004
湖口鄉,房地(土地+建物),新竹縣湖口鄉松江一街３６號五樓,11.24,,工業區,丁種建築用地,1120801,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810422,32.980000000000004,1,0,1,有,有,1100000,33354,,0.0,0,,RPSNMLNJQHIGFDJ78DA,21.76,0.0,3.04,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十三街２６號七樓,25.99,住,,,1120803,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1040604,136.03,0,0,0,無,有,11000000,80865,坡道平面,36.64,0,,RPPNMLOKQHIGFBJ58EA,58.26,0.0,7.84,有,0005
