鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,建物,新竹縣竹北市台元街３０號４F~３,0.0,工,,,1120504,土地0建物1車位0,四層,6,廠辦,工業用,鋼筋混凝土造,0900612,949.22,0,0,0,無,有,無,248000,261,,0.0,0,,RPPNMLLKNHIGFBJ97CC
竹北市,建物,新竹縣竹北市台元街３８號３F~１０、１１,0.0,工,,,1120504,土地0建物2車位3,三層,8,廠辦,工業用,鋼筋混凝土造,0960607,554.12,0,0,0,無,有,無,168700,304,坡道平面,0.0,9900,,RPQNMLLKNHIGFBJ08CC
竹北市,建物,新竹縣竹北市台元街３８號５F~８、９、１０、１１、１２、１３、１５,0.0,工,,,1120504,土地0建物7車位0,五層,8,廠辦,工業用,鋼筋混凝土造,0960607,1895.95,0,0,0,無,有,無,525000,277,,0.0,0,,RPRNMLLKNHIGFBJ18CC
竹北市,房地(土地+建物),新竹縣竹北市光明九路１６８號５F之９,3.75,商,,,1120510,土地2建物1車位0,五層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,0980225,34.43,1,1,1,有,有,有,16500,479,,0.0,0,,RPPNMLMKNHIGFBJ08CC
竹北市,建物,新竹縣竹北市嘉興二街２９號１４樓,0.0,住,,,1120506,土地0建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,142.86,2,2,1,有,有,有,27000,189,坡道平面,28.09,0,,RPPNMLNKNHIGFBJ18CC
竹北市,建物,新竹縣竹北市科大一路３６號,0.0,住,,,1120505,土地0建物1車位2,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1000901,234.35000000000002,0,0,0,無,有,有,54000,230,坡道平面,57.6,0,,RPRNMLNKNHIGFBJ38CC
竹北市,房地(土地+建物),新竹縣竹北市高鐵七路６５號十八樓之７,31.16,商,,,1120513,土地1建物1車位0,十八層,18,辦公商業大樓,商業用,鋼筋混凝土造,0990208,222.85999999999999,0,0,0,無,有,有,55000,247,,0.0,0,,RPPNMLPKNHIGFBJ38CC
竹北市,建物,新竹縣竹北市新瀧一街７號,0.0,商,,,1120423,土地0建物1車位0,一層,21,店面(店鋪),商業用,鋼筋混凝土造,1050126,122.93,0,0,0,無,有,無,28000,228,,0.0,0,,RPPNMLQKNHIGFBJ48CC
竹北市,建物,新竹縣竹北市台元街３８號２F~１１,0.0,工,,,1120511,土地0建物1車位0,二層,8,廠辦,工業用,鋼筋混凝土造,0960607,296.52,0,0,0,無,有,無,85000,287,,0.0,0,,RPPNMLRKNHIGFBJ58CC
