編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKNHIGFBJ38CC,12,134.99,商業用,鋼筋混凝土造,100年9月1日,十三層,,
RPPNMLNKNHIGFBJ18CC,8,74.22,住家用,鋼筋混凝土造,104年9月1日,十四層,,
RPPNMLMKNHIGFBJ08CC,14,22.99,商業用,鋼筋混凝土造,98年2月25日,十一層,,
RPRNMLNKNHIGFBJ38CC,12,99.36,本共有部分之項目有：防空避難室、停車空間、守衛室、廣場式開放空間、垃圾集中處、公共服務空間、梯間、水箱等八項,鋼筋混凝土造,100年9月1日,十三層,,
RPPNMLNKNHIGFBJ18CC,8,27.73,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、垃圾貯存空間、樓電梯間、機房、水箱等七項。,鋼筋混凝土造,104年9月1日,十四層,,
RPPNMLRKNHIGFBJ58CC,16,296.52,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPPNMLLKNHIGFBJ97CC,22,949.22,工業用,鋼筋混凝土造,90年6月12日,六層,,
RPPNMLNKNHIGFBJ18CC,8,12.81,本共有部分之項目有樓電梯間等一項。,鋼筋混凝土造,104年9月1日,十四層,,
RPPNMLQKNHIGFBJ48CC,7,70.41,商業用,鋼筋混凝土造,105年1月26日,二十一層,,
RPQNMLRKNHIGFBJ68CC,10,722.45,工業用,鋼筋混凝土造,102年3月18日,十層,,
RPPNMLNKNHIGFBJ18CC,8,.01,辦公室,鋼筋混凝土造,104年9月1日,十四層,,
RPPNMLQKNHIGFBJ48CC,7,52.52,本共有部分之項目有防空避難室兼停車空間、停車空間、機車停車空間、電信室、中繼水箱、機房、水箱、樓梯間、梯間、消防機房、開放空間、垃圾室、走廊、管理員室、防災中心等十五項。,鋼筋混凝土造,105年1月26日,二十四層,,
RPPNMLMKNHIGFBJ08CC,14,11.44,共用部分,鋼筋混凝土造,98年2月25日,十一層,,
RPPNMLNKNHIGFBJ18CC,8,28.09,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、垃圾貯存空間、樓電梯間、機房、水箱等七項。,鋼筋混凝土造,104年9月1日,十四層,,
RPQNMLLKNHIGFBJ08CC,16,296.20,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPQNMLLKNHIGFBJ08CC,16,257.92,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPPNMLPKNHIGFBJ38CC,13,142.64,商業用,鋼筋混凝土造,99年2月8日,十八層,,
RPRNMLLKNHIGFBJ18CC,16,209.95,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPPNMLPKNHIGFBJ38CC,13,80.22,共用部分,鋼筋混凝土造,99年2月8日,十八層,,
RPRNMLLKNHIGFBJ18CC,16,211.78,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPRNMLLKNHIGFBJ18CC,16,248.37,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPRNMLLKNHIGFBJ18CC,16,296.20,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPRNMLLKNHIGFBJ18CC,16,257.92,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPRNMLLKNHIGFBJ18CC,16,260.21,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPRNMLLKNHIGFBJ18CC,16,411.52,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPPNMLSKNHIGFDJ88CC,18,67.96,住家用,鋼筋混凝土造,93年12月31日,六層,,
RPPNMLSKNHIGFDJ88CC,18,14.72,梯間,鋼筋混凝土造,93年12月31日,六層,,
RPPNMLSKNHIGFDJ88CC,18,4.17,停車空間,鋼筋混凝土造,93年12月31日,六層,,
RPPNMLTKNHIGFCJ88CC,27,62.49,住家用,鋼筋混凝土造,85年2月15日,十二層,,
RPPNMLTKNHIGFCJ88CC,27,1.84,共用部分,鋼筋混凝土造,85年2月15日,十二層,,
