編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKNHIGFBJ38CC,台科段,.00,都市：住,,,,01330000
RPPNMLMKNHIGFBJ08CC,縣華段,2.32,都市：商,,,,01670001
RPPNMLRKNHIGFBJ58CC,台元段,.00,都市：工,,,,06190000
RPPNMLNKNHIGFBJ18CC,莊敬段,.00,都市：住,,,,01110000
RPPNMLLKNHIGFBJ97CC,台元段,.00,都市：工,,,,06110000
RPPNMLQKNHIGFBJ48CC,水瀧段,.00,都市：商,,,,01180000
RPQNMLRKNHIGFBJ68CC,台元段,.00,都市：工,,,,06350000
RPPNMLMKNHIGFBJ08CC,縣華段,1.43,都市：商,,,,01690000
RPQNMLLKNHIGFBJ08CC,台元段,.00,都市：工,,,,06190000
RPPNMLPKNHIGFBJ38CC,世興段,31.16,都市：商,,,,00270000
RPRNMLLKNHIGFBJ18CC,台元段,.00,都市：工,,,,06190000
RPPNMLSKNHIGFDJ88CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,05200000
RPPNMLTKNHIGFCJ88CC,竹東段竹東小段,.00,都市：其他:市場用地,,,,03750000
RPPNMLSKNHIGFBJ68CC,三崁店段三崁店小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01200096
RPQNMLSKNHIGFDJ98CC,坪頂段,.00,都市：住,,,,11210000
RPQNMLSKNHIGFBJ78CC,華城段,.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,,,,06030002
RPRNMLTKNHIGFBJ98CC,大學段,.00,都市：商,,,,00390000
RPRNMLRKNHIGFBJ78CC,自強段,.00,都市：商,,,,02940000
RPQNMLTKNHIGFBJ88CC,新溪段,1556.56,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03370000
RPPNMLTKNHIGFBJ78CC,社北段,.00,都市：住,,,,04320006
RPPNMLTKNHIGFBJ78CC,文化段,.00,都市：住,,,,12100000
RPPNMLSKNHIGFCJ78CC,資源段,.00,都市：住,,,,13760000
RPPNMLMLNHIGFDJ38CC,坪頂段,.00,都市：住,,,,10730001
RPPNMLMLNHIGFDJ38CC,坪頂段,.00,都市：住,,,,10730000
RPPNMLMLNHIGFBJ18CC,大學段,4.64,都市：住,,,,00590000
RPPNMLMLNHIGFCJ28CC,竹東段番社子小段,.00,都市：住,,,,04090000
RPPNMLPLNHIGFDJ68CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01120000
RPQNMLMLNHIGFDJ48CC,忠信段,.00,都市：住,,,,10660000
RPPNMLQLNHIGFCJ68CC,重光段,.00,都市：住,,,,01570000
RPPNMLQLNHIGFDJ78CC,振興段,.00,都市：住,,,,09140000
RPPNMLOLNHIGFDJ58CC,中興段新興小段,4490.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01460000
RPRNMLPLNHIGFDJ88CC,信勢段,.00,都市：住,,,,00860000
RPPNMLQLNHIGFBJ58CC,文化段,.00,都市：住,,,,05560000
RPQNMLQLNHIGFBJ68CC,大學段,.00,都市：住,,,,02180000
RPRNMLQLNHIGFBJ78CC,莊敬段,.00,都市：商,,,,06550000
RPWNMLKMNHIGFBJ78CC,公園段,.00,都市：商,,,,05260000
RPPNMLKMNHIGFBJ08CC,台元段,.00,都市：工,,,,06110000
RPTNMLKMNHIGFBJ48CC,隘興段,.00,都市：商,,,,05430000
RPRNMLKMNHIGFBJ28CC,台元段,.00,都市：工,,,,06110000
RPUNMLKMNHIGFBJ58CC,莊敬段,.00,都市：住,,,,07130000
RPPNMLTLNHIGFBJ88CC,隘興段,.00,都市：住,,,,02560000
RPSNMLKMNHIGFBJ38CC,台元段,.00,都市：工,,,,06350000
RPVNMLKMNHIGFBJ68CC,家興段,.00,都市：住,,,,01110000
RPPNMLLJOHIGFCJ08CC,寶中段,.00,都市：住,,,,00210000
RPPNMLLJOHIGFBJ97CC,東興段,.00,都市：住,,,,00610000
RPRNMLLJOHIGFBJ18CC,站前段,.00,都市：商,,,,04090000
RPPNMLMJOHIGFDJ28CC,坪頂段,.00,都市：住,,,,10730001
RPPNMLNJOHIGFBJ18CC,隘興段,.00,都市：住,,,,06650000
RPQNMLLJOHIGFCJ18CC,寶中段,.00,都市：住,,,,00210000
RPPNMLPJOHIGFDJ58CC,建興段鳳凰小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02520003
RPPNMLMJOHIGFBJ08CC,縣福段,.00,都市：商,,,,02400000
RPQNMLNJOHIGFBJ28CC,自強段,.00,都市：住,,,,03710000
RPPNMLRJOHIGFDJ78CC,綠園段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06990000
RPPNMLRJOHIGFBJ58CC,家興段,.00,都市：住,,,,05010000
RPQNMLRJOHIGFBJ68CC,隘興段,.00,都市：住,,,,06940000
RPPNMLRJOHIGFCJ68CC,資源段,.00,都市：商,,,,19410000
RPQNMLRJOHIGFCJ78CC,四重段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09140000
RPPNMLSJOHIGFCJ78CC,上德段,.00,都市：農,,,,00250000
RPRNMLRJOHIGFBJ78CC,大學段,.00,都市：商,,,,00590000
RPPNMLTJOHIGFCJ88CC,北興段,94.75,都市：住,,,,00030000
RPPNMLTJOHIGFCJ88CC,北興段,94.74,都市：住,,,,00030001
RPPNMLTJOHIGFBJ78CC,公園段,.00,都市：住,,,,03900000
RPPNMLMKOHIGFBJ18CC,縣福段,.00,都市：住,,,,02760000
RPQNMLMKOHIGFBJ28CC,公園段,.00,都市：住,,,,04660000
RPRNMLMKOHIGFBJ38CC,台元段,.00,都市：工,,,,07160000
RPPNMLMKOHIGFCJ28CC,竹東段番社子小段,13.68,都市：住,,,,04050000
RPQNMLNKOHIGFDJ58CC,綠園段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08630023
RPRNMLNKOHIGFDJ68CC,中義段,14.83,都市：商,,,,03030000
RPQNMLNKOHIGFBJ38CC,永興段,.00,都市：商,,,,05060000
RPPNMLNKOHIGFBJ28CC,自強段,.00,都市：住,,,,03710000
RPSNMLNKOHIGFDJ78CC,光華段,.00,都市：住,,,,01400000
RPRNMLNKOHIGFBJ48CC,世興段,.00,都市：住,,,,00380000
RPSNMLNKOHIGFBJ58CC,大學段,.00,都市：住,,,,02210000
