鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
獅潭鄉,土地,桂竹林段86-473地號,8228.0,,山坡地保育區,農牧用地,1120830,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,80,,0.0,0,,RPPNMLQLPHIGFAK68DA,0.0,0.0,0.0,無,
西湖鄉,土地,楓櫥段14地號,6312.35,,山坡地保育區,農牧用地,1120806,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1420000,225,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPKQHIGFEK09EA,0.0,0.0,0.0,無,
銅鑼鄉,土地,老雞隆段869-33地號,973.0,,山坡地保育區,農牧用地,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,308,,0.0,0,,RPPNMLOKQHIGFEK88DA,0.0,0.0,0.0,無,
西湖鄉,土地,二湖段957地號,1810.29,,山坡地保育區,農牧用地,1120803,土地16建物0車位0,,,其他,,,,0.0,0,0,0,無,無,170000,94,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJQHIGFEK78DA,0.0,0.0,0.0,無,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英街３６號三樓之二十二,14.58,,山坡地保育區,丙種建築用地,1120802,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930623,20.41,1,1,1,有,有,530000,25968,,0.0,0,陽台外推；,RPQNMLOJQHIGFDK78DA,13.57,0.51,1.71,無,
苗栗市,土地,勝利段638-3地號,51.92,都市：其他:道路用地,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,1926,,0.0,0,包含公共設施保留地用地；,RPSNMLMJQHIGFBK58DA,0.0,0.0,0.0,無,0001
獅潭鄉,土地,八角林段72-20地號,96.0,,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,48000,500,,0.0,0,二親等間買賣親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKQHIGFAK08DA,0.0,0.0,0.0,無,
通霄鎮,房地(土地+建物),苗栗縣通霄鎮通西里３０鄰信義路５９號,103.79,住,,,1120806,土地5建物1車位0,全,二層,透天厝,住家用,鋼骨水泥加強磚造,,145.68,4,2,4,有,無,9700000,66584,,0.0,0,,RPRNMLPKQHIGFCK98DA,145.68,0.0,0.0,無,
竹南鎮,土地,竹興段232-1地號,17.45,都市：其他:道路用地,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,5731,,0.0,0,包含公共設施保留地用地；,RPPOMLLMPHIGFDK68DA,0.0,0.0,0.0,無,
三義鄉,土地,雙連潭段590-34地號,2104.78,,山坡地保育區,農牧用地,1120801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1386000,659,,0.0,0,,RPPNMLRKQHIGFEK56DA,0.0,0.0,0.0,無,
苑裡鎮,土地,鎮安段486地號,1597.46,,特定農業區,農牧用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4750000,2973,,0.0,0,,RPQNMLSKQHIGFCK56DA,0.0,0.0,0.0,無,
頭份市,土地,慶華段87-2地號,139.82,,山坡地保育區,農牧用地,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,1430,,0.0,0,,RPQNMLKKQHIGFFK68DA,0.0,0.0,0.0,無,
頭份市,土地,大化段703-6地號,108.81,,鄉村區,乙種建築用地,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,14705,,0.0,0,未登記建物；,RPPNMLOJQHIGFFK88DA,0.0,0.0,0.0,無,
三灣鄉,土地,灣中段805-1地號,267.82,住,,,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,22403,,0.0,0,,RPTOMLOKQHIGFFK86DA,0.0,0.0,0.0,無,
