編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLOKQHIGFBK98DA,坡道平面,0,,地下二樓
RPQNMLMLQHIGFBK58DA,一樓平面,0,,一樓
RPSNMLNLQHIGFFK66DA,升降機械,0,,地下一樓
RPPNMLLJRHIGFDK48DA,坡道機械,0,,地下一樓
RPQNMLSKQHIGFFK86DA,坡道平面,0,36.72,地下二樓
RPQNMLSKQHIGFFK86DA,坡道平面,0,36.72,地下二樓
RPQNMLOJRHIGFFK56EA,坡道平面,0,,地下一樓
RPTNMLOJRHIGFBK98DA,坡道機械,0,5.74,地下二樓
RPQNMLLJRHIGFBK38DA,坡道平面,0,,一樓
RPQOMLMKPHIGFFK88DA,坡道機械,0,,地下一樓
RPSNMLQLPHIGFFK86DA,坡道平面,0,,地下一樓
RPROMLTKPHIGFFK07DA,坡道機械,0,9.90,地下一樓
RPPNMLMKPHIGFFK68DA,坡道平面,0,37.90,地下二樓
RPTNMLSKPHIGFFK07DA,坡道平面,1200000,18.57,地下二樓
RPSOMLTKPHIGFDK96DA,坡道平面,0,16.62,地下一樓
RPSNMLQJPHIGFFK66DA,坡道平面,0,37.19,地下三樓
RPWNMLRLPHIGFFK37DA,坡道平面,0,27.16,地下一樓
RPPNMLMJQHIGFCK38DA,升降機械,0,,一樓
RPPOMLKLPHIGFDK48DA,一樓平面,0,26.44,一樓
RPQNMLSLPHIGFDK66DA,坡道平面,0,34.72,地下一樓
RPWNMLMKPHIGFFK76DA,一樓平面,0,,一樓
RPPOMLOJPHIGFBK48DA,升降機械,0,,地下二樓
RPSNMLNJQHIGFCK78DA,一樓平面,0,,一樓
RPRNMLTKPHIGFDK76DA,坡道平面,0,,地下一樓
RPQOMLQLPHIGFFK76DA,坡道平面,0,33.91,地下三樓
RPQNMLRJQHIGFFK66DA,升降機械,0,5.89,一樓
RPSOMLRLPHIGFFK07DA,升降機械,0,8.21,地下一樓
RPQNMLMJQHIGFFK78DA,坡道機械,0,,地下一樓
RPROMLMKPHIGFFK98DA,坡道平面,0,33.91,地下三樓
RPROMLLMPHIGFDK88DA,坡道平面,0,28.94,地下二樓
RPVNMLNJQHIGFFK76DA,升降平面,0,,地下一樓
RPVNMLLJQHIGFFK56DA,坡道平面,0,27.45,地下二樓
RPWNMLMJQHIGFDK56DA,坡道平面,0,30.74,地下一樓
RPSOMLTJQHIGFDK96DA,坡道平面,0,33.41,地下一樓
RPSOMLTJQHIGFDK96DA,坡道平面,0,33.41,地下一樓
RPSOMLTJQHIGFDK96DA,坡道平面,0,33.41,地下一樓
RPXQMLTJQHIGFDK67DA,升降機械,0,9.32,一樓
RPXNMLRJQHIGFFK37DA,一樓平面,0,14.38,一樓
RPSNMLRLPHIGFFK96DA,坡道平面,0,39.44,地下二樓
RPWNMLLKPHIGFFK66DA,一樓平面,0,,一樓
RPPOMLLMPHIGFFK88DA,一樓平面,0,4.24,一樓
RPRNMLKKQHIGFFK78DA,坡道平面,0,26.23,地下二樓
RPSOMLSJQHIGFDK86DA,坡道平面,920000,28.94,地下一樓
RPTNMLNJQHIGFDK98DA,坡道平面,0,15.61,地下一樓
RPRNMLRJQHIGFDK56DA,坡道機械,0,,地下一樓
RPVNMLRLPHIGFDK07DA,坡道平面,0,28.93,地下一樓
