鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華路607巷,45.82,住,,,1120511,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,,135.71,3,2,2,有,無,8004750,63475,一樓平面,20.63,700000,車位:汽車、機車各1,RPPNMLMKNHIGFBK18DB,賞美,G棟5號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維祥街1巷15弄,20.88,,鄉村區,乙種建築用地,1120513,土地5建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.7,2,1,1,有,無,6960000,68718,坡道機械,10.42,550000,,RPPNMLNKNHIGFBK18CB,桐芯園(商喬青青),A棟2號,
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮121縣道,56.65,,特定農業區,甲種建築用地,1120515,土地4建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.01,3,2,2,有,無,8880000,65438,一樓平面,21.59,1000000,,RPPNMLPKNHIGFCK58DB,臻品六期,D棟D6號,
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮房裡三路,101.46,農,,,1120515,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,156.82,4,3,4,有,無,12300000,78434,一樓平面,0.0,0,車位位於主建物內,RPPNMLQKNHIGFCK58CB,贊騰有願,F棟0號,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮造豐路,108.84,農,,,1120513,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.83,4,2,3,有,無,12680000,75553,,0.0,0,,RPRNMLQKNHIGFDK88CB,富學市,D棟11號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮高鐵三路,61.98,住,,,1120513,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.48,3,2,2,有,無,11120000,82079,一樓平面,0.0,0,車位於法定空地上,RPPNMLRKNHIGFDK78CB,綠光森林34富苑,2F-A號,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮造豐路,107.14,農,,,1120515,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.44,4,2,3,有,無,13480000,75544,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費380000元；,RPQNMLRKNHIGFDK88CB,富學市,C棟5號,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉仁愛路,90.76,,特定農業區,甲種建築用地,1120516,土地9建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,113.18,4,2,3,有,無,9400000,83054,,0.0,0,,RPRNMLRKNHIGFDK98CB,協奏曲,D棟7號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市興隆路,29.29,住,,,1120515,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.19,2,2,2,有,無,7780000,90266,一樓平面,16.69,0,,RPPNMLRKNHIGFFK98CB,珍鑽六,C-3F號,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮泰田里5鄰泰田77之5號旁,89.39,,特定農業區,甲種建築用地,1120518,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,149.39,4,3,3,有,無,8350000,55894,,0.0,0,,RPPNMLSKNHIGFCK88DB,尊爵名門-鎮安段11戶,A棟8號,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮泰田里7鄰109號後方,120.36,,特定農業區,甲種建築用地,1120520,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,197.07,5,2,6,有,無,11460000,58152,,0.0,0,,RPPNMLKLNHIGFCK18DB,尊爵名門-泰田段,A棟1號,
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴子岡段65地號,35.36,,特定農業區,甲種建築用地,1120521,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.03,3,1,2,有,無,5500000,49536,,0.0,0,,RPSNMLLLNHIGFBK48DB,鶴之都二期,A棟4F號,
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴子岡段65地號,35.36,,特定農業區,甲種建築用地,1120521,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.03,3,1,2,有,無,5460000,49176,,0.0,0,,RPUNMLLLNHIGFBK68DB,鶴之都二期,A棟3F號,
公館鄉,房地(土地+建物),苗栗縣公館鄉福南段633-1地號,30.05,,特定農業區,甲種建築用地,1120516,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.51,2,1,1,有,無,4380000,51828,,0.0,0,,RPXNMLLLNHIGFBK98DB,新福居華夏,C棟3F號,
公館鄉,房地(土地+建物),苗栗縣公館鄉福南段633-1地號,30.05,,特定農業區,甲種建築用地,1120521,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.51,2,1,1,有,無,4500000,53248,,0.0,0,,RPOOMLLLNHIGFBK18DB,新福居華夏,C棟2F號,
公館鄉,房地(土地+建物),苗栗縣公館鄉福南段633-1地號,30.05,,特定農業區,甲種建築用地,1120516,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.51,2,1,1,有,無,4380000,51828,,0.0,0,,RPPOMLLLNHIGFBK28DB,新福居華夏,C棟4F號,
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴子岡段65地號,35.36,,特定農業區,甲種建築用地,1120521,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.03,3,1,2,有,無,5460000,49176,,0.0,0,,RPPNMLMLNHIGFBK28DB,鶴之都二期,A棟3F號,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮鎮安十路,75.54,,特定農業區,甲種建築用地,1120517,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,179.49,4,2,4,有,無,8950000,49864,,0.0,0,,RPPNMLMLNHIGFCK28CB,拾苑,B棟B號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維祥街1巷15弄,29.19,,鄉村區,乙種建築用地,1120522,土地5建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.77,3,2,2,有,無,9930000,67575,一樓平面,27.58,1200000,,RPSNMLMLNHIGFBK48CB,桐芯園(商喬青青),A棟11號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維祥街1巷15弄,30.15,,鄉村區,乙種建築用地,1120522,土地5建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.25,3,2,2,有,無,10220000,67480,一樓平面,27.58,1200000,,RPTNMLMLNHIGFBK58CB,桐芯園(商喬青青),A棟6號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市山下街,42.05,住,,,1120514,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.72,3,2,2,有,無,11500000,88057,一樓平面,13.75,1200000,,RPQNMLMLNHIGFFK68CB,築尚NO.10,A棟0號,
頭份市,房地(土地+建物),苗栗縣頭份市中山路256號旁,18.49,住,,,1120518,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.5,2,1,1,有,無,6950000,101460,,0.0,0,,RPRPMLMLNHIGFFK98CB,商喬吉品3,A6-9F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,10.99,商,,,1120519,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.51,2,2,2,有,無,13180000,117377,坡道平面,30.15,1400000,,RPQNMLMLNHIGFDK48CB,日比谷,A2棟16號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,14.2,商,,,1120520,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.83,3,2,2,有,無,16920000,118908,坡道平面,30.15,1500000,,RPRNMLMLNHIGFDK58CB,日比谷,A6棟20號,
