鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
頭份市,房地(土地+建物),苗栗縣頭份市中興路７６７巷１５號,80.63,住,,,1120511,土地4建物1車位0,全,2,透天厝,住家用,加強磚造,0711120,81.0,2,2,2,有,無,無,9000,111,,0.0,0,水電瓦斯由承租人負擔,RPPNMLMKNHIGFFK58CC
竹南鎮,建物,苗栗縣竹南鎮大埔一街１９７號４樓之２,0.0,住,,,1120502,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1050421,86.47,1,0,1,有,有,有,22000,254,,0.0,0,承租人負擔：電費、水費、瓦斯費、網路費、公共水費、公共電費,RPPNMLOKNHIGFDK58CC
造橋鄉,建物,苗栗縣造橋鄉談文村５鄰育英街３６號三樓之二十五,0.0,,山坡地保育區,丙種建築用地,1120427,土地0建物1車位0,三層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930623,20.41,1,0,1,有,有,有,3000,147,,0.0,0,水電、瓦斯費及網路費皆由承租人負擔。,RPVNMLPKNHIGFDK66CC
竹南鎮,建物,苗栗縣竹南鎮新南里１２鄰維新路３０７號七樓,0.0,住,,,1120426,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,135.87,3,2,2,有,有,有,18800,151,坡道平面,24.36,2000,水電瓦斯費、網路費及每月管理費2104元由承租人負擔。,RPWNMLPKNHIGFDK76CC
竹南鎮,建物,苗栗縣竹南鎮大埔一街１３號５樓０２房,0.0,住,,,1120515,土地0建物0車位0,五層,5,套房(1房1廳1衛),住宅、店舖、停車空間,鋼筋混凝土造,1040129,15.0,1,0,1,有,有,有,5500,367,,0.0,0,承租人負擔：電費,RPPOMLPKNHIGFDK78CC
竹南鎮,建物,苗栗縣竹南鎮大埔一街１３號４樓０３房,0.0,住,,,1120515,土地0建物0車位0,四層,5,套房(1房1廳1衛),住宅、店舖、停車空間,鋼筋混凝土造,1040129,15.0,1,0,1,有,有,有,5500,367,,0.0,0,承租人負擔：電費,RPQOMLPKNHIGFDK88CC
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔七街３７０號２樓之１,37.04,住,,,1120510,土地3建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041229,112.53,3,2,2,有,有,有,16000,142,一樓平面,0.0,0,租金含管理費及車位-不含水-電-瓦斯,RPSOMLPKNHIGFDK09CC
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專七路１９５號９樓之３,25.7,住,,,1120510,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),住家用,ＲＣ造、鋼骨造,1050414,98.64,2,2,1,有,有,有,16000,162,坡道平面,16.84,0,含管理費和車位--不含水-電-瓦斯費租約為-112年7月10日-114年7月9日-2年,RPTOMLPKNHIGFDK56CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔五街２５７號,79.71,住,,,1120515,土地2建物1車位0,見其他登記事項,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1050512,116.55,0,0,0,無,無,有,45000,386,,0.0,0,,RPQNMLQKNHIGFDK88CC
