編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLPKNHIGFDK88CC,大同段,.00,都市：住,,,,07350000
RPPOMLPKNHIGFDK78CC,大同段,.00,都市：住,,,,07350000
RPPNMLOKNHIGFDK58CC,大同段,.00,都市：住,,,,08480000
RPSOMLPKNHIGFDK09CC,大同段,15.39,都市：住,,,,14100004
RPSOMLPKNHIGFDK09CC,大同段,15.39,都市：住,,,,14100005
RPSOMLPKNHIGFDK09CC,大同段,6.26,都市：住,,,,14100008
RPWNMLPKNHIGFDK76CC,新南段,.00,都市：住,,,,00040000
RPVNMLPKNHIGFDK66CC,淡文湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,09240038
RPTOMLPKNHIGFDK56CC,大同段,25.70,都市：住,,,,13200000
RPRNMLQKNHIGFDK98CC,大同段,1842.10,都市：住,,,,11380000
RPQNMLQKNHIGFDK88CC,大同段,18.07,都市：住,,,,11800000
RPQNMLQKNHIGFDK88CC,大同段,61.64,都市：住,,,,11810000
RPSNMLQKNHIGFDK09CC,淡文湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,03660008
RPTNMLQKNHIGFDK56CC,大同段,.00,都市：住,,,,07570000
RPPNMLMLNHIGFBK28CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860008
RPQNMLMLNHIGFBK38CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860003
RPPNMLOLNHIGFDK68CC,天聲段,.00,都市：住,,,,01610014
RPPNMLMLNHIGFBK28CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860031
RPPNMLMLNHIGFBK28CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860040
RPQNMLMLNHIGFBK38CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860031
RPQNMLMLNHIGFBK38CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860035
RPQNMLOLNHIGFDK78CC,維新段,.00,都市：住,,,,09980000
RPRNMLOLNHIGFDK88CC,新山佳段,.00,都市：住,,,,07480000
RPRNMLOLNHIGFDK88CC,新山佳段,.00,都市：住,,,,07480001
RPPNMLRLNHIGFDK98CC,大同段,.00,都市：住,,,,07350000
RPPNMLLMNHIGFDK48CC,大同段,.00,都市：住,,,,07550007
RPQNMLLJOHIGFDK38CC,環市段,.00,都市：住,,,,14070000
RPQNMLTLNHIGFBK09CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860003
RPPNMLLJOHIGFBK08CC,勝利段,.00,都市：農,,,,03330000
RPQNMLTLNHIGFBK09CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860031
RPQNMLTLNHIGFBK09CC,大倫段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10860035
RPPNMLQJOHIGFBK58CC,恭敬段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,19630002
RPQNMLSJOHIGFDK09CC,大同段,.00,,,,,09570006
RPPNMLSJOHIGFDK98CC,大同段,.00,都市：住,,,,09570006
RPPNMLNJOHIGFDK48CC,大同段,.00,都市：商,,,,07230000
RPRNMLSJOHIGFDK56CC,大同段,.00,都市：住,,,,09570001
RPSNMLSJOHIGFDK66CC,大同段,.00,都市：住,,,,09570013
RPPNMLPKOHIGFDK78CC,龍椅段,.00,都市：住,,,,05910002
RPTNMLSJOHIGFDK76CC,大同段,.00,都市：住,,,,09570013
RPPNMLPKOHIGFBK58CC,豐年段,46.58,都市：住,,,,10670000
RPQNMLPKOHIGFDK88CC,龍富段,89.25,都市：住,,,,04870000
RPPNMLQKOHIGFBK68CC,文發段,132.40,都市：住,,,,07310000
RPRNMLQKOHIGFBK88CC,巨蛋段,.00,都市：住,,,,18070000
RPRNMLQKOHIGFBK88CC,巨蛋段,.00,都市：住,,,,18080000
RPQNMLTKOHIGFDK66CC,龍社段,88.70,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,13640000
RPQNMLTKOHIGFDK66CC,龍社段,20.92,非都市：山坡地保育區 ; 非都市編定：交通用地,,,,13600000
RPPNMLTKOHIGFDK56CC,龍富段,89.25,都市：住,,,,04870000
RPRNMLTKOHIGFDK76CC,龍椅段,.00,,,,,04500002
RPSNMLTKOHIGFDK86CC,龍社段,148.81,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,13630000
RPSNMLTKOHIGFDK86CC,龍社段,157.36,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,13620000
RPPNMLKLOHIGFDK38CC,大同段,.00,都市：住,,,,12020000
RPPNMLKLOHIGFDK38CC,大同段,.00,都市：住,,,,12030000
RPPNMLLLOHIGFDK48CC,大同段,.00,都市：住,,,,11370000
RPPNMLSLOHIGFDK56CC,大同段,.00,都市：住,,,,09690000
RPPNMLLJPHIGFDK38CC,大同段,.00,都市：住,,,,12020000
RPPNMLLJPHIGFDK38CC,大同段,.00,都市：住,,,,12030000
RPPNMLNJPHIGFDK58CC,大同段,.00,都市：住,,,,09230022
RPQNMLOJPHIGFDK78CC,苦苓腳段,100.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04160002
RPPNMLNJPHIGFBK38CC,文山段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01950005
RPPNMLRJPHIGFDK98CC,光復段,.00,都市：商,,,,08820000
RPPNMLRJPHIGFBK78CC,文山段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,12220002
RPQNMLKKPHIGFDK48CC,光復段,.00,都市：商,,,,08820000
RPPNMLKKPHIGFDK38CC,光復段,.00,都市：商,,,,08820000
RPPNMLLKPHIGFDK48CC,淡文湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,09240004
RPQNMLLKPHIGFDK58CC,淡文湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,09240026
RPQNMLOLNHIGFFK98CC,顯會段,.00,都市：住,,,,00850000
