編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLPKQHIGFCM86DA,35,50.48,住商用,鋼筋混凝土造,77年11月5日,二層,一層 二層 騎樓,持分移轉
RPQNMLKKQHIGFEM78DA,43,90.52,住家用,鋼筋混凝土加強磚造,69年10月20日,二層,一層 二層,全筆移轉
RPPNMLPKQHIGFCM98DA,49,73.81,住家用,鋼筋混凝土加強磚造,63年8月12日,二層,一層 二層,全筆移轉
RPUNMLSJQHIGFAM86DA,,81.41,住家用,鋼筋混凝土加強磚造,69年2月0日,二層,一層 二層,全筆移轉
RPPNMLQKQHIGFDM56DA,27,36.13,停車場、機械室、梯間,鋼筋混凝土造,86年1月10日,一層,,持分移轉
RPPNMLQKQHIGFDM56DA,27,180.59,住家用,鋼筋混凝土造,86年1月10日,四層,一層 二層 三層 四層 陽台 露台 見其他登記事項,全筆移轉
RPPNMLSJQHIGFBM09DA,3,164.83,住宅、樓梯間,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPTNMLOKQHIGFEM86DA,29,161.03,住商用,鋼筋混凝土造,83年5月3日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPQNMLSKQHIGFBM76EA,33,51.74,住家用,鋼筋混凝土加強磚造,79年8月6日,三層,一層 二層 三層 騎樓,持分移轉
RPPNMLLLQHIGFCM68DA,47,40.35,住家用,磚造,65年5月26日,一層,一層,全筆移轉
RPQNMLMLQHIGFCM88DA,30,87.86,集合住宅,鋼筋混凝土造,83年1月14日,十一層,四層 陽台 花台,全筆移轉
RPQNMLMLQHIGFCM88DA,30,23.08,１﹒停車空間、防空避難室  ２﹒梯間、機械室、水箱,鋼筋混凝土造,83年1月14日,十一層,,持分移轉
RPSNMLLLQHIGFBM88DA,32,23.45,住家用,鋼筋混凝土造,80年9月20日,九層,五層 陽台,全筆移轉
RPSNMLLLQHIGFBM88DA,32,8.66,梯間、通道、機房、水箱,鋼筋混凝土造,80年9月20日,九層,,持分移轉
RPSNMLLLQHIGFBM88DA,32,4.71,避難室、梯間、變電室、水箱、機械室,鋼筋混凝土造,80年9月20日,十一層,,持分移轉
RPPNMLKKQHIGFCM48DA,32,.94,商業用,鋼筋混凝土造,80年4月12日,六層,地下一層,持分移轉
RPPNMLKKQHIGFCM48DA,32,37.00,商業用,鋼筋混凝土造,80年4月12日,六層,地下二層,持分移轉
RPPNMLKKQHIGFCM48DA,32,35.99,商業用,鋼筋混凝土造,80年4月12日,六層,地下二層,持分移轉
RPPNMLKKQHIGFCM48DA,32,.29,公共設施,鋼筋混凝土造,80年4月12日,六層,,持分移轉
RPPNMLKKQHIGFCM48DA,32,7.58,公共設施,鋼筋混凝土造,80年4月12日,六層,,持分移轉
RPPNMLKKQHIGFCM48DA,32,7.21,公共設施,鋼筋混凝土造,80年4月12日,六層,,持分移轉
RPPNMLKKQHIGFCM48DA,32,.96,走道,鋼筋混凝土造,80年4月12日,六層,,持分移轉
RPQNMLNLQHIGFCM98DA,28,106.69,住家用,鋼筋混凝土造,84年5月31日,2,一層 二層 陽台 騎樓,全筆移轉
RPQNMLTJQHIGFAM56DA,28,124.87,住商用,鋼筋混凝土造,84年7月20日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLOLQHIGFEM56DA,18,40.80,住家用,鋼骨造,94年4月6日,一層,一層 騎樓,全筆移轉
RPUNMLRKQHIGFAM86DA,1,157.91,住宅、樓梯間,鋼筋混凝土造,111年9月6日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVNMLRKQHIGFAM96DA,3,81.53,店舖,鋼筋混凝土造,109年10月7日,七層,一層 騎樓 見其他登記事項,全筆移轉
RPVNMLRKQHIGFAM96DA,3,18.19,集合住宅,鋼筋混凝土造,109年10月7日,七層,,持分移轉
RPQNMLSLQHIGFDM96DA,29,183.53,住家用,鋼筋混凝土造,83年10月19日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPPNMLOLQHIGFBM88DA,43,76.09,住家用,鋼筋混凝土加強磚造,69年10月18日,二層,一層 二層,全筆移轉
RPSNMLOLPHIGFCM56DA,15,353.17,農舍,鋼骨造,98年1月16日,二層,一層 二層,全筆移轉
RPQNMLOLQHIGFCM09DA,15,166.50,住宅、樓梯間,鋼筋混凝土造,97年11月18日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPUNMLRJQHIGFAM76DA,27,12.67,防空避難室、停車空間、梯間、走道、水箱、住宅、店舖、機房、受電室,鋼筋混凝土造,85年4月10日,七層,,持分移轉
RPUNMLRJQHIGFAM76DA,27,32.46,住家用,鋼筋混凝土造,85年4月10日,七層,三層 陽台 花台,全筆移轉
RPQNMLSLQHIGFDM07EA,50,120.96,住商用,鋼筋混凝土加強磚造,62年5月8日,三層,一層 二層 三層 騎樓,全筆移轉
