編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLRJRHIGFCM96DA,霧社段,410.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,04710000
RPTNMLRJRHIGFCM96DA,霧社段,10240.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,04730000
RPTNMLRJRHIGFCM96DA,霧社段,8440.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,04740000
RPPNMLNJQHIGFAM48DA,樟普寮段,11.62,都市：其他:巨樹保護區,322056,5964,持分移轉,13100000
RPQNMLLKQHIGFAM58EA,茄苳腳段,210.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03810005
RPUNMLPKQHIGFCM86DA,犁頭尖段,41.89,都市：其他:住宅區,2,1,持分移轉,09460000
RPQNMLOKQHIGFDM09DA,中州段,60.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,09680000
RPQNMLOKQHIGFDM09DA,中州段,20.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,09690000
RPQNMLRJQHIGFDM66DA,田東段,2553.22,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07880000
RPPNMLPKQHIGFDM09DA,內樹皮段,251.56,非都市：山坡地保育區 ; 非都市編定：農牧用地,72,16,持分移轉,01030000
RPQNMLKKQHIGFEM78DA,永豐段,62.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05520000
RPPNMLPKQHIGFCM98DA,埔里段東門小段,35.00,都市：其他:住宅區,1,1,全筆移轉,00510002
RPPNMLPKQHIGFCM98DA,埔里段東門小段,9.00,都市：其他:住宅區,1,1,全筆移轉,00520003
RPPNMLQKQHIGFBM09EA,新御史段,6.07,都市：其他:住宅區,1,1,全筆移轉,03350002
RPPNMLPKQHIGFDM56EA,頂堀段,26.07,都市：其他:公園用地,100000,18800,持分移轉,02960002
RPPNMLPKQHIGFDM56EA,頂堀段,8.61,都市：其他:公園用地,100000,13150,持分移轉,02960008
RPPNMLPKQHIGFDM56EA,頂堀段,129.69,都市：其他:公園用地,1,1,全筆移轉,02960009
RPQNMLTJQHIGFDM86DA,頂堀段,23.47,都市：其他:公園用地,10000,1693,持分移轉,02960002
RPQNMLTJQHIGFDM86DA,頂堀段,94.35,都市：其他:公園用地,1,1,全筆移轉,02960004
RPQNMLTJQHIGFDM86DA,頂堀段,6.27,都市：其他:公園用地,10000,957,持分移轉,02960008
RPTNMLKKQHIGFDM98DA,中和段,1851.67,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06950000
RPUNMLSJQHIGFAM86DA,新南段,108.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05120000
RPPNMLQKQHIGFDM56DA,廣興段,11.18,都市：其他:住宅區,90000,3913,持分移轉,00740000
RPPNMLQKQHIGFDM56DA,廣興段,52.50,都市：其他:住宅區,1,1,全筆移轉,02700004
RPPNMLQKQHIGFDM56DA,廣興段,.68,都市：其他:住宅區,90000,3913,持分移轉,02700012
RPXNMLSJQHIGFAM17DA,北松嶺段,612.05,都市：其他:農業區,1,1,全筆移轉,06530000
RPXNMLSJQHIGFAM17DA,北松嶺段,22.18,都市：其他:道路用地,1,1,全筆移轉,06540000
RPPNMLSJQHIGFBM09DA,草屯段敦和小段,76.93,都市：其他:住宅區,1,1,全筆移轉,00230001
RPTNMLOKQHIGFEM86DA,文昌段,24.58,都市：其他:道路用地,4,1,持分移轉,00940000
RPTNMLOKQHIGFEM86DA,文昌段,97.29,都市：其他:住宅區,1,1,全筆移轉,04300000
RPPNMLRKQHIGFEM86EA,人和段,64.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02670000
RPQNMLLLQHIGFDM88DA,彰雅段,117.76,都市：其他:住宅區,1,1,全筆移轉,07130000
RPQNMLSKQHIGFBM76EA,新豐段,18.84,非都市：特定農業區 ; 非都市編定：交通用地,10,1,持分移轉,06730000
RPQNMLSKQHIGFBM76EA,新豐段,25.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,21020000
RPQNMLSKQHIGFBM76EA,新豐段,66.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,21030000
RPPNMLLLQHIGFCM68DA,犁頭尖段,80.14,都市：其他:農業區,1,1,全筆移轉,03920000
RPQNMLMLQHIGFCM88DA,忠實段,.93,都市：其他:住宅區,2145378,9038,持分移轉,06370004
RPQNMLMLQHIGFCM88DA,忠實段,16.93,都市：其他:住宅區,2145378,9038,持分移轉,06600000
RPQNMLMLQHIGFCM88DA,忠實段,.05,都市：其他:住宅區,2145378,9038,持分移轉,06680000
RPPNMLLLQHIGFDM78DA,新初鄉段,972.54,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12400000
RPSNMLLLQHIGFBM88DA,草屯段,6.28,都市：其他:住宅區,10000,32,持分移轉,05220001
RPXNMLRKQHIGFAM17DA,北大庄段,1325.68,都市：其他:農業區,1,1,全筆移轉,09280000
RPXNMLRKQHIGFAM17DA,北大庄段,844.14,都市：其他:農業區,1,1,全筆移轉,09300000
RPPNMLQJQHIGFAM78DA,永新段,214.42,都市：其他:住宅區,1,1,全筆移轉,08390000
