編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQKQHIGFDM56DA,坡道平面,0,,地下一樓
RPQNMLSLQHIGFBM76DA,坡道機械,0,,地下一樓
RPQNMLLMQHIGFCM88DA,坡道平面,0,21.13,地下二樓
RPPNMLPJRHIGFDM09DA,坡道平面,0,,地下一樓
RPVNMLPLQHIGFCM07DA,坡道平面,0,,地下一樓
RPRNMLSKPHIGFBM66DA,其他,800000,9.92,一樓
RPRNMLSKPHIGFBM66DA,其他,600000,9.92,一樓
RPWTMLLMPHIGFBM27DA,坡道平面,0,,地下一樓
RPQNMLOLPHIGFBM88DA,坡道平面,0,,地下一樓
RPSNMLRJQHIGFDM96EA,坡道平面,0,,地下一樓
RPRNMLLKPHIGFBM58DA,一樓平面,0,,一樓
RPTNMLLKPHIGFBM78DA,一樓平面,0,,一樓
RPSNMLSJQHIGFCM86DA,坡道平面,480000,,地下一樓
RPWNMLSJQHIGFCM27DA,一樓平面,0,29.52,一樓
RPPNMLNLQHIGFBM78DA,坡道平面,0,,地下一樓
RPPNMLRLOHIGFAM98EA,一樓平面,0,,一樓
RPTNMLQLOHIGFBM66DA,坡道平面,0,,地下一樓
RPRNMLNJPHIGFAM58DA,升降機械,0,,一樓
RPPNMLPJPHIGFBM68DA,坡道平面,0,33.40,地下一樓
RPRNMLRJPHIGFBM09DA,坡道平面,0,27.21,地下二樓
RPUNMLQJPHIGFAM56DA,一樓平面,0,,一樓
RPQNMLMKPHIGFBM58DA,坡道平面,0,25.00,地下一樓
RPTNMLRKPHIGFBM76DA,其他,800000,9.92,一樓
RPTNMLRKPHIGFBM76DA,其他,600000,9.92,一樓
RPTNMLQLPHIGFAM66DA,坡道平面,0,,地下二樓
RPXNMLLMPHIGFCM86DA,坡道平面,0,,地下一樓
RPTNMLRKPHIGFCM86DA,坡道平面,0,,地下一樓
RPWNMLRKPHIGFCM17DA,升降機械,0,,地下一樓
RPQNMLOJQHIGFAM68DA,坡道平面,0,13.77,地下一樓
RPRNMLQJPHIGFBM98DA,一樓平面,0,,一樓
RPQNMLRJOHIGFAM78DA,坡道平面,0,,地下一樓
RPUNMLLKNHIGFAM58DA,坡道機械,0,,地下一樓
RPPNMLTJOHIGFCM56EA,坡道機械,0,,地下一樓
RPVNMLNKOHIGFBM09DA,坡道平面,0,,地下一樓
RPUNMLNKOHIGFBM98DA,坡道平面,0,,地下一樓
RPRNMLPKOHIGFBM88DA,坡道平面,0,33.40,地下一樓
RPPNMLTJOHIGFBM98DA,一樓平面,0,28.98,一樓
RPVNMLMKOHIGFBM98DA,坡道機械,0,,地下一樓
RPRNMLNJPHIGFBM68DA,坡道平面,0,,地下一樓
RPQOMLLKPHIGFAM48DA,升降機械,0,,地下一樓
RPRNMLQLPHIGFDM76DA,一樓平面,0,13.84,一樓
RPWNMLPKOHIGFBM76DA,坡道機械,0,,地下一樓
RPQNMLPJPHIGFBM78DA,坡道平面,0,,地下一樓
RPQNMLRLPHIGFDM76DA,一樓平面,0,12.89,一樓
RPVNMLPJOHIGFCM66DA,坡道平面,0,23.73,地下一樓
RPSNMLOLPHIGFBM09DA,坡道平面,0,33.01,地下二樓
RPRNMLRLPHIGFDM86DA,一樓平面,0,13.84,一樓
RPPNMLQLPHIGFDM56DA,一樓平面,0,11.97,一樓
RPQNMLQLPHIGFDM66DA,一樓平面,0,13.84,一樓
RPTNMLRJPHIGFDM86DA,一樓平面,0,17.90,一樓
RPTPMLLMPHIGFBM56DA,坡道機械,800000,11.90,地下一樓
RPPNMLMKQHIGFDM78DA,坡道平面,1100000,34.14,地下二樓
RPUOMLNLPHIGFDM86DA,坡道平面,1200000,34.14,地下一樓
RPTOMLNLPHIGFDM76DA,坡道平面,1000000,22.03,地下二樓
RPVNMLPKOHIGFAM56DA,坡道平面,900000,11.68,地下一樓
RPUNMLSJQHIGFBM96DA,坡道平面,1350000,23.68,地下一樓
RPOOMLLMPHIGFBM58DA,坡道機械,800000,11.90,地下一樓
RPSNMLNJQHIGFDM09DA,坡道平面,1100000,34.14,地下一樓
RPPOMLPJQHIGFDM09DA,坡道平面,1100000,34.14,地下二樓
RPPNMLPJQHIGFDM98DA,坡道平面,1100000,34.14,地下二樓
RPVOMLNLPHIGFDM96DA,坡道平面,1100000,34.14,地下一樓
RPUNMLPJQHIGFDM86DA,坡道平面,1100000,34.14,地下二樓
RPVNMLNLPHIGFDM86DA,坡道平面,1100000,34.14,地下一樓
RPRPMLNLPHIGFDM66DA,坡道平面,1000000,22.03,地下一樓
RPPPMLNLPHIGFDM09DA,坡道平面,1100000,34.14,地下一樓
RPTNMLLLQHIGFDM56DA,坡道平面,1000000,34.14,地下二樓
RPSNMLPJQHIGFDM66DA,坡道平面,1100000,34.14,地下一樓
RPUNMLLLQHIGFDM66DA,坡道平面,1000000,34.14,地下二樓
RPPNMLNLPHIGFDM88DA,坡道平面,1100000,34.14,地下一樓
RPTNMLRLPHIGFDM07DA,坡道平面,1100000,34.14,地下一樓
RPUNMLRLPHIGFDM17DA,坡道平面,1000000,34.14,地下二樓
RPQNMLNLPHIGFDM98DA,坡道平面,1100000,34.14,地下一樓
RPSOMLNLPHIGFDM66DA,坡道平面,1000000,34.14,地下二樓
RPRNMLLKQHIGFDM88DA,坡道平面,1000000,34.14,地下二樓
RPWPMLNLPHIGFDM17DA,坡道平面,1000000,34.14,地下二樓
RPPQMLNLPHIGFDM56DA,坡道平面,1000000,34.14,地下二樓
RPSNMLLKQHIGFDM98DA,坡道平面,1000000,34.14,地下二樓
RPSNMLMKQHIGFDM09DA,坡道平面,1000000,34.14,地下二樓
RPWNMLPJQHIGFDM07DA,坡道平面,1100000,34.14,地下一樓
RPQNMLPJQHIGFDM09DA,坡道平面,1000000,34.14,地下二樓
RPVPMLNLPHIGFDM07DA,坡道平面,1000000,34.14,地下二樓
RPWNMLNLPHIGFDM96DA,坡道平面,1100000,34.14,地下一樓
RPPOMLNLPHIGFDM98DA,坡道平面,1000000,34.14,地下二樓
RPXNMLNLPHIGFDM07DA,坡道平面,1100000,34.14,地下二樓
RPOOMLNLPHIGFDM88DA,坡道平面,1100000,34.14,地下二樓
