編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKNHIGFAM18CB,牛運堀段,65.00,都市：住,1,1,全筆移轉,02780109
RPPNMLMKNHIGFAM18CB,牛運堀段,.27,都市：住,97,1,持分移轉,02780114
RPPNMLMKNHIGFAM18CB,牛運堀段,.11,都市：住,63,1,持分移轉,02780034
RPPNMLMKNHIGFAM18CB,牛運堀段,.13,都市：住,63,1,持分移轉,02780098
RPPNMLRKNHIGFBM78CB,新僑光段,41.95,都市：住,100000,1010,持分移轉,07260000
RPPNMLMKNHIGFAM18CB,牛運堀段,17.32,都市：住,63,1,持分移轉,02780000
RPPNMLKLNHIGFAM08CB,南投段,1.42,都市：住,100000,1560,持分移轉,00580003
RPPNMLKLNHIGFAM08CB,南投段,1.93,都市：住,100000,1560,持分移轉,00580005
RPPNMLKLNHIGFAM08CB,南投段,.03,都市：住,100000,1560,持分移轉,00580006
RPPNMLKLNHIGFAM08CB,南投段,1.40,都市：住,100000,1560,持分移轉,00580013
RPPNMLKLNHIGFAM08CB,南投段,1.19,都市：住,100000,1560,持分移轉,00580021
RPPNMLKLNHIGFAM08CB,南投段,.45,都市：住,100000,1560,持分移轉,00580022
RPPNMLKLNHIGFAM08CB,南投段,2.12,都市：住,100000,1560,持分移轉,00580023
RPPNMLKLNHIGFAM08CB,南投段,2.17,都市：住,100000,1560,持分移轉,00580024
RPPNMLKLNHIGFAM08CB,南投段,.08,都市：住,100000,1560,持分移轉,00580026
RPPNMLKLNHIGFAM08CB,南投段,.05,都市：住,100000,1560,持分移轉,00580028
RPPNMLKLNHIGFAM08CB,南投段,.02,都市：住,100000,1560,持分移轉,00580034
RPPNMLKLNHIGFAM08CB,南投段,4.32,都市：住,100000,1560,持分移轉,00580043
RPPNMLKLNHIGFAM08CB,南投段,.66,都市：住,100000,1560,持分移轉,00580044
RPPNMLKLNHIGFAM08CB,南投段,.87,都市：住,100000,1560,持分移轉,00580045
RPPNMLKLNHIGFAM08CB,南投段,1.25,都市：住,100000,1560,持分移轉,00590011
RPPNMLKLNHIGFAM08CB,南投段,.50,都市：住,100000,1560,持分移轉,00590045
RPPNMLMLNHIGFBM38CB,加老段,19.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1158,持分移轉,00610000
RPPNMLKLNHIGFAM08CB,南投段,.30,都市：住,100000,1560,持分移轉,00590076
RPPNMLNLNHIGFAM38CB,南投段,1.42,都市：住,100000,1560,持分移轉,00580003
RPPNMLKLNHIGFAM08CB,南投段,.12,都市：住,100000,1560,持分移轉,00590077
RPPNMLKLNHIGFAM08CB,南投段,.05,都市：住,100000,1560,持分移轉,00590078
RPPNMLNLNHIGFAM38CB,南投段,1.93,都市：住,100000,1560,持分移轉,00580005
RPPNMLNLNHIGFAM38CB,南投段,.03,都市：住,100000,1560,持分移轉,00580006
RPPNMLNLNHIGFAM38CB,南投段,1.40,都市：住,100000,1560,持分移轉,00580013
RPPNMLNLNHIGFAM38CB,南投段,1.19,都市：住,100000,1560,持分移轉,00580021
RPPNMLNLNHIGFAM38CB,南投段,.45,都市：住,100000,1560,持分移轉,00580022
RPPNMLNLNHIGFAM38CB,南投段,2.12,都市：住,100000,1560,持分移轉,00580023
RPPNMLNLNHIGFAM38CB,南投段,2.17,都市：住,100000,1560,持分移轉,00580024
RPPNMLNLNHIGFAM38CB,南投段,.08,都市：住,100000,1560,持分移轉,00580026
RPPNMLNLNHIGFAM38CB,南投段,.05,都市：住,100000,1560,持分移轉,00580028
RPPNMLNLNHIGFAM38CB,南投段,.02,都市：住,100000,1560,持分移轉,00580034
RPPNMLNLNHIGFAM38CB,南投段,4.32,都市：住,100000,1560,持分移轉,00580043
