編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMLNHIGFBM38CB,坡道機械,650000,24.48,地下二樓
RPPNMLKLNHIGFAM08CB,坡道機械,700000,18.76,地下二樓
RPPNMLNLNHIGFAM38CB,坡道機械,900000,18.76,地下二樓
RPQNMLNLNHIGFAM48CB,坡道平面,1050000,27.13,地下一樓
RPPNMLQLNHIGFCM88CB,坡道平面,1100000,25.96,地下二樓
RPPNMLLMNHIGFBM38CB,坡道平面,1000000,52.49,地下二樓
RPPNMLMJOHIGFDM48CB,坡道平面,920000,29.55,地下一樓
RPRNMLMJOHIGFDM68CB,坡道平面,920000,29.55,地下一樓
RPPNMLRJOHIGFCM88CB,坡道平面,1250000,25.96,地下二樓
RPRNMLRJOHIGFBM98CB,坡道機械,650000,24.48,地下二樓
RPPNMLSJOHIGFCM98CB,坡道平面,1450000,29.22,地下二樓
RPQNMLSJOHIGFCM09CB,坡道平面,1600000,29.22,地下一樓
RPRNMLSJOHIGFCM56CB,坡道平面,1600000,29.22,地下一樓
RPPNMLLKOHIGFAM18CB,坡道機械,700000,18.76,地下二樓
RPPNMLQJOHIGFBM78DB,坡道平面,1150000,36.65,地下二樓
RPPNMLNKOHIGFCM58CB,坡道平面,1600000,29.22,地下一樓
RPQNMLNKOHIGFCM68CB,坡道平面,1400000,27.33,地下一樓
RPQNMLOKOHIGFCM88DB,一樓平面,1100000,13.75,一樓
RPRNMLOKOHIGFCM98DB,一樓平面,1100000,13.75,一樓
RPQNMLKMNHIGFAM28CB,坡道平面,1200000,30.66,地下一樓
RPRNMLNLNHIGFAM58CB,坡道平面,1000000,23.14,地下二樓
RPRNMLNLNHIGFAM58CB,坡道平面,1000000,23.14,地下二樓
RPPNMLNKOHIGFAM38CB,坡道平面,1100000,30.66,地下二樓
RPPNMLQKOHIGFBM78CB,坡道機械,650000,24.48,地下二樓
RPQNMLTKOHIGFAM09CB,坡道平面,1350000,26.45,地下一樓
RPSNMLTKOHIGFAM66CB,坡道平面,1200000,26.45,地下二樓
RPTNMLTKOHIGFAM76CB,坡道平面,1300000,26.45,地下一樓
RPRNMLTKOHIGFAM56CB,坡道平面,1200000,26.45,地下二樓
RPUNMLTKOHIGFAM86CB,坡道平面,1250000,26.45,地下二樓
RPVNMLTKOHIGFAM96CB,坡道平面,1250000,26.45,地下二樓
RPPNMLKLOHIGFAM18CB,坡道平面,1200000,26.45,地下一樓
RPQNMLKLOHIGFAM28CB,坡道平面,1250000,26.45,地下二樓
RPRNMLKLOHIGFAM38CB,坡道平面,1300000,26.45,地下一樓
RPPNMLKLOHIGFBM28CB,坡道機械,650000,24.48,地下二樓
RPQNMLKLOHIGFBM38CB,坡道機械,650000,24.48,地下二樓
RPPNMLKLOHIGFCM38CB,坡道平面,1450000,29.22,地下二樓
RPQNMLKLOHIGFCM48CB,坡道平面,1450000,29.22,地下二樓
RPPNMLLLOHIGFCM48CB,坡道平面,1250000,25.96,地下二樓
RPPNMLLLOHIGFAM28CB,坡道平面,1200000,26.45,地下二樓
RPQNMLLLOHIGFAM38CB,坡道平面,1200000,26.45,地下二樓
RPTNMLLLOHIGFAM68CB,坡道平面,1200000,26.45,地下二樓
RPUNMLLLOHIGFAM78CB,坡道平面,1200000,26.45,地下二樓
